date_obj,White%20claws price
2015-03-26,5000
2015-03-27,5000
2015-03-28,5000
2015-03-29,5000
2015-03-30,5000
2015-03-31,5000
2015-04-01,5000
2015-04-02,5000
2015-04-03,5000
2015-04-04,5000
2015-04-05,5000
2015-04-06,5000
2015-04-07,5000
2015-04-08,5000
2015-04-09,5000
2015-04-10,5000
2015-04-11,5000
2015-04-12,5000
2015-04-13,5000
2015-04-14,5000
2015-04-15,5000
2015-04-16,5000
2015-04-17,5000
2015-04-18,5000
2015-04-19,5000
2015-04-20,5000
2015-04-21,5000
2015-04-22,5000
2015-04-23,5000
2015-04-24,5000
2015-04-25,5000
2015-04-26,5000
2015-04-27,5000
2015-04-28,5000
2015-04-29,5000
2015-04-30,5000
2015-05-01,5000
2015-05-02,5000
2015-05-03,5000
2015-05-04,5000
2015-05-05,5000
2015-05-06,5000
2015-05-07,5000
2015-05-08,5000
2015-05-09,5000
2015-05-10,5000
2015-05-11,5000
2015-05-12,5000
2015-05-13,5000
2015-05-14,5000
2015-05-15,5000
2015-05-16,5000
2015-05-17,5000
2015-05-18,5000
2015-05-19,5000
2015-05-20,5000
2015-05-21,5000
2015-05-22,5000
2015-05-23,5000
2015-05-24,5000
2015-05-25,5000
2015-05-26,5000
2015-05-27,5000
2015-05-28,5000
2015-05-29,5000
2015-05-30,5000
2015-05-31,5000
2015-06-01,5000
2015-06-02,5000
2015-06-03,5000
2015-06-04,5000
2015-06-05,5000
2015-06-06,5000
2015-06-07,5000
2015-06-08,5000
2015-06-09,5000
2015-06-10,5000
2015-06-11,5000
2015-06-12,5000
2015-06-13,5000
2015-06-14,5000
2015-06-15,5000
2015-06-16,5000
2015-06-17,5000
2015-06-18,5000
2015-06-19,5000
2015-06-20,5000
2015-06-21,5000
2015-06-22,5000
2015-06-23,5000
2015-06-24,5000
2015-06-25,5000
2015-06-26,5000
2015-06-27,5000
2015-06-28,5000
2015-06-29,5000
2015-06-30,5000
2015-07-01,5000
2015-07-02,5000
2015-07-03,5000
2015-07-04,5114
2015-07-05,5114
2015-07-06,5114
2015-07-07,5114
2015-07-08,5114
2015-07-09,5114
2015-07-10,5114
2015-07-11,5114
2015-07-12,5114
2015-07-13,5114
2015-07-14,5114
2015-07-15,5114
2015-07-16,5114
2015-07-17,5114
2015-07-18,5114
2015-07-19,5114
2015-07-20,5114
2015-07-21,5114
2015-07-22,5114
2015-07-23,5114
2015-07-24,5114
2015-07-25,5114
2015-07-26,5114
2015-07-27,5114
2015-07-28,5114
2015-07-29,5114
2015-07-30,5114
2015-07-31,5114
2015-08-01,5114
2015-08-02,5114
2015-08-03,5114
2015-08-04,5114
2015-08-05,5114
2015-08-06,5114
2015-08-07,5114
2015-08-08,5114
2015-08-09,5114
2015-08-10,5114
2015-08-11,5114
2015-08-12,5114
2015-08-13,5114
2015-08-14,5114
2015-08-15,5114
2015-08-16,5114
2015-08-17,5114
2015-08-18,5114
2015-08-19,5114
2015-08-20,5114
2015-08-21,5114
2015-08-22,5114
2015-08-23,5114
2015-08-24,5114
2015-08-25,5114
2015-08-26,5114
2015-08-27,5114
2015-08-28,5114
2015-08-29,5114
2015-08-30,5114
2015-08-31,5114
2015-09-01,5114
2015-09-02,5114
2015-09-03,5114
2015-09-04,5114
2015-09-05,5114
2015-09-06,5114
2015-09-07,5114
2015-09-08,5114
2015-09-09,5114
2015-09-10,5114
2015-09-11,5114
2015-09-12,5114
2015-09-13,5114
2015-09-14,5114
2015-09-15,5114
2015-09-16,5114
2015-09-17,5114
2015-09-18,5114
2015-09-19,5114
2015-09-20,5114
2015-09-21,5114
2015-09-22,5114
2015-09-23,5114
2015-09-24,5114
2015-09-25,5114
2015-09-27,5114
2015-09-28,5114
2015-09-29,5114
2015-09-30,5114
2015-10-05,5114
2015-10-06,5114
2015-10-07,5114
2015-10-08,5114
2015-10-09,5114
2015-10-10,5114
2015-10-11,5114
2015-10-12,5114
2015-10-13,5114
2015-10-14,5114
2015-10-15,5114
2015-10-16,5114
2015-10-17,5114
2015-10-18,5114
2015-10-19,5114
2015-10-20,5114
2015-10-22,5114
2015-10-23,5114
2015-10-24,5114
2015-10-25,5114
2015-10-26,5114
2015-10-27,5114
2015-10-29,5114
2015-10-30,5114
2015-10-31,5114
2015-11-01,5114
2015-11-02,5114
2015-11-03,5114
2015-11-04,5114
2015-11-05,5114
2015-11-06,5114
2015-11-07,5114
2015-11-08,5114
2015-11-09,5114
2015-11-10,5114
2015-11-11,5114
2015-11-12,5114
2015-11-13,5114
2015-11-14,5114
2015-11-15,5114
2015-11-16,5114
2015-11-17,5114
2015-11-18,5114
2015-11-19,5114
2015-11-20,5114
2015-11-21,5114
2015-11-22,5114
2015-11-23,5114
2015-11-24,5114
2015-11-25,5114
2015-11-26,5114
2015-11-27,5114
2015-11-28,5114
2015-11-29,5114
2015-11-30,5114
2015-12-01,5114
2015-12-02,5114
2015-12-03,5114
2015-12-04,5114
2015-12-05,5114
