date_obj,Raw%20wild%20pie price
2015-03-26,21911
2015-03-27,21911
2015-03-28,21911
2015-03-29,21911
2015-03-30,21911
2015-03-31,21911
2015-04-01,21911
2015-04-02,21911
2015-04-03,21911
2015-04-04,21911
2015-04-05,21911
2015-04-06,21911
2015-04-07,21911
2015-04-08,21911
2015-04-09,21911
2015-04-10,21911
2015-04-11,21911
2015-04-12,21911
2015-04-13,21911
2015-04-14,21911
2015-04-15,21911
2015-04-16,21911
2015-04-17,21911
2015-04-18,21911
2015-04-19,21911
2015-04-20,21911
2015-04-21,21911
2015-04-22,21911
2015-04-23,21911
2015-04-24,21911
2015-04-25,21911
2015-04-26,21911
2015-04-27,21911
2015-04-28,21911
2015-04-29,21911
2015-04-30,21911
2015-05-01,21911
2015-05-02,21911
2015-05-03,21911
2015-05-04,21911
2015-05-05,21911
2015-05-06,21911
2015-05-07,21911
2015-05-08,21911
2015-05-09,21911
2015-05-10,21911
2015-05-11,21911
2015-05-12,21911
2015-05-13,21911
2015-05-14,21911
2015-05-15,21911
2015-05-16,21911
2015-05-17,21911
2015-05-18,21911
2015-05-19,21911
2015-05-20,21911
2015-05-21,21911
2015-05-22,21911
2015-05-23,21911
2015-05-24,21911
2015-05-25,21911
2015-05-26,21911
2015-05-27,21911
2015-05-28,20819
2015-05-29,20819
2015-05-30,20819
2015-05-31,20819
2015-06-01,20819
2015-06-02,20819
2015-06-03,20819
2015-06-04,20819
2015-06-05,20819
2015-06-06,20819
2015-06-07,20819
2015-06-08,20819
2015-06-09,20819
2015-06-10,20819
2015-06-11,20819
2015-06-12,20819
2015-06-13,20819
2015-06-14,20819
2015-06-15,20819
2015-06-16,20819
2015-06-17,20819
2015-06-18,20819
2015-06-19,20819
2015-06-20,20819
2015-06-21,20819
2015-06-22,20819
2015-06-23,20819
2015-06-24,20819
2015-06-25,20819
2015-06-26,20819
2015-06-27,20819
2015-06-28,20819
2015-06-29,20819
2015-06-30,20819
2015-07-01,20819
2015-07-02,20819
2015-07-03,20819
2015-07-04,20819
2015-07-05,20819
2015-07-06,20819
2015-07-07,20819
2015-07-08,20819
2015-07-09,20819
2015-07-10,20819
2015-07-11,20819
2015-07-12,20819
2015-07-13,20819
2015-07-14,20819
2015-07-15,20819
2015-07-16,20819
2015-07-17,20819
2015-07-18,20819
2015-07-19,20819
2015-07-20,20819
2015-07-21,20819
2015-07-22,20819
2015-07-23,20819
2015-07-24,20819
2015-07-25,20819
2015-07-26,20819
2015-07-27,20819
2015-07-28,20819
2015-07-29,20819
2015-07-30,20819
2015-07-31,20819
2015-08-01,20819
2015-08-02,20819
2015-08-03,20819
2015-08-04,20819
2015-08-05,20819
2015-08-06,20819
2015-08-07,20819
2015-08-08,20819
2015-08-09,19793
2015-08-10,19793
2015-08-11,19793
2015-08-12,19793
2015-08-13,19793
2015-08-14,19793
2015-08-15,19793
2015-08-16,19793
2015-08-17,19793
2015-08-18,19793
2015-08-19,19793
2015-08-20,19793
2015-08-21,19793
2015-08-22,19793
2015-08-23,19793
2015-08-24,19793
2015-08-25,19793
2015-08-26,19793
2015-08-27,19793
2015-08-28,19793
2015-08-29,19793
2015-08-30,19793
2015-08-31,19793
2015-09-01,19793
2015-09-02,19793
2015-09-03,19793
2015-09-04,19793
2015-09-05,19793
2015-09-06,19793
2015-09-07,19793
2015-09-08,19793
2015-09-09,19793
2015-09-10,19793
2015-09-11,19793
2015-09-12,19793
2015-09-13,19793
2015-09-14,19793
2015-09-15,19793
2015-09-16,19793
2015-09-17,18838
2015-09-18,18838
2015-09-19,18838
2015-09-20,18838
2015-09-21,18838
2015-09-22,18838
2015-09-23,18838
2015-09-24,18838
2015-09-25,18838
2015-09-27,18838
2015-09-28,18838
2015-09-29,18838
2015-09-30,18838
2015-10-05,18838
2015-10-06,18838
2015-10-07,18838
2015-10-08,18838
2015-10-09,18838
2015-10-10,18838
2015-10-11,18838
2015-10-12,18838
2015-10-13,18838
2015-10-14,18838
2015-10-15,18838
2015-10-16,18838
2015-10-17,18838
2015-10-18,18838
2015-10-19,18838
2015-10-20,18838
2015-10-22,18838
2015-10-23,18838
2015-10-24,18838
2015-10-25,18838
2015-10-26,18838
2015-10-27,18838
2015-10-29,17961
2015-10-30,17961
2015-10-31,17961
2015-11-01,17961
2015-11-02,17961
2015-11-03,17961
2015-11-04,17961
2015-11-05,17961
2015-11-06,17961
2015-11-07,17961
2015-11-08,17961
2015-11-09,17961
2015-11-10,17961
2015-11-11,17961
2015-11-12,17961
2015-11-13,17961
2015-11-14,17961
2015-11-15,17961
2015-11-16,17961
2015-11-17,17961
2015-11-18,17961
2015-11-19,17961
2015-11-20,17961
2015-11-21,17961
2015-11-22,17961
2015-11-23,17961
2015-11-24,17961
2015-11-25,17961
2015-11-26,17961
2015-11-27,17961
2015-11-28,17961
2015-11-29,17961
2015-11-30,17961
2015-12-01,17961
2015-12-02,17961
2015-12-03,17961
2015-12-04,17961
2015-12-05,17961
2015-12-06,17961
2015-12-07,17961
2015-12-08,17961
2015-12-09,17961
2015-12-10,17961
2015-12-11,17961
