date_obj,Cannon%20furnace price
2015-03-26,171443
2015-03-27,171443
2015-03-28,171443
2015-03-29,171443
2015-03-30,174603
2015-03-31,174603
2015-04-01,174603
2015-04-02,174603
2015-04-03,174603
2015-04-04,181708
2015-04-05,181708
2015-04-06,181708
2015-04-07,181708
2015-04-08,181708
2015-04-09,184330
2015-04-10,184330
2015-04-11,184330
2015-04-12,184330
2015-04-13,182839
2015-04-14,182839
2015-04-15,182839
2015-04-16,182839
2015-04-17,182839
2015-04-18,186033
2015-04-19,186033
2015-04-20,186033
2015-04-21,186033
2015-04-22,186033
2015-04-23,186649
2015-04-24,186649
2015-04-25,186649
2015-04-26,186649
2015-04-27,186649
2015-04-28,182607
2015-04-29,182607
2015-04-30,182607
2015-05-01,182607
2015-05-02,182607
2015-05-03,181307
2015-05-04,181307
2015-05-05,181307
2015-05-06,181307
2015-05-07,181307
2015-05-08,186167
2015-05-09,186167
2015-05-10,186167
2015-05-11,186167
2015-05-12,186167
2015-05-13,187623
2015-05-14,187623
2015-05-15,187623
2015-05-16,187623
2015-05-17,187623
2015-05-18,184561
2015-05-19,184561
2015-05-20,184561
2015-05-21,184561
2015-05-22,184561
2015-05-23,184561
2015-05-24,187525
2015-05-25,187525
2015-05-26,187525
2015-05-27,187525
2015-05-28,188406
2015-05-29,188406
2015-05-30,188406
2015-05-31,188406
2015-06-01,190788
2015-06-02,190788
2015-06-03,190788
2015-06-04,190788
2015-06-05,190788
2015-06-06,190118
2015-06-07,190118
2015-06-08,190118
2015-06-09,190118
2015-06-10,191846
2015-06-11,191846
2015-06-12,191846
2015-06-13,191846
2015-06-14,191846
2015-06-15,194542
2015-06-16,194542
2015-06-17,194542
2015-06-18,194542
2015-06-19,197077
2015-06-20,197077
2015-06-21,197077
2015-06-22,197077
2015-06-23,200895
2015-06-24,200895
2015-06-25,200895
2015-06-26,200895
2015-06-27,196002
2015-06-28,196002
2015-06-29,196002
2015-06-30,196002
2015-07-01,194757
2015-07-02,194757
2015-07-03,194757
2015-07-04,194757
2015-07-05,194757
2015-07-06,187829
2015-07-07,187829
2015-07-08,187829
2015-07-09,187829
2015-07-10,190160
2015-07-11,190160
2015-07-12,190160
2015-07-13,190160
2015-07-14,190188
2015-07-15,190188
2015-07-16,190188
2015-07-17,190188
2015-07-18,190537
2015-07-19,190537
2015-07-20,190537
2015-07-21,190537
2015-07-22,190477
2015-07-23,190477
2015-07-24,190477
2015-07-25,190477
2015-07-26,189501
2015-07-27,189501
2015-07-28,189501
2015-07-29,189167
2015-07-30,189167
2015-07-31,189167
2015-08-01,189167
2015-08-02,190713
2015-08-03,190713
2015-08-04,190713
2015-08-05,190713
2015-08-06,189362
2015-08-07,189362
2015-08-08,189362
2015-08-09,188043
2015-08-10,188043
2015-08-11,188043
2015-08-12,188043
2015-08-13,188043
2015-08-14,190176
2015-08-15,190176
2015-08-16,190176
2015-08-17,190176
2015-08-18,190176
2015-08-19,190176
2015-08-20,191232
2015-08-21,191232
2015-08-22,191232
2015-08-23,191232
2015-08-24,191232
2015-08-25,191232
2015-08-26,192537
2015-08-27,192537
2015-08-28,192537
2015-08-29,192537
2015-08-30,192537
2015-08-31,187460
2015-09-01,187460
2015-09-02,187460
2015-09-03,187460
2015-09-04,187460
2015-09-05,187460
2015-09-06,185152
2015-09-07,185152
2015-09-08,185152
2015-09-09,185152
2015-09-10,185152
2015-09-11,186046
2015-09-12,186046
2015-09-13,186046
2015-09-14,186046
2015-09-15,186046
2015-09-16,188954
2015-09-17,188954
2015-09-18,188954
2015-09-19,188954
2015-09-20,188954
2015-09-21,188954
2015-09-22,189795
2015-09-23,189795
2015-09-24,189795
2015-09-25,189795
2015-09-27,189795
2015-09-28,187268
2015-09-29,187268
2015-09-30,187268
2015-10-05,184329
2015-10-06,184329
2015-10-07,184329
2015-10-08,184329
2015-10-09,186489
2015-10-10,186489
2015-10-11,186489
2015-10-12,186489
2015-10-13,186489
2015-10-14,186489
2015-10-15,187459
2015-10-16,187459
2015-10-17,187459
2015-10-18,187459
2015-10-19,187459
2015-10-20,189028
2015-10-22,189028
2015-10-23,189028
2015-10-24,189028
2015-10-25,192820
2015-10-26,192820
2015-10-27,192820
2015-10-29,192820
2015-10-30,192820
2015-10-31,191775
2015-11-01,191775
2015-11-02,191775
2015-11-03,191775
2015-11-04,191775
2015-11-05,191775
2015-11-06,191775
2015-11-07,189493
2015-11-08,189493
2015-11-09,189493
2015-11-10,189493
2015-11-11,189493
2015-11-12,189493
2015-11-13,189493
2015-11-14,192399
2015-11-15,192399
2015-11-16,192399
2015-11-17,192399
2015-11-18,192399
2015-11-19,192399
2015-11-20,193401
2015-11-21,193401
2015-11-22,193401
2015-11-23,193401
2015-11-24,193401
2015-11-25,193401
2015-11-26,193562
2015-11-27,193562
2015-11-28,193562
2015-11-29,193562
2015-11-30,193562
2015-12-01,191541
2015-12-02,191541
2015-12-03,191541
2015-12-04,191541
2015-12-05,191541
2015-12-06,193419
2015-12-07,193419
2015-12-08,193419
2015-12-09,193419
2015-12-10,193419
2015-12-11,193419
2015-12-12,190393
2015-12-13,190393
2015-12-14,190393
2015-12-15,190393
2015-12-16,190393
2015-12-17,189403
2015-12-18,189403
2015-12-19,189403
2015-12-20,189403
2015-12-21,189403
2015-12-22,190139
2015-12-23,190139
2015-12-24,190139
2015-12-25,190139
2015-12-26,190139
2015-12-27,192030
2015-12-28,192030
2015-12-29,192030
2015-12-30,192030
2015-12-31,192030
2016-01-01,192834
2016-01-02,192834
2016-01-03,192834
2016-01-04,192834
2016-01-05,193308
2016-01-06,193308
