date_obj,Armadyl%20crossbow price
2015-03-26,22813551
2015-03-27,22813551
2015-03-28,23327597
2015-03-29,23658562
2015-03-30,23920099
2015-03-31,23920099
2015-04-01,24167394
2015-04-02,24167394
2015-04-03,24469825
2015-04-04,24746499
2015-04-05,24746499
2015-04-06,24723324
2015-04-07,24723324
2015-04-08,24612273
2015-04-09,24612273
2015-04-10,24706665
2015-04-11,24979400
2015-04-12,24979400
2015-04-13,25297292
2015-04-14,25297292
2015-04-15,25452456
2015-04-16,25452456
2015-04-17,25692855
2015-04-18,25802711
2015-04-19,26196878
2015-04-20,26196878
2015-04-21,26543600
2015-04-22,26543600
2015-04-23,27302213
2015-04-24,27302213
2015-04-25,28182286
2015-04-26,28182286
2015-04-27,28091767
2015-04-28,26695035
2015-04-29,26695035
2015-04-30,25489837
2015-05-01,24885775
2015-05-02,25081400
2015-05-03,25081400
2015-05-04,25009101
2015-05-05,25009101
2015-05-06,25236081
2015-05-07,25236081
2015-05-08,25525596
2015-05-09,25951288
2015-05-10,26082690
2015-05-11,26082690
2015-05-12,26652332
2015-05-13,26652332
2015-05-14,26659424
2015-05-15,26659424
2015-05-16,26900233
2015-05-17,26653471
2015-05-18,26626430
2015-05-19,26626430
2015-05-20,26750179
2015-05-21,26750179
2015-05-22,26497772
2015-05-23,26497772
2015-05-24,26727031
2015-05-25,27193864
2015-05-26,27193864
2015-05-27,27146776
2015-05-28,27029639
2015-05-29,27129582
2015-05-30,27461279
2015-05-31,27312767
2015-06-01,27203337
2015-06-02,27203337
2015-06-03,27494305
2015-06-04,27549062
2015-06-05,27762844
2015-06-06,27947084
2015-06-07,27949227
2015-06-08,27919891
2015-06-09,27828894
2015-06-10,27760340
2015-06-11,27132141
2015-06-12,26187186
2015-06-13,25559292
2015-06-14,25333982
2015-06-15,25385862
2015-06-16,24869171
2015-06-17,24677600
2015-06-18,23733000
2015-06-19,22662360
2015-06-20,22813950
2015-06-21,23717335
2015-06-22,24477789
2015-06-23,25418907
2015-06-24,25482447
2015-06-25,25482447
2015-06-26,25277908
2015-06-27,25277908
2015-06-28,25393634
2015-06-29,25364112
2015-06-30,25523386
2015-07-01,25773846
2015-07-02,25773846
2015-07-03,26074030
2015-07-04,25919356
2015-07-05,26042910
2015-07-06,26078737
2015-07-07,26140612
2015-07-08,26396066
2015-07-09,26396066
2015-07-10,26650385
2015-07-11,26516591
2015-07-12,26539418
2015-07-13,26444542
2015-07-14,26527610
2015-07-15,26429844
2015-07-16,26574613
2015-07-17,26568207
2015-07-18,26604637
2015-07-19,26459430
2015-07-20,26290287
2015-07-21,26414910
2015-07-22,26339872
2015-07-23,26339872
2015-07-24,26351160
2015-07-25,26476733
2015-07-26,26679665
2015-07-27,26880278
2015-07-28,26889452
2015-07-29,27002797
2015-07-30,27200898
2015-07-31,27419288
2015-08-01,27336694
2015-08-02,27411670
2015-08-03,27301011
2015-08-04,27376073
2015-08-05,27350161
2015-08-06,27315189
2015-08-07,27315628
2015-08-08,27521930
2015-08-09,27719839
2015-08-10,27815895
2015-08-11,27721084
2015-08-12,27721084
2015-08-13,27754825
2015-08-14,27851632
2015-08-15,27935490
2015-08-16,27923488
2015-08-17,27834076
2015-08-18,27797459
2015-08-19,27802642
2015-08-20,27716411
2015-08-21,27896896
2015-08-22,28122745
2015-08-23,28122457
2015-08-24,28180890
2015-08-25,28180890
2015-08-26,28134448
2015-08-27,27044794
2015-08-28,26404751
2015-08-29,25695621
2015-08-30,24805823
2015-08-31,24773301
2015-09-01,24736643
2015-09-02,24804790
2015-09-03,24986757
2015-09-04,25211070
2015-09-05,25228349
2015-09-06,25566916
2015-09-07,25740569
2015-09-08,25846386
2015-09-09,25549064
2015-09-10,25406445
2015-09-11,25227214
2015-09-12,25118783
2015-09-13,25014777
2015-09-14,24888118
2015-09-15,24818039
2015-09-16,24690197
2015-09-17,24398327
2015-09-18,24514121
2015-09-19,24747240
2015-09-20,24925400
2015-09-21,24796766
2015-09-22,24819935
2015-09-23,24755232
2015-09-24,24646435
2015-09-25,23829052
2015-09-27,23366178
2015-09-28,23825703
2015-09-29,24264491
2015-09-30,24851341
2015-10-05,23527240
2015-10-06,23343514
2015-10-07,23101531
2015-10-08,22977549
2015-10-09,22890802
2015-10-10,22890802
2015-10-11,22532550
2015-10-12,22425941
2015-10-13,22366949
2015-10-14,22431915
2015-10-15,22703664
2015-10-16,23420701
2015-10-17,23848832
2015-10-18,23896447
2015-10-19,23646951
2015-10-20,22957231
2015-10-22,22686833
2015-10-23,22761038
2015-10-24,23404976
2015-10-25,23450531
2015-10-26,23409037
2015-10-27,23415018
2015-10-28,23424569
2015-10-29,23375424
2015-10-30,23535874
2015-10-31,23605104
2015-11-01,23737412
2015-11-02,23817616
2015-11-03,23627157
2015-11-04,23320302
2015-11-05,22951419
2015-11-06,23158413
2015-11-07,23648383
2015-11-08,23792071
2015-11-09,24058659
2015-11-10,24353474
2015-11-11,24445707
2015-11-12,24348879
2015-11-13,24302912
2015-11-14,24614549
2015-11-15,24805327
2015-11-16,24636830
2015-11-17,24639848
2015-11-18,24584158
2015-11-19,24459352
2015-11-20,25073407
2015-11-21,25073407
2015-11-22,25318095
2015-11-23,25318095
2015-11-24,25309339
2015-11-25,25449980
2015-11-26,25449980
2015-11-27,25303913
2015-11-28,25272791
2015-11-29,25227633
2015-11-30,25117979
2015-12-01,25174023
2015-12-02,25216610
2015-12-03,25357915
2015-12-04,25551348
2015-12-05,25815561
2015-12-06,26196009
2015-12-07,26138260
2015-12-08,26100154
2015-12-09,26196307
2015-12-10,26177951
2015-12-11,26197695
2015-12-12,26144508
2015-12-13,26098387
2015-12-14,26098387
2015-12-15,26017508
2015-12-16,25942772
2015-12-17,25787900
2015-12-18,25631853
2015-12-19,25764848
2015-12-20,25924143
2015-12-21,25925489
2015-12-22,26071770
2015-12-23,26160779
2015-12-24,26099560
2015-12-25,26123120
2015-12-26,26277608
2015-12-27,26457715
2015-12-28,26453665
2015-12-29,26232978
2015-12-30,26068093
2015-12-31,26091112
2016-01-01,26150884
2016-01-02,26298297
2016-01-03,26405452
2016-01-04,26396617
2016-01-05,26306840
2016-01-06,26291246
2016-01-07,26375060
2016-01-08,26532496
2016-01-09,26769916
2016-01-10,26942418
2016-01-11,26935275
2016-01-12,26869609
2016-01-13,26787456
2016-01-14,26738681
2016-01-15,26899270
2016-01-16,26875248
2016-01-17,26934607
2016-01-18,26895634
2016-01-19,26871058
2016-01-20,26893864
2016-01-21,26741757
2016-01-22,26584454
2016-01-23,26486314
2016-01-24,26384114
2016-01-25,26221950
2016-01-26,25985040
2016-01-27,25695785
2016-01-28,25695785
2016-01-29,25478726
2016-01-30,25453043
2016-01-31,25467675
2016-02-01,25416471
2016-02-02,25261248
2016-02-03,25196855
2016-02-04,25242472
2016-02-05,25225127
2016-02-06,25145600
2016-02-07,25147122
2016-02-08,25161972
2016-02-09,25114344
2016-02-10,25138432
2016-02-11,25177944
2016-02-12,25335852
2016-02-13,25409748
2016-02-14,25535955
2016-02-15,25531603
2016-02-16,25573341
2016-02-17,25609941
2016-02-18,25514134
2016-02-19,25249644
2016-02-20,25103372
2016-02-21,24663621
2016-02-22,23856627
2016-02-23,23492082
2016-02-24,22996733
2016-02-25,23725211
2016-02-26,23844058
2016-02-27,24154605
2016-02-28,23979414
2016-02-29,23690225
