date_obj,Black%20mask price
2015-03-26,849804
2015-03-27,849804
2015-03-28,861255
2015-03-29,885976
2015-03-30,901437
2015-03-31,902650
2015-04-01,893188
2015-04-02,901238
2015-04-03,888263
2015-04-04,884423
2015-04-05,874801
2015-04-06,869159
2015-04-07,857489
2015-04-08,860919
2015-04-09,858914
2015-04-10,861273
2015-04-11,858895
2015-04-12,857511
2015-04-13,847201
2015-04-14,834067
2015-04-15,819339
2015-04-16,817454
2015-04-17,807273
2015-04-18,788021
2015-04-19,758623
2015-04-20,752606
2015-04-21,725735
2015-04-22,717675
2015-04-23,700293
2015-04-24,691618
2015-04-25,690142
2015-04-26,688334
2015-04-27,700663
2015-04-28,734671
2015-04-29,734671
2015-04-30,771405
2015-05-01,807266
2015-05-02,774553
2015-05-03,774553
2015-05-04,777128
2015-05-05,794627
2015-05-06,816396
2015-05-07,840511
2015-05-08,869013
2015-05-09,889843
2015-05-10,901729
2015-05-11,901729
2015-05-12,866458
2015-05-13,826667
2015-05-14,834397
2015-05-15,863551
2015-05-16,859991
2015-05-17,830722
2015-05-18,807773
2015-05-19,779585
2015-05-20,779585
2015-05-21,779844
2015-05-22,773569
2015-05-23,777364
2015-05-24,791000
2015-05-25,795875
2015-05-26,795253
2015-05-27,801802
2015-05-28,809835
2015-05-29,818611
2015-05-30,832405
2015-05-31,828359
2015-06-01,815708
2015-06-02,802484
2015-06-03,806778
2015-06-04,825397
2015-06-05,825045
2015-06-06,833876
2015-06-07,831837
2015-06-08,828068
2015-06-09,826654
2015-06-10,829405
2015-06-11,814220
2015-06-12,810759
2015-06-13,821379
2015-06-14,822531
2015-06-15,811215
2015-06-16,792366
2015-06-17,779550
2015-06-18,772015
2015-06-19,771329
2015-06-20,755657
2015-06-21,718782
2015-06-22,690194
2015-06-23,692264
2015-06-24,697744
2015-06-25,707362
2015-06-26,702755
2015-06-27,698156
2015-06-28,694899
2015-06-29,689975
2015-06-30,689558
2015-07-01,683940
2015-07-02,683940
2015-07-03,690413
2015-07-04,684225
2015-07-05,678677
2015-07-06,663797
2015-07-07,651647
2015-07-08,647090
2015-07-09,647090
2015-07-10,638489
2015-07-11,629086
2015-07-12,619235
2015-07-13,607317
2015-07-14,582410
2015-07-15,556013
2015-07-16,562684
2015-07-17,581162
2015-07-18,579184
2015-07-19,596197
2015-07-20,603961
2015-07-21,607035
2015-07-22,615676
2015-07-23,615676
2015-07-24,605221
2015-07-25,578006
2015-07-26,561218
2015-07-27,543402
2015-07-28,530510
2015-07-29,517917
2015-07-30,520588
2015-07-31,525271
2015-08-01,534166
2015-08-02,530903
2015-08-03,531980
2015-08-04,515391
2015-08-05,519483
2015-08-06,519309
2015-08-07,516501
2015-08-08,517747
2015-08-09,519092
2015-08-10,524095
2015-08-11,529665
2015-08-12,528595
2015-08-13,546842
2015-08-14,573313
2015-08-15,601734
2015-08-16,626095
2015-08-17,603552
2015-08-18,584326
2015-08-19,582018
2015-08-20,608010
2015-08-21,635861
2015-08-22,667367
2015-08-23,700736
2015-08-24,730470
2015-08-25,730470
2015-08-26,757225
2015-08-27,779015
2015-08-28,817019
2015-08-29,849715
2015-08-30,890298
2015-08-31,897127
2015-09-01,888611
2015-09-02,886759
2015-09-03,863851
2015-09-04,854783
2015-09-05,863182
2015-09-06,877381
2015-09-07,882433
2015-09-08,881768
2015-09-09,868691
2015-09-10,859879
2015-09-11,832821
2015-09-12,814995
2015-09-13,799997
2015-09-14,773919
2015-09-15,742173
2015-09-16,705064
2015-09-17,671467
2015-09-18,637893
2015-09-19,624802
2015-09-20,632225
2015-09-21,642020
2015-09-22,639676
2015-09-23,608594
2015-09-24,578570
2015-09-25,581071
2015-09-27,585379
2015-09-28,593453
2015-09-29,608689
2015-09-30,632001
2015-10-05,592301
2015-10-06,570912
2015-10-07,575816
2015-10-08,564677
2015-10-09,554043
2015-10-10,554043
2015-10-11,539131
2015-10-12,514407
2015-10-13,502287
2015-10-14,502213
2015-10-15,497832
2015-10-16,507168
2015-10-17,507168
2015-10-18,506232
2015-10-19,502797
2015-10-20,495237
2015-10-22,494158
2015-10-23,490598
2015-10-24,478750
2015-10-25,495773
2015-10-26,500789
2015-10-27,487841
2015-10-29,486378
2015-10-30,484346
2015-10-31,482913
2015-11-01,482913
2015-11-02,472829
2015-11-03,463088
2015-11-04,458279
2015-11-05,453004
2015-11-06,444484
2015-11-07,443604
2015-11-08,443604
2015-11-09,441691
2015-11-10,435766
2015-11-11,431305
2015-11-12,424189
2015-11-13,416333
2015-11-14,432619
2015-11-15,452015
2015-11-16,474616
2015-11-17,482141
2015-11-18,481732
2015-11-19,480653
2015-11-20,492304
2015-11-21,492304
2015-11-22,513680
2015-11-23,513680
2015-11-24,526234
2015-11-25,540735
2015-11-26,540735
2015-11-27,560970
2015-11-28,583663
2015-11-29,595929
2015-11-30,624874
2015-12-01,654705
2015-12-02,687188
2015-12-03,720917
2015-12-04,749863
2015-12-05,739839
2015-12-06,713552
2015-12-07,681682
2015-12-08,647924
2015-12-09,663276
2015-12-10,672428
2015-12-11,672763
2015-12-12,679372
2015-12-13,671244
2015-12-14,671244
2015-12-15,681331
2015-12-16,671234
2015-12-17,669127
2015-12-18,664085
2015-12-19,657212
2015-12-20,668286
2015-12-21,692606
2015-12-22,708897
2015-12-23,726873
2015-12-24,753803
2015-12-25,791237
2015-12-26,821266
2015-12-27,809803
2015-12-28,769312
2015-12-29,731579
2015-12-30,699020
2015-12-31,684866
2016-01-01,681636
2016-01-02,676160
2016-01-03,661220
2016-01-04,646903
2016-01-05,646669
2016-01-06,637370
2016-01-07,617326
2016-01-08,589461
2016-01-09,576197
2016-01-10,598317
2016-01-11,594618
2016-01-12,577128
2016-01-13,574572
2016-01-14,564096
2016-01-15,560089
2016-01-16,576508
2016-01-17,563734
2016-01-18,550817
2016-01-19,553585
2016-01-20,574150
2016-01-21,601249
2016-01-22,600933
2016-01-23,599990
2016-01-24,589200
2016-01-25,573149
2016-01-26,552344
2016-01-27,563049
2016-01-28,563049
2016-01-29,561946
2016-01-30,559014
2016-01-31,560233
2016-02-01,560616
2016-02-02,555516
2016-02-03,556294
2016-02-04,563285
2016-02-05,586255
2016-02-06,613962
2016-02-07,644597
2016-02-08,676213
2016-02-09,710024
2016-02-10,733069
2016-02-11,749761
2016-02-12,766278
2016-02-13,759018
2016-02-14,748625
2016-02-15,746636
2016-02-16,737676
2016-02-17,714213
2016-02-18,694320
2016-02-19,659634
2016-02-20,626722
2016-02-21,629202
2016-02-22,629202
2016-02-23,625884
2016-02-24,609794
2016-02-25,594608
2016-02-26,590527
2016-02-27,594453
2016-02-28,589519
2016-02-29,576385
2016-03-01,573106
2016-03-02,561421
2016-03-03,572428
2016-03-04,575471
2016-03-05,577265
2016-03-06,578865
2016-03-07,589301
2016-03-08,587156
2016-03-09,578863
2016-03-10,573116
2016-03-11,584931
2016-03-12,571175
2016-03-13,577074
2016-03-14,564931
2016-03-15,563083
2016-03-16,569954
2016-03-17,565361
2016-03-18,562181
2016-03-19,550664
2016-03-20,550911
2016-03-21,541001
2016-03-22,552961
2016-03-23,547474
2016-03-24,557948
2016-03-25,567558
2016-03-26,584332
2016-03-27,585778
2016-03-28,608883
2016-03-29,622007
2016-03-30,622007
2016-03-31,628628
2016-04-01,620166
2016-04-02,608638
2016-04-03,580454
2016-04-04,569683
2016-04-05,562809
2016-04-06,562101
2016-04-07,572127
2016-04-08,575075
2016-04-09,582212
2016-04-10,580376
2016-04-11,580376
2016-04-12,572411
2016-04-13,573763
2016-04-14,565854
2016-04-15,558507
2016-04-16,560274
