date_obj,Staff%20of%20the%20dead price
2015-03-26,11985155
2015-03-27,11985155
2015-03-28,11985155
2015-03-29,12370126
2015-03-30,12370126
2015-03-31,12742895
2015-04-01,12742895
2015-04-02,12742895
2015-04-03,13265378
2015-04-04,13265378
2015-04-05,13618325
2015-04-06,13618325
2015-04-07,13615550
2015-04-08,13615550
2015-04-09,13615550
2015-04-10,13822132
2015-04-11,13822132
2015-04-12,14131827
2015-04-13,14131827
2015-04-14,14131827
2015-04-15,13945723
2015-04-16,13945723
2015-04-17,13945723
2015-04-18,13741478
2015-04-19,13741478
2015-04-20,13741478
2015-04-21,13624884
2015-04-22,13624884
2015-04-23,13624884
2015-04-24,13453345
2015-04-25,13453345
2015-04-26,13453345
2015-04-27,13274206
2015-04-28,13274206
2015-04-29,13274206
2015-04-30,12796407
2015-05-01,12796407
2015-05-02,12751835
2015-05-03,12751835
2015-05-04,12751835
2015-05-05,12988656
2015-05-06,12988656
2015-05-07,13053687
2015-05-08,13053687
2015-05-09,13053687
2015-05-10,13404204
2015-05-11,13404204
2015-05-12,13404204
2015-05-13,13789366
2015-05-14,13789366
2015-05-15,13789366
2015-05-16,13773970
2015-05-17,13773970
2015-05-18,13483345
2015-05-19,13483345
2015-05-20,13483345
2015-05-21,13483345
2015-05-22,13336834
2015-05-23,13336834
2015-05-24,13336834
2015-05-25,13486957
2015-05-26,13486957
2015-05-27,13486957
2015-05-28,13575568
2015-05-29,13575568
2015-05-30,13915884
2015-05-31,13915884
2015-06-01,14202809
2015-06-02,14202809
2015-06-03,14361911
2015-06-04,14361911
2015-06-05,14455958
2015-06-06,14455958
2015-06-07,14574484
2015-06-08,14574484
2015-06-09,14386801
2015-06-10,14386801
2015-06-11,14264010
2015-06-12,14264010
2015-06-13,13797230
2015-06-14,13797230
2015-06-15,13341355
2015-06-16,13341355
2015-06-17,13122348
2015-06-18,12940054
2015-06-19,12940054
2015-06-20,12519471
2015-06-21,12519471
2015-06-22,12406542
2015-06-23,12406542
2015-06-24,12353407
2015-06-25,12353407
2015-06-26,12800756
2015-06-27,12800756
2015-06-28,12949164
2015-06-29,12949164
2015-06-30,13204229
2015-07-01,13801826
2015-07-02,13801826
2015-07-03,14040026
2015-07-04,14040026
2015-07-05,14040065
2015-07-06,14040065
2015-07-07,14153308
2015-07-08,14153308
2015-07-09,14159175
2015-07-10,14601646
2015-07-11,14601646
2015-07-12,14605560
2015-07-13,14605560
2015-07-14,14287723
2015-07-15,14287723
2015-07-16,14074145
2015-07-17,14167986
2015-07-18,14167986
2015-07-19,14373435
2015-07-20,14620250
2015-07-21,14620250
2015-07-22,14801144
2015-07-23,14801144
2015-07-24,15148976
2015-07-25,15148976
2015-07-26,15406455
2015-07-27,15406455
2015-07-28,15503016
2015-07-29,15586015
2015-07-30,15586015
2015-07-31,15716857
2015-08-01,15716857
2015-08-02,15510171
2015-08-03,15510171
2015-08-04,15295024
2015-08-05,15145600
2015-08-06,15145600
2015-08-07,15059304
2015-08-08,14958400
2015-08-09,14917775
2015-08-10,14917775
2015-08-11,14908439
2015-08-12,14908439
2015-08-13,15421875
2015-08-14,15864268
2015-08-15,15864268
2015-08-16,15703217
2015-08-17,16020107
2015-08-18,16398111
2015-08-19,16390978
2015-08-20,16390978
2015-08-21,16577933
2015-08-22,16673079
2015-08-23,16673079
2015-08-24,16788706
2015-08-25,16788706
2015-08-26,16755632
2015-08-27,16485435
2015-08-28,16485435
2015-08-29,16073374
2015-08-30,16073374
2015-08-31,15843826
2015-09-01,15573631
2015-09-02,15573631
2015-09-03,15340731
2015-09-04,15343897
2015-09-05,15343897
2015-09-06,15388554
2015-09-07,15388554
2015-09-08,15420964
2015-09-09,15420964
2015-09-10,15420772
2015-09-11,15377237
2015-09-12,15528742
2015-09-13,15676832
2015-09-14,15676832
2015-09-15,15722692
2015-09-16,15722692
2015-09-17,15587624
2015-09-18,15587624
2015-09-19,15491343
2015-09-20,15344901
2015-09-21,15344901
2015-09-22,15332840
2015-09-23,15307346
2015-09-24,15307346
2015-09-25,14863995
2015-09-27,14696022
2015-09-28,14314521
2015-09-29,14314521
2015-09-30,13947428
2015-10-05,12033958
2015-10-06,11432260
2015-10-07,10881660
2015-10-08,10848174
2015-10-09,11361071
2015-10-10,11361071
2015-10-11,11474531
2015-10-12,11622589
2015-10-13,11622589
2015-10-14,11524708
2015-10-15,11527923
2015-10-16,11626360
