date_obj,Law%20rune price
2015-03-26,202
2015-03-27,203
2015-03-28,208
2015-03-29,214
2015-03-30,218
2015-03-31,226
2015-04-01,230
2015-04-02,227
2015-04-03,227
2015-04-04,227
2015-04-05,232
2015-04-06,230
2015-04-07,228
2015-04-08,226
2015-04-09,221
2015-04-10,219
2015-04-11,220
2015-04-12,217
2015-04-13,215
2015-04-14,213
2015-04-15,213
2015-04-16,211
2015-04-17,210
2015-04-18,206
2015-04-19,205
2015-04-20,203
2015-04-21,204
2015-04-22,207
2015-04-23,205
2015-04-24,207
2015-04-25,212
2015-04-26,216
2015-04-27,222
2015-04-28,221
2015-04-29,218
2015-04-30,214
2015-05-01,212
2015-05-02,210
2015-05-03,208
2015-05-04,210
2015-05-05,210
2015-05-06,214
2015-05-07,220
2015-05-08,224
2015-05-09,230
2015-05-10,227
2015-05-11,224
2015-05-12,217
2015-05-13,217
2015-05-14,219
2015-05-15,218
2015-05-16,216
2015-05-17,220
2015-05-18,221
2015-05-19,221
2015-05-20,222
2015-05-21,221
2015-05-22,222
2015-05-23,221
2015-05-24,222
2015-05-25,225
2015-05-26,226
2015-05-27,223
2015-05-28,224
2015-05-29,221
2015-05-30,223
2015-05-31,224
2015-06-01,226
2015-06-02,223
2015-06-03,221
2015-06-04,215
2015-06-05,208
2015-06-06,204
2015-06-07,199
2015-06-08,196
2015-06-09,197
2015-06-10,195
2015-06-11,191
2015-06-12,185
2015-06-13,179
2015-06-14,183
2015-06-15,186
2015-06-16,192
2015-06-17,192
2015-06-18,189
2015-06-19,188
2015-06-20,189
2015-06-21,185
2015-06-22,182
2015-06-23,180
2015-06-24,181
2015-06-25,180
2015-06-26,179
2015-06-27,181
2015-06-28,184
2015-06-29,187
2015-06-30,187
2015-07-01,185
2015-07-02,186
2015-07-03,187
2015-07-04,183
2015-07-05,183
2015-07-06,182
2015-07-07,185
2015-07-08,191
2015-07-09,199
2015-07-10,207
2015-07-11,214
2015-07-12,208
2015-07-13,212
2015-07-14,220
2015-07-15,218
2015-07-16,214
2015-07-17,210
2015-07-18,208
2015-07-19,205
2015-07-20,203
2015-07-21,205
2015-07-22,208
2015-07-23,216
2015-07-24,218
2015-07-25,221
2015-07-26,230
2015-07-27,236
2015-07-28,246
2015-07-29,251
2015-07-30,249
2015-07-31,246
2015-08-01,240
2015-08-02,238
2015-08-03,238
2015-08-04,242
2015-08-05,245
2015-08-06,235
2015-08-07,231
2015-08-08,224
2015-08-09,219
2015-08-10,221
2015-08-11,224
2015-08-12,229
2015-08-13,229
2015-08-14,224
2015-08-15,228
2015-08-16,217
2015-08-17,216
2015-08-18,215
2015-08-19,212
2015-08-20,208
2015-08-21,211
2015-08-22,210
2015-08-23,206
2015-08-24,211
2015-08-25,211
2015-08-26,209
2015-08-27,212
2015-08-28,213
2015-08-29,219
2015-08-30,214
2015-08-31,214
2015-09-01,219
2015-09-02,213
2015-09-03,215
2015-09-04,218
2015-09-05,218
2015-09-06,225
2015-09-07,228
2015-09-08,232
2015-09-09,235
2015-09-10,239
2015-09-11,246
2015-09-12,255
2015-09-13,259
2015-09-14,249
2015-09-15,240
2015-09-16,232
2015-09-17,223
2015-09-18,222
2015-09-19,223
2015-09-20,232
2015-09-21,224
2015-09-22,222
2015-09-23,222
