date_obj,Rune%20crossbow price
2015-03-26,10370
2015-03-27,10132
2015-03-28,10179
2015-03-29,10332
2015-03-30,10287
2015-03-31,10322
2015-04-01,10483
2015-04-02,10733
2015-04-03,11012
2015-04-04,10894
2015-04-05,10555
2015-04-06,10563
2015-04-07,10740
2015-04-08,10833
2015-04-09,10990
2015-04-10,11480
2015-04-11,11542
2015-04-12,11180
2015-04-13,10755
2015-04-14,10424
2015-04-15,10311
2015-04-16,10392
2015-04-17,10274
2015-04-18,10437
2015-04-19,10476
2015-04-20,10366
2015-04-21,10496
2015-04-22,10366
2015-04-23,10411
2015-04-24,10407
2015-04-25,10471
2015-04-26,10573
2015-04-27,10642
2015-04-28,10413
2015-04-29,10291
2015-04-30,10241
2015-05-01,10297
2015-05-02,10392
2015-05-03,10407
2015-05-04,10438
2015-05-05,10466
2015-05-06,10374
2015-05-07,10339
2015-05-08,10400
2015-05-09,10323
2015-05-10,10316
2015-05-11,10333
2015-05-12,10493
2015-05-13,10571
2015-05-14,10600
2015-05-15,10814
2015-05-16,10706
2015-05-17,10459
2015-05-18,10062
2015-05-19,9969
2015-05-20,9758
2015-05-21,9663
2015-05-22,9741
2015-05-23,9636
2015-05-24,9710
2015-05-25,10054
2015-05-26,10435
2015-05-27,10633
2015-05-28,10741
2015-05-29,11020
2015-05-30,10923
2015-05-31,10885
2015-06-01,10703
2015-06-02,10410
2015-06-03,10480
2015-06-04,10370
2015-06-05,10275
2015-06-06,10217
2015-06-07,10256
2015-06-08,10082
2015-06-09,10071
2015-06-10,10196
2015-06-11,10156
2015-06-12,10324
2015-06-13,10467
2015-06-14,10635
2015-06-15,10588
2015-06-16,10447
2015-06-17,10577
2015-06-18,11002
2015-06-19,11415
2015-06-20,11428
2015-06-21,11106
2015-06-22,10666
2015-06-23,10279
2015-06-24,10047
2015-06-25,9969
2015-06-26,9936
2015-06-27,10015
2015-06-28,10281
2015-06-29,10385
2015-06-30,10453
2015-07-01,10726
2015-07-02,10928
2015-07-03,10933
2015-07-04,10709
2015-07-05,10746
2015-07-06,10587
2015-07-07,10568
2015-07-08,10369
2015-07-09,10433
2015-07-10,10405
2015-07-11,10371
2015-07-12,10234
2015-07-13,10262
2015-07-14,10184
2015-07-15,10118
2015-07-16,10072
2015-07-17,10096
2015-07-18,10370
2015-07-19,10572
2015-07-20,10555
2015-07-21,10623
2015-07-22,10849
2015-07-23,11142
2015-07-24,10912
2015-07-25,10728
2015-07-26,10920
2015-07-27,10644
2015-07-28,10492
2015-07-29,10475
2015-07-30,10536
2015-07-31,10603
2015-08-01,10475
2015-08-02,10543
2015-08-03,10495
2015-08-04,10451
2015-08-05,10626
2015-08-06,10750
2015-08-07,10837
2015-08-08,11157
2015-08-09,11252
2015-08-10,11385
2015-08-11,11256
2015-08-12,11028
2015-08-13,10768
2015-08-14,10498
2015-08-15,10432
2015-08-16,10479
2015-08-17,10448
2015-08-18,10602
2015-08-19,10644
2015-08-20,10669
2015-08-21,10868
2015-08-22,10804
2015-08-23,10707
2015-08-24,10698
2015-08-25,10548
2015-08-26,10472
2015-08-27,10511
2015-08-28,10511
2015-08-29,10557
2015-08-30,10490
2015-08-31,10488
2015-09-01,10444
2015-09-02,10487
2015-09-03,10459
2015-09-04,10429
2015-09-05,10427
2015-09-06,10441
2015-09-07,10495
2015-09-08,10522
2015-09-09,10440
2015-09-10,10362
2015-09-11,10308
2015-09-12,10295
2015-09-13,10258
2015-09-14,10186
2015-09-15,10060
2015-09-16,10100
2015-09-17,9951
2015-09-18,9988
2015-09-19,10195
2015-09-20,10202
2015-09-21,10174
2015-09-22,10302
2015-09-23,10380
2015-09-24,10466
2015-09-25,10577
2015-09-27,10481
2015-09-28,10468
2015-09-29,10391
2015-09-30,10352
2015-10-05,10466
2015-10-06,10618
2015-10-07,10696
2015-10-08,10800
2015-10-09,10813
2015-10-10,10763
2015-10-11,10820
2015-10-12,10728
2015-10-13,10784
2015-10-14,10850
2015-10-15,10923
2015-10-16,11080
2015-10-17,10990
2015-10-18,10834
2015-10-19,10518
2015-10-20,10481
2015-10-22,10453
2015-10-23,10450
2015-10-24,10470
2015-10-25,10430
2015-10-26,10366
2015-10-27,10466
2015-10-29,10567
2015-10-30,10551
2015-10-31,10568
2015-11-01,10313
2015-11-02,10356
2015-11-03,10348
2015-11-04,10314
2015-11-05,10299
2015-11-06,10279
2015-11-07,10377
2015-11-08,10416
2015-11-09,10623
2015-11-10,10603
2015-11-11,10540
2015-11-12,10413
2015-11-13,10397
2015-11-14,10411
2015-11-15,10573
2015-11-16,10871
2015-11-17,10894
2015-11-18,11300
2015-11-19,11645
2015-11-20,11466
2015-11-21,11393
2015-11-22,11126
2015-11-23,10915
2015-11-24,10800
2015-11-25,10582
2015-11-26,10471
2015-11-27,10546
2015-11-28,10782
2015-11-29,10741
2015-11-30,10774
2015-12-01,10727
2015-12-02,10713
2015-12-03,10715
2015-12-04,10678
2015-12-05,10759
2015-12-06,10807
2015-12-07,10753
2015-12-08,10791
2015-12-09,10748
2015-12-10,10769
2015-12-11,10779
2015-12-12,10663
2015-12-13,10501
2015-12-14,10417
2015-12-15,10471
2015-12-16,10578
2015-12-17,10642
2015-12-18,10614
2015-12-19,10616
2015-12-20,10695
2015-12-21,10640
2015-12-22,10604
2015-12-23,10666
2015-12-24,10589
2015-12-25,10634
2015-12-26,10666
2015-12-27,10694
2015-12-28,10836
2015-12-29,10872
2015-12-30,10923
2015-12-31,10906
2016-01-01,10965
2016-01-02,11036
2016-01-03,11090
2016-01-04,11040
2016-01-05,11087
2016-01-06,10890
2016-01-07,10662
2016-01-08,10498
2016-01-09,10714
2016-01-10,10748
2016-01-11,10730
2016-01-12,10763
2016-01-13,10787
2016-01-14,10740
2016-01-15,10698
2016-01-16,10725
2016-01-17,10672
2016-01-18,10641
2016-01-19,10488
