date_obj,Bowl%20wig price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,10000000
2016-07-09,10000000
2016-07-10,10000000
2016-07-11,9508434
2016-07-12,9508434
2016-07-13,9508434
2016-07-14,9508434
2016-07-15,9508434
2016-07-16,9508434
2016-07-17,9039235
2016-07-18,9039235
2016-07-23,9039235
2016-07-24,9039235
2016-07-25,8595653
2016-07-26,8595653
2016-07-27,8595653
2016-07-28,8595653
2016-07-29,8595653
2016-07-30,8595653
2016-07-31,8595653
2016-08-01,8169163
2016-08-02,8169163
2016-08-03,8169163
2016-08-04,8169163
2016-08-05,8169163
2016-08-06,7769623
2016-08-07,7769623
2016-08-08,7769623
2016-08-09,7769623
2016-08-10,7769623
2016-08-11,7769623
2016-08-12,7769623
2016-08-13,7769623
2016-08-14,7385026
2016-08-15,7385026
2016-08-16,7385026
2016-08-17,7385026
2016-08-18,7385026
2016-08-19,7385026
2016-08-20,7385026
2016-08-21,7385026
2016-08-22,7385026
2016-08-23,7020059
2016-08-24,7020059
2016-08-25,7020059
2016-08-26,7020059
2016-08-28,7020059
2016-08-31,7020059
2016-09-01,6671536
2016-09-02,6671536
2016-09-03,6671536
2016-09-04,6671536
2016-09-05,6671536
2016-09-06,6671536
2016-09-07,6671536
2016-09-08,6671536
2016-09-09,6671536
2016-09-10,6671536
2016-09-11,6671536
2016-09-12,6671536
2016-09-13,6671536
2016-09-14,6342208
2016-09-15,6342208
2016-09-16,6342208
2016-09-17,6342208
2016-09-18,6342208
2016-09-19,6342208
2016-09-20,6342208
2016-09-21,6342208
2016-09-22,6029674
2016-09-23,6029674
2016-09-24,6029674
2016-09-25,6029674
2016-09-26,6029674
2016-09-27,6029674
2016-09-28,6029674
2016-09-29,6029674
2016-09-30,5731843
2016-10-01,5731843
2016-10-02,5731843
2016-10-03,5731843
2016-10-04,5731843
2016-10-05,5731843
2016-10-06,5731843
2016-10-07,5731843
2016-10-08,5731843
2016-10-09,5452712
2016-10-10,5452712
2016-10-11,5452712
2016-10-12,5452712
2016-10-13,5452712
2016-10-14,5452712
2016-10-15,5452712
2016-10-16,5452712
2016-10-17,5452712
2016-10-18,5452712
2016-10-19,5452712
2016-10-20,5186367
2016-10-21,5186367
2016-10-22,5186367
2016-10-23,5186367
2016-10-24,5186367
2016-10-25,5186367
2016-10-26,5186367
2016-10-27,5186367
2016-10-28,5186367
2016-10-29,5186367
2016-10-30,5186367
2016-10-31,5186367
2016-11-01,4932552
2016-11-02,4932552
2016-11-03,4932552
2016-11-04,4932552
2016-11-05,4932552
2016-11-06,4932552
2016-11-07,4932552
2016-11-08,4932552
2016-11-09,4932552
2016-11-10,4932552
2016-11-11,4932552
2016-11-12,4932552
2016-11-13,4932552
2016-11-14,4932552
2016-11-15,4687027
2016-12-07,4456605
2016-12-08,4456605
2016-12-09,4456605
2016-12-10,4456605
2016-12-11,4456605
2016-12-12,4456605
2016-12-13,4237088
2016-12-14,4237088
2016-12-15,4237088
2016-12-16,4237088
2016-12-17,4237088
2016-12-18,4237088
2016-12-19,4237088
2016-12-20,4237088
2016-12-21,4237088
2016-12-22,4237088
2016-12-23,4237088
