date_obj,Dharok's%20greataxe price
2015-03-26,208700
2015-03-27,208700
2015-03-28,219135
2015-03-29,230092
2015-03-30,241597
2015-03-31,253530
2015-04-01,253530
2015-04-02,266207
2015-04-03,279493
2015-04-04,293363
2015-04-05,293363
2015-04-06,300741
2015-04-07,303530
2015-04-08,303530
2015-04-09,311643
2015-04-10,321757
2015-04-11,314995
2015-04-12,315000
2015-04-13,314695
2015-04-14,314695
2015-04-15,320749
2015-04-16,315008
2015-04-17,315871
2015-04-18,304642
2015-04-19,300231
2015-04-20,300231
2015-04-21,293545
2015-04-22,293545
2015-04-23,295599
2015-04-24,300712
2015-04-25,294806
2015-04-26,290779
2015-04-27,292924
2015-04-28,291582
2015-04-29,291582
2015-04-30,288755
2015-05-01,284050
2015-05-02,277055
2015-05-03,277055
2015-05-04,271015
2015-05-05,265129
2015-05-06,266362
2015-05-07,272880
2015-05-08,272880
2015-05-09,274785
2015-05-10,285189
2015-05-11,285189
2015-05-12,297618
2015-05-13,297618
2015-05-14,300369
2015-05-15,300369
2015-05-16,296617
2015-05-17,291432
2015-05-18,292450
2015-05-19,293995
2015-05-20,293995
2015-05-21,295545
2015-05-22,293427
2015-05-23,295106
2015-05-24,299230
2015-05-25,300047
2015-05-26,299888
2015-05-27,299888
2015-05-28,307529
2015-05-29,321295
2015-05-30,330017
2015-05-31,329394
2015-06-01,329909
2015-06-02,329909
2015-06-03,321188
2015-06-04,316924
2015-06-05,323163
2015-06-06,339100
2015-06-07,350006
2015-06-08,336693
2015-06-09,321572
2015-06-10,318318
2015-06-11,306662
2015-06-12,301257
2015-06-13,309278
2015-06-14,301537
2015-06-15,296844
2015-06-16,303939
2015-06-17,301485
2015-06-18,296279
2015-06-19,290874
2015-06-20,288087
2015-06-21,289941
2015-06-22,296381
2015-06-23,295805
2015-06-24,304221
2015-06-25,304221
2015-06-26,297272
2015-06-27,304480
2015-06-28,319203
2015-06-29,316702
2015-06-30,317424
2015-07-01,318836
2015-07-02,318836
2015-07-03,329124
2015-07-04,324412
2015-07-05,320424
2015-07-06,324301
2015-07-07,317459
2015-07-08,310978
2015-07-09,310978
2015-07-10,305949
2015-07-11,297917
2015-07-12,292129
2015-07-13,288810
2015-07-14,283443
2015-07-15,274046
2015-07-16,270440
2015-07-17,276702
2015-07-18,272005
2015-07-19,281866
2015-07-20,284069
2015-07-21,292724
2015-07-22,296726
2015-07-23,296726
2015-07-24,293959
2015-07-25,297957
2015-07-26,308663
2015-07-27,315321
2015-07-28,328294
