date_obj,Obsidian%20cape price
2015-03-26,334482
2015-03-27,331030
2015-03-28,330725
2015-03-29,338486
2015-03-30,346110
2015-03-31,351808
2015-04-01,355281
2015-04-02,359567
2015-04-03,362436
2015-04-04,373040
2015-04-05,381073
2015-04-06,376841
2015-04-07,371521
2015-04-08,369536
2015-04-09,363980
2015-04-10,360982
2015-04-11,362724
2015-04-12,361567
2015-04-13,352101
2015-04-14,346771
2015-04-15,335493
2015-04-16,330875
2015-04-17,327174
2015-04-18,326611
2015-04-19,325910
2015-04-20,324642
2015-04-21,321144
2015-04-22,316245
2015-04-23,312678
2015-04-24,314675
2015-04-25,321605
2015-04-26,323613
2015-04-27,322007
2015-04-28,317797
2015-04-29,315186
2015-04-30,315501
2015-05-01,312112
2015-05-02,312874
2015-05-03,307910
2015-05-04,306053
2015-05-05,304628
2015-05-06,302871
2015-05-07,301211
2015-05-08,299460
2015-05-09,301013
2015-05-10,304332
2015-05-11,305046
2015-05-12,299825
2015-05-13,296264
2015-05-14,299907
2015-05-15,306558
2015-05-16,308207
2015-05-17,310238
2015-05-18,315972
2015-05-19,314761
2015-05-20,319007
2015-05-21,322995
2015-05-22,330255
2015-05-23,329145
2015-05-24,335093
2015-05-25,330092
2015-05-26,323946
2015-05-27,318861
2015-05-28,315364
2015-05-29,314225
2015-05-30,310863
2015-05-31,319275
2015-06-01,323775
2015-06-02,335985
2015-06-03,331456
2015-06-04,337721
2015-06-05,341340
2015-06-06,350863
2015-06-07,356522
2015-06-08,372069
2015-06-09,377416
2015-06-10,388566
2015-06-11,374560
2015-06-12,367131
2015-06-13,358491
2015-06-14,353540
2015-06-15,350610
2015-06-16,344899
2015-06-17,343564
2015-06-18,347782
2015-06-19,346800
2015-06-20,348295
2015-06-21,341143
2015-06-22,337679
2015-06-23,335157
2015-06-24,327384
2015-06-25,340038
2015-06-26,350362
2015-06-27,355152
2015-06-28,357343
2015-06-29,362562
2015-06-30,360257
2015-07-01,363378
2015-07-02,376319
2015-07-03,389013
2015-07-04,377972
2015-07-05,362810
2015-07-06,359152
2015-07-07,355981
2015-07-08,352919
2015-07-09,351170
2015-07-10,361797
2015-07-11,374604
2015-07-12,375578
2015-07-13,377052
2015-07-14,380433
2015-07-15,384646
2015-07-16,389636
2015-07-17,398611
2015-07-18,403403
2015-07-19,408089
2015-07-20,411338
2015-07-21,408260
2015-07-22,394040
2015-07-23,386591
2015-07-24,381143
2015-07-25,370929
2015-07-26,372475
2015-07-27,377917
2015-07-28,377876
2015-07-29,382573
2015-07-30,380349
2015-07-31,379599
2015-08-01,379257
2015-08-02,387052
2015-08-03,396857
2015-08-04,391896
2015-08-05,386365
2015-08-06,379931
2015-08-07,378749
2015-08-08,375922
2015-08-09,371205
2015-08-10,362184
2015-08-11,356734
2015-08-12,350151
2015-08-13,335717
2015-08-14,326804
2015-08-15,327323
2015-08-16,320833
2015-08-17,319844
2015-08-18,328807
2015-08-19,322105
2015-08-20,316591
2015-08-21,303349
2015-08-22,298044
2015-08-23,293126
2015-08-24,283514
2015-08-25,283533
2015-08-26,290490
2015-08-27,297260
2015-08-28,300667
2015-08-29,309524
2015-08-30,304961
2015-08-31,293354
2015-09-01,287437
2015-09-02,287219
2015-09-03,286498
2015-09-04,287962
2015-09-05,295882
2015-09-06,296901
2015-09-07,290113
2015-09-08,295465
2015-09-09,295272
2015-09-10,291908
2015-09-11,286695
2015-09-12,283561
2015-09-13,286098
2015-09-14,296490
2015-09-15,296442
2015-09-16,295006
2015-09-17,289799
2015-09-18,292560
2015-09-19,291985
2015-09-20,290251
2015-09-21,287752
2015-09-22,285274
2015-09-23,282221
2015-09-24,287406
2015-09-25,290489
2015-09-27,290431
2015-09-28,288818
2015-09-29,290594
2015-09-30,290183
2015-10-05,289042
2015-10-06,291035
2015-10-07,292858
2015-10-08,293815
2015-10-09,291655
2015-10-10,289308
2015-10-11,283673
2015-10-12,282974
2015-10-13,276423
2015-10-14,272978
2015-10-15,272158
2015-10-16,274157
2015-10-17,283293
2015-10-18,295455
2015-10-19,294075
2015-10-20,301425
2015-10-22,291172
2015-10-23,288585
2015-10-24,292143
2015-10-25,296449
2015-10-26,305538
2015-10-27,316034
2015-10-29,312454
2015-10-30,313580
2015-10-31,317310
2015-11-01,321113
2015-11-02,328319
2015-11-03,318142
2015-11-04,318805
2015-11-05,315255
2015-11-06,315607
2015-11-07,321018
2015-11-08,322720
2015-11-09,323624
2015-11-10,320858
2015-11-11,317556
2015-11-12,316485
2015-11-13,313151
2015-11-14,309841
2015-11-15,307286
2015-11-16,311096
2015-11-17,304728
2015-11-18,306088
2015-11-19,301959
2015-11-20,300478
2015-11-21,300945
2015-11-22,297006
2015-11-23,294495
2015-11-24,294716
2015-11-25,295320
2015-11-26,295699
2015-11-27,296672
2015-11-28,298658
2015-11-29,303103
2015-11-30,306652
2015-12-01,308713
2015-12-02,316967
2015-12-03,312043
2015-12-04,308065
2015-12-05,310164
2015-12-06,304973
2015-12-07,308402
2015-12-08,313483
2015-12-09,315542
2015-12-10,317250
2015-12-11,319996
2015-12-12,316764
2015-12-13,321974
2015-12-14,323125
2015-12-15,331381
2015-12-16,334735
2015-12-17,328507
2015-12-18,323155
2015-12-19,322394
2015-12-20,332268
2015-12-21,328322
2015-12-22,334187
2015-12-23,334216
2015-12-24,334291
2015-12-25,345097
2015-12-26,350137
2015-12-27,354412
2015-12-28,359789
2015-12-29,368314
2015-12-30,380090
2015-12-31,376699
2016-01-01,373009
2016-01-02,366298
2016-01-03,363099
2016-01-04,366286
2016-01-05,366527
2016-01-06,366667
2016-01-07,363321
2016-01-08,360720
2016-01-09,358671
2016-01-10,352708
2016-01-11,354194
2016-01-12,348539
2016-01-13,334360
2016-01-14,322010
2016-01-15,306327
2016-01-16,306058
2016-01-17,308868
2016-01-18,319083
2016-01-19,326708
2016-01-20,322281
2016-01-21,313835
2016-01-22,306936
2016-01-23,303202
2016-01-24,299394
2016-01-25,300956
2016-01-26,301756
2016-01-27,305517
2016-01-28,308591
2016-01-29,312068
2016-01-30,313057
2016-01-31,310584
2016-02-01,311264
2016-02-02,311995
2016-02-03,308877
2016-02-04,308396
2016-02-05,313245
2016-02-06,310924
2016-02-07,311518
2016-02-08,308128
2016-02-09,305549
2016-02-10,304124
2016-02-11,303627
2016-02-12,303445
2016-02-13,307605
2016-02-14,312845
2016-02-15,310254
2016-02-16,310317
2016-02-17,315028
2016-02-18,316531
2016-02-19,316966
2016-02-20,318486
2016-02-21,318820
2016-02-22,331475
2016-02-23,333545
2016-02-24,332856
2016-02-25,334628
2016-02-26,343245
2016-02-27,351650
2016-02-28,348016
2016-02-29,342321
2016-03-01,339573
2016-03-02,339747
2016-03-03,336372
2016-03-04,334462
2016-03-05,336858
2016-03-06,353478
2016-03-07,357271
2016-03-08,341423
2016-03-09,335806
2016-03-10,332048
2016-03-11,330105
2016-03-12,336389
2016-03-13,334084
2016-03-14,331229
2016-03-15,326036
2016-03-16,324075
2016-03-17,314405
2016-03-18,316158
2016-03-19,317256
2016-03-20,323308
2016-03-21,333289
2016-03-22,333828
2016-03-23,328908
2016-03-24,332243
2016-03-25,333639
2016-03-26,336737
2016-03-27,335231
2016-03-28,336770
2016-03-29,334715
2016-03-30,333076
2016-03-31,329573
2016-04-01,328464
2016-04-02,323190
2016-04-03,326418
2016-04-04,323967
2016-04-05,319323
2016-04-06,319701
2016-04-07,316821
2016-04-08,317723
2016-04-09,318335
2016-04-10,318067
2016-04-11,315744
2016-04-12,317565
2016-04-13,315295
2016-04-14,316317
2016-04-15,324543
2016-04-16,336255
2016-04-17,337821
2016-04-18,338606
2016-04-19,330325
2016-04-20,326713
2016-04-21,327390
2016-04-22,325745
2016-04-23,329705
2016-04-24,334702
2016-04-25,336731
2016-04-26,334921
