date_obj,Anti-dragon%20shield price
2016-03-19,100
2016-03-20,100
2016-03-21,99
2016-03-22,101
2016-03-23,103
2016-03-24,108
2016-03-25,112
2016-03-26,112
2016-03-27,110
2016-03-28,109
2016-03-29,108
2016-03-30,108
2016-03-31,106
2016-04-01,111
2016-04-02,113
2016-04-03,110
2016-04-04,109
2016-04-05,112
2016-04-06,116
2016-04-07,120
2016-04-08,125
2016-04-09,126
2016-04-10,126
2016-04-11,126
2016-04-12,131
2016-04-13,131
2016-04-14,135
2016-04-15,136
2016-04-16,134
2016-04-17,134
2016-04-18,134
2016-04-19,131
2016-04-20,134
2016-04-21,133
2016-04-22,133
2016-04-23,132
2016-04-24,125
2016-04-25,122
2016-04-26,123
2016-04-27,123
2016-04-28,118
2016-04-29,120
2016-04-30,119
2016-05-01,115
2016-05-02,116
2016-05-03,113
2016-05-04,114
2016-05-05,117
2016-05-06,117
2016-05-07,114
2016-05-08,111
2016-05-09,111
2016-05-10,113
2016-05-11,114
2016-05-12,111
2016-05-13,111
2016-05-14,109
2016-05-15,110
2016-05-16,106
2016-05-17,106
2016-05-18,108
2016-05-19,110
2016-05-22,107
2016-05-23,106
2016-05-24,109
2016-05-25,109
2016-05-26,108
2016-05-27,106
2016-05-28,106
2016-05-29,106
2016-05-30,108
2016-05-31,110
2016-06-01,110
2016-06-02,111
2016-06-03,113
2016-06-04,111
2016-06-05,106
2016-06-06,103
2016-06-07,106
2016-06-08,109
2016-06-09,109
2016-06-10,106
2016-06-11,106
2016-06-12,102
2016-06-13,104
2016-06-14,106
2016-06-15,105
2016-06-16,101
2016-06-17,102
2016-06-18,106
2016-06-19,111
2016-06-20,114
2016-06-21,114
2016-06-22,114
2016-06-23,116
2016-06-24,119
2016-06-25,116
2016-06-26,113
2016-06-27,109
2016-06-28,107
2016-06-29,106
2016-06-30,105
2016-07-01,105
2016-07-02,106
2016-07-03,106
2016-07-04,105
2016-07-05,106
2016-07-06,108
2016-07-07,110
