date_obj,Ancient%20rune%20armour%20set%20(sk) price
2015-03-26,225000
2015-03-27,225000
2015-03-28,225000
2015-03-29,225000
2015-03-30,225000
2015-03-31,225000
2015-04-01,225000
2015-04-02,225000
2015-04-03,225000
2015-04-04,225000
2015-04-05,225000
2015-04-06,225000
2015-04-07,225000
2015-04-08,225000
2015-04-09,231192
2015-04-10,231192
2015-04-11,231192
2015-04-12,231192
2015-04-13,231192
2015-04-14,231192
2015-04-15,231192
2015-04-16,231192
2015-04-17,231192
2015-04-18,231192
2015-04-19,231192
2015-04-20,231192
2015-04-21,231192
2015-04-22,231192
2015-04-23,231192
2015-04-24,231192
2015-04-25,231192
2015-04-26,231192
2015-04-27,231192
2015-04-28,231192
2015-04-29,231192
2015-04-30,231192
2015-05-01,231192
2015-05-02,231192
2015-05-03,231192
2015-05-04,231192
2015-05-05,231192
2015-05-06,231192
2015-05-07,231192
2015-05-08,231192
2015-05-09,231192
2015-05-10,231192
2015-05-11,231192
2015-05-12,231192
2015-05-13,231192
2015-05-14,231192
2015-05-15,231192
2015-05-16,231192
2015-05-17,231192
2015-05-18,231192
2015-05-19,231192
2015-05-20,231192
2015-05-21,231192
2015-05-22,231192
2015-05-23,231192
2015-05-24,231192
2015-05-25,231192
2015-05-26,231192
2015-05-27,231192
2015-05-28,233959
2015-05-29,233959
2015-05-30,233959
2015-05-31,233959
2015-06-01,233959
2015-06-02,233959
2015-06-03,233959
2015-06-04,233959
2015-06-05,233959
2015-06-06,233959
2015-06-07,233959
2015-06-08,233959
2015-06-09,233959
2015-06-10,233959
2015-06-11,233959
2015-06-12,233959
2015-06-13,233959
2015-06-14,233959
2015-06-15,233959
2015-06-16,233959
2015-06-17,233959
2015-06-18,233959
2015-06-19,233959
2015-06-20,233959
2015-06-21,233959
2015-06-22,233959
2015-06-23,233959
2015-06-24,233959
2015-06-25,233959
2015-06-26,233959
2015-06-27,233959
2015-06-28,233959
2015-06-29,233959
2015-06-30,233959
2015-07-01,230308
2015-07-02,230308
2015-07-03,230308
2015-07-04,230308
2015-07-05,230308
2015-07-06,230308
2015-07-07,230308
2015-07-08,230308
2015-07-09,230308
2015-07-10,230308
2015-07-11,230308
2015-07-12,230308
2015-07-13,230308
2015-07-14,230308
2015-07-15,230308
2015-07-16,230308
2015-07-17,230308
2015-07-18,230308
2015-07-19,230308
2015-07-20,230308
2015-07-21,230308
2015-07-22,230308
2015-07-23,230308
2015-07-24,230308
2015-07-25,230308
2015-07-26,230308
2015-07-27,230308
2015-07-28,230308
2015-07-29,230308
2015-07-30,230308
2015-07-31,230308
2015-08-01,230308
2015-08-02,225283
2015-08-03,225283
2015-08-04,225283
2015-08-05,225283
2015-08-06,225283
2015-08-07,225283
2015-08-08,225283
2015-08-09,225283
2015-08-10,225283
2015-08-11,225283
2015-08-12,225283
2015-08-13,225283
2015-08-14,225283
2015-08-15,225283
2015-08-16,225283
2015-08-17,225283
2015-08-18,225283
2015-08-19,225283
2015-08-20,225283
2015-08-21,225283
2015-08-22,225283
2015-08-23,225283
2015-08-24,225283
2015-08-25,225283
2015-08-26,225283
2015-08-27,225283
2015-08-28,225283
2015-08-29,225283
2015-08-30,225283
2015-08-31,225283
2015-09-01,225283
2015-09-02,225283
2015-09-03,225594
2015-09-04,225594
2015-09-05,225594
2015-09-06,225594
2015-09-07,225594
2015-09-08,225594
2015-09-09,225594
2015-09-10,225594
2015-09-11,225594
2015-09-12,225594
