date_obj,Carved%20oak%20bench%20(flatpack) price
2015-03-05,120
2015-03-06,120
2015-03-07,120
2015-03-08,120
2015-03-09,120
2015-03-10,120
2015-03-11,120
2015-03-12,120
2015-03-13,120
2015-03-14,120
2015-03-15,120
2015-03-16,120
2015-03-17,120
2015-03-18,120
2015-03-19,120
2015-03-20,120
2015-03-21,120
2015-03-22,120
2015-03-23,120
2015-03-24,120
2015-03-25,120
2015-03-26,120
2015-03-27,120
2015-03-28,120
2015-03-29,120
2015-03-30,120
2015-03-31,120
2015-04-01,120
2015-04-02,120
2015-04-03,120
2015-04-04,120
2015-04-05,120
2015-04-06,120
2015-04-07,120
2015-04-08,120
2015-04-09,120
2015-04-10,120
2015-04-11,120
2015-04-12,120
2015-04-13,120
2015-04-14,120
2015-04-15,120
2015-04-16,120
2015-04-17,120
2015-04-18,120
2015-04-19,120
2015-04-20,120
2015-04-21,120
2015-04-22,120
2015-04-23,120
2015-04-24,120
2015-04-25,120
2015-04-26,120
2015-04-27,120
2015-04-28,120
2015-04-29,120
2015-04-30,120
2015-05-01,120
2015-05-02,120
2015-05-03,120
2015-05-04,120
2015-05-05,120
2015-05-06,120
2015-05-07,120
2015-05-08,120
2015-05-09,120
2015-05-10,120
2015-05-11,120
2015-05-12,120
2015-05-13,120
2015-05-14,120
2015-05-15,120
2015-05-16,120
2015-05-17,120
2015-05-18,120
2015-05-19,120
2015-05-20,120
2015-05-21,120
2015-05-22,120
2015-05-23,120
2015-05-24,120
2015-05-25,120
2015-05-26,120
2015-05-27,120
2015-05-28,120
2015-05-29,115
2015-05-30,115
2015-05-31,115
2015-06-01,115
2015-06-02,115
2015-06-03,115
2015-06-04,115
2015-06-05,115
2015-06-06,115
2015-06-07,115
2015-06-08,115
2015-06-09,115
2015-06-10,115
2015-06-11,115
2015-06-12,115
2015-06-13,115
2015-06-14,115
2015-06-15,115
2015-06-16,115
2015-06-17,115
2015-06-18,115
2015-06-19,115
2015-06-20,115
2015-06-21,115
2015-06-22,115
2015-06-23,115
2015-06-24,115
2015-06-25,115
2015-06-26,115
2015-06-27,115
2015-06-28,115
2015-06-29,115
2015-06-30,115
2015-07-01,115
2015-07-02,115
2015-07-03,115
2015-07-04,115
2015-07-05,115
2015-07-06,115
2015-07-07,115
2015-07-08,115
2015-07-09,115
2015-07-10,115
2015-07-11,115
2015-07-12,115
2015-07-13,115
2015-07-14,115
2015-07-15,115
2015-07-16,115
2015-07-17,115
2015-07-18,115
2015-07-19,115
2015-07-20,115
2015-07-21,115
2015-07-22,115
2015-07-23,115
2015-07-24,115
2015-07-25,115
2015-07-26,115
2015-07-27,115
2015-07-28,115
2015-07-29,115
2015-07-30,115
2015-07-31,115
2015-08-01,115
2015-08-02,115
2015-08-03,115
2015-08-04,115
2015-08-05,115
2015-08-06,115
2015-08-07,115
2015-08-08,115
2015-08-09,115
2015-08-10,115
2015-08-11,115
2015-08-12,115
2015-08-13,115
2015-08-14,115
2015-08-15,115
2015-08-16,115
2015-08-17,115
2015-08-18,115
2015-08-19,115
2015-08-20,115
2015-08-21,115
2015-08-22,115
2015-08-23,115
2015-08-24,115
2015-08-25,115
2015-08-26,115
2015-08-27,115
2015-08-28,115
2015-08-29,115
2015-08-30,115
2015-08-31,115
2015-09-02,115
2015-09-07,115
2015-09-08,115
2015-09-10,115
2015-09-14,115
2015-09-16,115
2015-09-22,115
2015-09-23,115
2015-09-24,115
2015-09-25,110
2015-09-27,110
2015-09-28,110
2015-09-29,110
2015-09-30,110
2015-10-05,110
2015-10-06,110
2015-10-07,110
2015-10-08,110
2015-10-09,110
2015-10-10,110
2015-10-11,110
2015-10-12,110
2015-10-13,110
2015-10-14,110
2015-10-15,110
2015-10-16,110
2015-10-17,110
2015-10-18,110
2015-10-19,110
2015-10-20,110
2015-10-22,110
2015-10-23,110
2015-10-24,110
2015-10-25,110
2015-10-26,110
2015-10-27,110
2015-10-29,110
2015-10-30,110
2015-10-31,110
2015-11-01,110
2015-11-02,110
2015-11-03,110
2015-11-04,110
2015-11-05,110
2015-11-06,110
2015-11-07,110
2015-11-08,110
2015-11-09,110
2015-11-10,110
2015-11-11,110
2015-11-12,110
2015-11-13,110
2015-11-14,110
2015-11-15,110
2015-11-16,110
2015-11-17,110
