date_obj,Bolt%20of%20cloth price
2015-03-26,1169
2015-03-27,1169
2015-03-28,1133
2015-03-29,1133
2015-03-30,1133
2015-03-31,1076
2015-04-01,1076
2015-04-02,1076
2015-04-03,1024
2015-04-04,1024
2015-04-05,1024
2015-04-06,1003
2015-04-07,1003
2015-04-08,1003
2015-04-09,1003
2015-04-10,1001
2015-04-11,1001
2015-04-12,1001
2015-04-13,976
2015-04-14,976
2015-04-15,976
2015-04-16,927
2015-04-17,927
2015-04-18,927
2015-04-19,908
2015-04-20,908
2015-04-21,908
2015-04-22,908
2015-04-23,914
2015-04-24,914
2015-04-25,914
2015-04-26,914
2015-04-27,922
2015-04-28,922
2015-04-29,922
2015-04-30,922
2015-05-01,916
2015-05-02,916
2015-05-03,916
2015-05-04,916
2015-05-05,932
2015-05-06,932
2015-05-07,932
2015-05-08,919
2015-05-09,919
2015-05-10,919
2015-05-11,885
2015-05-12,885
2015-05-13,885
2015-05-14,909
2015-05-15,909
2015-05-16,909
2015-05-17,921
2015-05-18,921
2015-05-19,921
2015-05-20,921
2015-05-21,921
2015-05-22,910
2015-05-23,910
2015-05-24,910
2015-05-25,926
2015-05-26,926
2015-05-27,926
2015-05-28,926
2015-05-29,925
2015-05-30,925
2015-05-31,920
2015-06-01,920
2015-06-02,920
2015-06-03,894
2015-06-04,894
2015-06-05,894
2015-06-06,905
2015-06-07,905
2015-06-08,905
2015-06-09,908
2015-06-10,908
2015-06-11,908
2015-06-12,908
2015-06-13,920
2015-06-14,920
2015-06-15,920
2015-06-16,922
2015-06-17,922
2015-06-18,922
2015-06-19,928
2015-06-20,928
2015-06-21,928
2015-06-22,934
2015-06-23,934
2015-06-24,934
2015-06-25,908
2015-06-26,908
2015-06-27,908
2015-06-28,931
2015-06-29,931
2015-06-30,931
2015-07-01,955
2015-07-02,955
2015-07-03,955
2015-07-04,982
2015-07-05,982
2015-07-06,982
2015-07-07,973
2015-07-08,973
2015-07-09,973
2015-07-10,979
2015-07-11,979
2015-07-12,979
2015-07-13,973
2015-07-14,973
2015-07-15,973
2015-07-16,981
2015-07-17,981
2015-07-18,981
2015-07-19,989
2015-07-20,989
2015-07-21,989
2015-07-22,1011
2015-07-23,1011
2015-07-24,1011
2015-07-25,1038
2015-07-26,1038
2015-07-27,1038
2015-07-28,1051
2015-07-29,1051
2015-07-30,1051
2015-07-31,1057
2015-08-01,1057
2015-08-02,1010
2015-08-03,1010
2015-08-04,1010
2015-08-05,975
2015-08-06,975
2015-08-07,975
2015-08-08,988
2015-08-09,988
2015-08-10,988
2015-08-11,1001
2015-08-12,1001
2015-08-13,1001
2015-08-14,1001
2015-08-15,1001
2015-08-16,1019
2015-08-17,1019
2015-08-18,1019
2015-08-19,1019
2015-08-20,975
2015-08-21,975
2015-08-22,975
2015-08-23,975
2015-08-24,981
2015-08-25,981
2015-08-26,981
2015-08-27,981
