date_obj,Saradomin%20mitre price
2015-03-26,137421
2015-03-27,137421
2015-03-28,137928
2015-03-29,137537
2015-03-30,136203
2015-03-31,135995
2015-04-01,133109
2015-04-02,132723
2015-04-03,134457
2015-04-04,133684
2015-04-05,131503
2015-04-06,130402
2015-04-07,129840
2015-04-08,126505
2015-04-09,121988
2015-04-10,120208
2015-04-11,118061
2015-04-12,115463
2015-04-13,111843
2015-04-14,108109
2015-04-15,103615
2015-04-16,102839
2015-04-17,101309
2015-04-18,101623
2015-04-19,99891
2015-04-20,95185
2015-04-21,92009
2015-04-22,88684
2015-04-23,87188
2015-04-24,84857
2015-04-25,83754
2015-04-26,84113
2015-04-27,83605
2015-04-28,84203
2015-04-29,85860
2015-04-30,85001
2015-05-01,88626
2015-05-02,91237
2015-05-03,93728
2015-05-04,94707
2015-05-05,96212
2015-05-06,98881
2015-05-07,101604
2015-05-08,105497
2015-05-09,108917
2015-05-10,113912
2015-05-11,118762
2015-05-12,123857
2015-05-13,129753
2015-05-14,136241
2015-05-15,143054
2015-05-16,147259
2015-05-17,147969
2015-05-18,146547
2015-05-19,143362
2015-05-20,141124
2015-05-21,141202
2015-05-22,140013
2015-05-23,133090
2015-05-24,126435
2015-05-25,120130
2015-05-26,114123
2015-05-27,108518
2015-05-28,106438
2015-05-29,102944
2015-05-30,100119
2015-05-31,96561
2015-06-01,93631
2015-06-02,93631
2015-06-03,91739
2015-06-04,91485
2015-06-05,90135
2015-06-06,88556
2015-06-07,86572
2015-06-08,84427
2015-06-09,81718
2015-06-10,83387
2015-06-11,84018
2015-06-12,85045
2015-06-13,85127
2015-06-14,84722
2015-06-15,83904
2015-06-16,83037
2015-06-17,81625
2015-06-18,79455
2015-06-19,76654
2015-06-20,75338
2015-06-21,72707
2015-06-22,69904
2015-06-23,68229
2015-06-24,67058
2015-06-25,67578
2015-06-26,69580
2015-06-27,72739
2015-06-28,76376
2015-06-29,79378
2015-06-30,82693
2015-07-01,85232
2015-07-02,86589
2015-07-03,88975
2015-07-04,91315
2015-07-05,92594
2015-07-06,94074
2015-07-07,93135
2015-07-08,88568
2015-07-09,86162
2015-07-10,83771
2015-07-11,82454
2015-07-12,84641
2015-07-13,86568
2015-07-14,87460
2015-07-15,87215
2015-07-16,86698
2015-07-17,83882
2015-07-18,81669
2015-07-19,81003
2015-07-20,80589
2015-07-21,79984
2015-07-22,79618
2015-07-23,79618
2015-07-24,78768
2015-07-25,78240
2015-07-26,76714
2015-07-27,78683
2015-07-28,82592
2015-07-29,83664
2015-07-30,86351
2015-07-31,87644
2015-08-01,87426
2015-08-02,87557
2015-08-03,86319
2015-08-04,84315
2015-08-05,80475
2015-08-06,78768
2015-08-07,77639
2015-08-08,77698
2015-08-09,76304
2015-08-10,75332
2015-08-11,73641
2015-08-12,71950
2015-08-13,72065
2015-08-14,71826
2015-08-15,72746
2015-08-16,74232
