date_obj,Inquisitor's%20hauberk price
2020-02-05,20000000
2020-02-06,20709402
2020-02-07,21661623
2020-02-08,22649653
2020-02-09,200000000
2020-02-10,209050847
2020-02-11,218424470
2020-02-12,228623094
2020-02-13,228623094
2020-02-14,239835819
2020-02-15,239835819
2020-02-16,251214891
2020-02-17,263775636
2020-02-18,276414980
2020-02-19,289580542
2020-02-20,302628734
2020-02-21,302628734
2020-02-22,316616663
2020-02-23,316616663
2020-02-24,332102274
2020-02-25,332102274
2020-02-26,332102274
2020-02-27,347961960
2020-02-28,347961960
2020-02-29,347961960
2020-03-01,364388462
2020-03-02,364388462
2020-03-03,364388462
2020-03-04,381873232
2020-03-05,381873232
2020-03-06,400270045
2020-03-07,400270045
2020-03-08,400270045
2020-03-09,419457569
2020-03-10,419457569
2020-03-11,438605511
2020-03-12,445998077
2020-03-13,466277319
2020-03-14,487741165
2020-03-15,510482785
2020-03-16,535339906
2020-03-17,561056700
2020-03-18,588671209
2020-03-19,616264062
2020-03-20,645227281
2020-03-21,657916090
2020-03-22,659816777
2020-03-23,676254792
2020-03-24,707010187
2020-03-25,721206325
2020-03-26,720306498
2020-03-27,717738507
2020-03-28,705205579
2020-03-29,671563151
2020-03-30,637984993
2020-03-31,606085743
2020-04-01,575781455
2020-04-02,546992382
2020-04-03,546992382
2020-04-04,519642762
2020-04-05,494586421
2020-04-06,469857099
2020-04-07,447049160
2020-04-08,424696702
2020-04-09,424696702
2020-04-10,403837122
2020-04-11,411623629
2020-04-12,411623629
2020-04-13,412859776
2020-04-14,426904665
2020-04-15,427109907
2020-04-16,405754411
2020-04-17,385466690
2020-04-18,366193355
2020-04-19,347883687
2020-04-20,330489502
2020-04-21,314873312
2020-04-22,299129646
2020-04-23,299129646
2020-04-24,284173163
2020-04-25,269964504
2020-04-26,256466278
2020-04-27,243642964
2020-04-28,237270714
2020-04-29,237270714
2020-04-30,236488355
2020-05-01,236488355
2020-05-02,246001548
2020-05-03,246633175
2020-05-04,246633175
2020-05-05,245697711
2020-05-06,245038461
2020-05-07,245038461
2020-05-08,246276376
2020-05-09,245026884
2020-05-10,245268028
2020-05-11,245268028
2020-05-12,246949742
2020-05-13,253472054
