date_obj,Bronze%20trimmed%20set%20(sk) price
2015-03-26,120000
2015-03-27,120000
2015-03-28,120000
2015-03-29,120000
2015-03-30,120000
2015-03-31,120000
2015-04-01,120000
2015-04-02,120000
2015-04-03,120000
2015-04-04,120000
2015-04-05,120000
2015-04-06,120000
2015-04-07,120000
2015-04-08,120000
2015-04-09,120000
2015-04-10,120000
2015-04-11,120000
2015-04-12,120000
2015-04-13,120000
2015-04-14,120000
2015-04-15,120000
2015-04-16,120000
2015-04-17,120000
2015-04-18,120000
2015-04-19,120000
2015-04-20,120000
2015-04-21,120000
2015-04-22,120000
2015-04-23,120000
2015-04-24,120000
2015-04-25,120000
2015-04-26,120000
2015-04-27,120000
2015-04-28,120000
2015-04-29,120000
2015-04-30,120000
2015-05-01,120000
2015-05-02,120000
2015-05-03,120000
2015-05-04,120000
2015-05-05,120000
2015-05-06,120000
2015-05-07,120000
2015-05-08,120000
2015-05-09,120000
2015-05-10,120000
2015-05-11,120000
2015-05-12,120000
2015-05-13,120000
2015-05-14,120000
2015-05-15,120000
2015-05-16,120000
2015-05-17,120000
2015-05-18,120000
2015-05-19,120000
2015-05-20,120000
2015-05-21,120000
2015-05-22,120000
2015-05-23,120000
2015-05-24,120000
2015-05-25,120000
2015-05-26,120000
2015-05-27,120000
2015-05-28,119756
2015-05-29,119756
2015-05-30,119756
2015-05-31,119756
2015-06-01,119756
2015-06-02,119756
2015-06-03,119756
2015-06-04,119756
2015-06-05,119756
2015-06-06,119756
2015-06-07,119756
2015-06-08,119756
2015-06-09,119756
2015-06-10,119756
2015-06-11,119756
2015-06-12,119756
2015-06-13,119756
2015-06-14,119756
2015-06-15,119756
2015-06-16,119756
2015-06-17,119756
2015-06-18,119756
2015-06-19,119756
2015-06-20,119756
2015-06-21,119756
2015-06-22,119756
2015-06-23,119756
2015-06-24,119756
2015-06-25,119756
2015-06-26,119756
2015-06-27,119756
2015-06-28,119756
2015-06-29,119756
2015-06-30,119756
2015-07-01,119756
2015-07-02,119756
2015-07-03,119756
2015-07-04,119756
2015-07-05,119756
2015-07-06,119756
2015-07-07,119756
2015-07-08,119756
2015-07-09,119756
2015-07-10,119756
2015-07-11,119756
2015-07-12,119756
2015-07-13,119756
2015-07-14,119756
2015-07-15,119756
2015-07-16,119756
2015-07-17,119756
2015-07-18,119756
2015-07-19,119756
2015-07-20,119756
2015-07-21,119756
2015-07-22,119756
2015-07-23,119756
2015-07-24,119756
2015-07-25,119756
2015-07-26,119756
2015-07-27,119756
2015-07-28,119756
2015-07-29,119756
2015-07-30,119756
2015-07-31,119756
2015-08-01,119756
2015-08-02,119756
2015-08-03,119756
2015-08-04,119756
2015-08-05,119756
2015-08-06,119756
2015-08-07,119756
2015-08-08,119756
2015-08-09,119756
2015-08-10,119756
