date_obj,Secateurs price
2015-03-26,130
2015-03-27,130
2015-03-28,130
2015-03-29,136
2015-03-30,136
2015-03-31,136
2015-04-01,136
2015-04-02,143
2015-04-03,143
2015-04-04,143
2015-04-05,145
2015-04-06,145
2015-04-07,145
2015-04-08,152
2015-04-09,152
2015-04-10,152
2015-04-11,159
2015-04-12,159
2015-04-13,159
2015-04-14,159
2015-04-15,164
2015-04-16,164
2015-04-17,164
2015-04-18,168
2015-04-19,168
2015-04-20,168
2015-04-21,168
2015-04-22,172
2015-04-23,172
2015-04-24,172
2015-04-25,180
2015-04-26,180
2015-04-27,180
2015-04-28,189
2015-04-29,189
2015-04-30,189
2015-05-01,196
2015-05-02,196
2015-05-03,196
2015-05-04,204
2015-05-05,204
2015-05-06,204
2015-05-07,210
2015-05-08,210
2015-05-09,210
2015-05-10,218
2015-05-11,218
2015-05-12,218
2015-05-13,218
2015-05-14,211
2015-05-15,211
2015-05-16,211
2015-05-17,207
2015-05-18,207
2015-05-19,207
2015-05-20,207
2015-05-21,207
2015-05-22,211
2015-05-23,211
2015-05-24,211
2015-05-25,220
2015-05-26,220
2015-05-27,220
2015-05-28,213
2015-05-29,213
2015-05-30,202
2015-05-31,202
2015-06-01,202
2015-06-02,191
2015-06-03,191
2015-06-04,191
2015-06-05,189
2015-06-06,189
2015-06-07,189
2015-06-08,194
2015-06-09,194
2015-06-10,202
2015-06-11,202
2015-06-12,202
2015-06-13,210
2015-06-14,210
2015-06-15,210
2015-06-16,220
2015-06-17,220
2015-06-18,220
2015-06-19,229
2015-06-20,229
2015-06-21,229
2015-06-22,236
2015-06-23,236
2015-06-24,236
2015-06-25,245
2015-06-26,245
2015-06-27,245
2015-06-28,255
2015-06-29,255
2015-06-30,255
2015-07-01,258
2015-07-02,258
2015-07-03,258
2015-07-04,269
2015-07-05,269
2015-07-06,269
2015-07-07,279
2015-07-08,279
2015-07-09,279
2015-07-10,287
2015-07-11,287
2015-07-12,287
2015-07-13,289
2015-07-14,289
2015-07-15,289
2015-07-16,280
2015-07-17,280
2015-07-18,280
2015-07-19,292
2015-07-20,292
2015-07-21,292
2015-07-22,301
2015-07-23,301
2015-07-24,288
2015-07-25,288
2015-07-26,288
2015-07-27,279
2015-07-28,279
2015-07-29,265
2015-07-30,265
2015-07-31,265
2015-08-01,251
2015-08-02,251
2015-08-03,238
2015-08-04,238
2015-08-05,226
2015-08-06,226
2015-08-07,226
2015-08-08,229
2015-08-09,229
2015-08-10,228
2015-08-11,228
2015-08-12,228
2015-08-13,230
2015-08-14,230
2015-08-15,234
2015-08-16,234
2015-08-17,234
2015-08-18,235
2015-08-19,235
2015-08-20,235
2015-08-21,232
2015-08-22,232
2015-08-23,232
2015-08-24,226
2015-08-25,226
2015-08-26,226
2015-08-27,230
2015-08-28,230
2015-08-29,230
2015-08-30,220
2015-08-31,220
2015-09-01,220
2015-09-02,212
2015-09-03,212
2015-09-04,212
2015-09-05,209
2015-09-06,209
2015-09-07,209
2015-09-08,209
2015-09-09,209
2015-09-10,209
2015-09-11,206
2015-09-12,206
2015-09-13,206
2015-09-14,206
2015-09-15,201
2015-09-16,201
2015-09-17,201
2015-09-18,201
2015-09-19,211
2015-09-20,211
2015-09-21,211
2015-09-22,221
2015-09-23,221
2015-09-24,221
2015-09-25,221
2015-09-27,230
2015-09-28,230
2015-09-29,230
2015-09-30,230
2015-10-05,227
2015-10-06,227
2015-10-07,234
2015-10-08,234
2015-10-09,234
2015-10-10,244
2015-10-11,244
2015-10-12,244
2015-10-13,255
2015-10-14,255
2015-10-15,255
2015-10-16,259
2015-10-17,259
2015-10-18,259
2015-10-19,259
2015-10-20,266
