date_obj,Nature%20impling%20jar price
2016-01-05,4546
2016-01-06,4546
2016-01-07,4546
2016-01-08,4546
2016-01-09,4546
2016-01-10,4546
2016-01-11,4546
2016-01-12,4546
2016-01-13,4546
2016-01-14,4546
2016-01-15,4546
2016-01-16,4546
2016-01-17,4546
2016-01-18,4546
2016-01-19,4546
2016-01-20,4546
2016-01-21,4546
2016-01-22,4546
2016-01-23,4637
2016-01-24,4637
2016-01-25,4637
2016-01-26,4637
2016-01-27,4637
2016-01-28,4637
2016-01-29,4637
2016-01-30,4637
2016-01-31,4637
2016-02-01,4637
2016-02-02,4637
2016-02-03,4637
2016-02-04,4637
2016-02-05,4637
2016-02-06,4637
2016-02-07,4637
2016-02-08,4637
2016-02-09,4637
2016-02-10,4637
2016-02-11,4794
2016-02-12,4794
2016-02-13,4794
2016-02-14,4794
2016-02-15,4794
2016-02-16,4794
2016-02-17,4794
2016-02-18,4794
2016-02-19,4794
2016-02-20,4794
2016-02-21,4794
2016-02-22,4794
2016-02-23,4794
2016-02-24,4794
2016-02-25,4794
2016-02-26,4794
2016-02-27,4794
2016-02-28,4794
2016-02-29,4794
2016-03-01,4654
2016-03-02,4654
2016-03-03,4654
2016-03-04,4654
2016-03-05,4654
2016-03-06,4654
2016-03-07,4654
2016-03-08,4654
2016-03-09,4654
2016-03-10,4654
2016-03-11,4654
2016-03-12,4654
2016-03-13,4654
2016-03-14,4654
2016-03-15,4654
2016-03-16,4654
2016-03-17,4654
2016-03-18,4724
2016-03-19,4724
2016-03-20,4724
2016-03-21,4724
2016-03-22,4724
2016-03-23,4724
2016-03-24,4724
2016-03-25,4724
2016-03-26,4724
2016-03-27,4724
2016-03-28,4724
2016-03-29,4724
2016-03-30,4724
2016-03-31,4724
2016-04-01,4724
2016-04-02,4779
2016-04-03,4779
2016-04-04,4779
2016-04-05,4779
2016-04-06,4779
2016-04-07,4779
2016-04-08,4779
2016-04-09,4779
2016-04-10,4779
2016-04-11,4779
2016-04-12,4779
2016-04-13,4779
2016-04-14,4779
2016-04-15,4779
2016-04-16,4922
2016-04-17,4922
2016-04-18,4922
2016-04-19,4922
2016-04-20,5140
2016-04-21,5397
2016-04-22,5397
2016-04-23,5631
2016-04-24,5909
2016-04-25,6205
2016-04-26,6205
2016-04-27,6516
2016-04-28,6516
2016-04-29,6516
2016-04-30,6597
2016-05-01,6597
2016-05-02,6597
2016-05-03,6833
2016-05-04,6833
2016-05-05,6833
2016-05-06,6833
2016-05-07,7121
2016-05-08,7121
2016-05-09,7121
2016-05-10,7121
2016-05-11,7121
2016-05-12,7339
2016-05-13,7339
2016-05-14,7339
2016-05-15,7339
2016-05-16,7685
2016-05-17,7685
2016-05-18,7685
2016-05-19,7685
2016-05-22,7739
2016-05-23,7739
2016-05-24,7739
2016-05-25,7739
2016-05-26,7440
2016-05-27,7440
2016-05-28,7440
2016-05-29,7440
2016-05-30,7440
2016-05-31,7440
2016-06-01,7242
2016-06-02,7242
2016-06-03,7242
2016-06-04,7242
2016-06-05,7242
2016-06-06,7242
2016-06-07,7242
2016-06-08,7333
2016-06-09,7333
2016-06-10,7333
2016-06-11,7333
2016-06-12,7333
2016-06-13,7333
2016-06-14,7554
2016-06-15,7554
2016-06-16,7554
2016-06-17,7234
2016-06-18,7234
2016-06-19,7234
2016-06-20,7109
2016-06-21,7109
2016-06-22,7109
2016-06-23,6877
2016-06-24,6877
2016-06-25,6877
2016-06-26,6877
2016-06-27,6624
2016-06-28,6624
2016-06-29,6624
2016-06-30,6624
2016-07-01,6403
2016-07-02,6403
2016-07-03,6403
2016-07-04,6403
2016-07-05,6408
2016-07-06,6708
2016-07-07,7044
2016-07-08,7397
2016-07-09,7767
2016-07-10,8156
2016-07-11,8564
2016-07-12,8993
2016-07-13,9417
2016-07-14,9351
2016-07-15,9405
2016-07-16,9346
2016-07-17,9442
2016-07-18,9380
2016-07-23,9277
2016-07-24,9137
2016-07-25,9137
2016-07-26,9173
2016-07-27,9173
2016-07-28,9169
2016-07-29,9129
2016-07-30,9129
2016-07-31,8999
2016-08-01,8999
2016-08-02,8604
2016-08-03,8604
2016-08-04,8213
2016-08-05,8213
2016-08-06,7826
2016-08-07,7826
2016-08-08,7542
2016-08-09,7542
2016-08-10,7190
2016-08-11,7190
2016-08-12,7190
2016-08-13,7190
2016-08-14,6908
2016-08-15,6908
2016-08-16,6908
2016-08-17,6711
2016-08-18,6711
2016-08-19,6711
2016-08-20,6596
2016-08-21,6596
2016-08-22,6596
2016-08-23,6596
2016-08-24,6506
2016-08-25,6506
2016-08-26,6506
2016-08-28,6506
2016-08-31,6357
2016-09-01,6357
2016-09-02,6357
2016-09-03,6299
2016-09-04,6299
2016-09-05,6299
2016-09-06,6299
2016-09-07,6269
2016-09-08,6269
2016-09-09,6269
2016-09-10,6269
2016-09-11,6269
2016-09-12,6269
2016-09-13,6149
2016-09-14,6149
2016-09-15,6149
2016-09-16,6149
2016-09-17,6149
2016-09-18,6149
2016-09-19,5916
2016-09-20,5916
2016-09-21,5916
2016-09-22,5916
2016-09-23,5916
2016-09-24,5916
2016-09-25,5916
2016-09-26,5916
2016-09-27,5815
2016-09-28,5815
2016-09-29,5815
2016-09-30,5815
2016-10-01,5815
2016-10-02,5815
2016-10-03,5815
2016-10-04,5815
2016-10-05,5600
2016-10-06,5600
2016-10-07,5600
2016-10-08,5600
2016-10-09,5600
2016-10-10,5600
2016-10-11,5600
2016-10-12,5336
2016-10-13,5336
2016-10-14,5336
2016-10-15,5336
2016-10-16,5336
2016-10-17,5336
2016-10-18,5336
2016-10-19,5089
2016-10-20,5089
2016-10-21,5089
2016-10-22,5089
2016-10-23,5089
2016-10-24,5089
2016-10-25,5089
2016-10-26,4957
2016-10-27,4957
2016-10-28,4957
2016-10-29,4957
2016-10-30,4957
2016-10-31,4957
2016-11-01,4957
2016-11-02,5068
2016-11-03,5068
2016-11-04,5068
2016-11-05,5068
2016-11-06,5068
2016-11-07,5068
2016-11-08,4873
2016-11-09,4873
2016-11-10,4873
2016-11-11,4873
2016-11-12,4873
2016-11-13,4873
2016-11-14,4714
2016-12-07,5468
2016-12-08,5468
2016-12-09,5682
2016-12-10,5682
2016-12-11,5682
2016-12-12,5682
2016-12-13,5681
2016-12-14,5681
2016-12-15,5681
2016-12-16,5681
2016-12-17,5544
2016-12-18,5544
2016-12-19,5544
2016-12-20,5544
2016-12-21,5324
2016-12-22,5324
2016-12-23,5324
2016-12-24,5324
2016-12-25,5157
2016-12-26,5157
2016-12-27,5157
2016-12-28,5157
2016-12-29,4914
2016-12-30,4914
2016-12-31,4914
2017-01-01,4914
2017-01-02,4713
2017-01-03,4713
2017-01-04,4713
2017-01-05,4713
2017-01-06,4516
2017-01-07,4516
2017-01-08,4516
2017-01-09,4516
2017-01-10,4290
2017-01-11,4290
2017-01-12,4290
2017-01-13,4290
2017-01-14,4144
2017-01-15,4144
2017-01-16,4144
2017-01-17,4134
2017-01-18,4134
2017-01-19,4134
2017-01-20,4134
2017-01-21,4179
2017-01-22,4179
2017-01-27,4141
2017-01-28,4141
2017-01-29,4023
2017-01-30,4023
2017-01-31,4023
2017-02-01,4023
2017-02-02,3874
2017-02-03,3874
