date_obj,Amulet%20of%20glory%20(t) price
2015-03-26,64646
2015-03-27,64646
2015-03-28,64646
2015-03-29,64646
2015-03-30,61738
2015-03-31,61738
2015-04-01,61738
2015-04-02,61738
2015-04-03,61738
2015-04-04,59304
2015-04-05,59304
2015-04-06,59304
2015-04-07,59304
2015-04-08,59304
2015-04-09,56943
2015-04-10,56943
2015-04-11,56943
2015-04-12,56943
2015-04-13,54499
2015-04-14,54499
2015-04-15,54499
2015-04-16,54499
2015-04-17,51941
2015-04-18,51941
2015-04-19,51941
2015-04-20,51941
2015-04-21,49850
2015-04-22,49850
2015-04-23,49850
2015-04-24,49850
2015-04-25,49850
2015-04-26,49626
2015-04-27,49626
2015-04-28,49626
2015-04-29,49626
2015-04-30,50693
2015-05-01,50693
2015-05-02,50693
2015-05-03,50693
2015-05-04,52819
2015-05-05,52819
2015-05-06,52819
2015-05-07,52819
2015-05-08,52819
2015-05-09,53920
2015-05-10,53920
2015-05-11,53920
2015-05-12,53920
2015-05-13,53920
2015-05-14,53605
2015-05-15,53605
2015-05-16,53605
2015-05-17,53605
2015-05-18,52854
2015-05-19,52854
2015-05-20,52854
2015-05-21,52854
2015-05-22,52854
2015-05-23,52854
2015-05-24,54316
2015-05-25,54316
2015-05-26,54316
2015-05-27,54316
2015-05-28,53934
2015-05-29,53934
2015-05-30,53886
2015-05-31,53886
2015-06-01,53886
2015-06-02,52748
2015-06-03,52748
2015-06-04,52748
2015-06-05,52937
2015-06-06,52937
2015-06-07,52937
2015-06-08,53852
2015-06-09,53852
2015-06-10,53852
2015-06-11,54735
2015-06-12,54735
2015-06-13,54735
2015-06-14,55223
2015-06-15,55223
2015-06-16,55223
2015-06-17,56399
2015-06-18,56399
2015-06-19,56399
2015-06-20,58163
2015-06-21,58163
2015-06-22,58163
2015-06-23,58163
2015-06-24,60292
2015-06-25,60292
2015-06-26,60292
2015-06-27,60292
2015-06-28,59858
2015-06-29,59858
2015-06-30,59858
2015-07-01,59858
2015-07-02,60229
2015-07-03,60229
2015-07-04,60229
2015-07-05,59864
2015-07-06,59864
2015-07-07,59864
2015-07-08,57340
2015-07-09,57340
2015-07-10,57340
2015-07-11,57340
2015-07-12,56401
2015-07-13,56401
2015-07-14,54602
2015-07-15,54602
2015-07-16,54602
2015-07-17,53375
2015-07-18,53375
2015-07-19,53375
2015-07-20,51400
2015-07-21,51400
