date_obj,Bronze%20plateskirt%20(t) price
2015-03-26,43682
2015-03-27,41515
2015-03-28,39516
2015-03-29,37648
2015-03-30,35836
2015-03-31,34110
2015-04-01,32506
2015-04-02,30935
2015-04-03,29479
2015-04-04,28078
2015-04-05,26767
2015-04-06,25527
2015-04-07,24323
2015-04-08,24323
2015-04-09,23140
2015-04-10,22041
2015-04-11,20997
2015-04-12,20013
2015-04-13,19167
2015-04-14,19167
2015-04-15,18267
2015-04-16,17374
2015-04-17,17374
2015-04-18,16545
2015-04-19,16545
2015-04-20,15803
2015-04-21,15803
2015-04-22,15062
2015-04-23,14349
2015-04-24,14349
2015-04-25,13674
2015-04-26,13674
2015-04-27,13674
2015-04-28,13035
2015-04-29,13035
2015-04-30,12440
2015-05-01,11863
2015-05-02,11326
2015-05-03,11326
2015-05-04,10795
2015-05-05,10795
2015-05-06,10302
2015-05-07,10302
2015-05-08,9828
2015-05-09,9828
2015-05-10,9370
2015-05-11,9370
2015-05-12,8966
2015-05-13,8966
2015-05-14,8560
2015-05-15,8560
2015-05-16,8560
2015-05-17,8163
2015-05-18,8163
2015-05-19,8163
2015-05-20,7787
2015-05-21,7787
2015-05-22,7787
2015-05-23,7436
2015-05-24,7436
2015-05-25,7096
2015-05-26,7096
2015-05-27,6785
2015-05-28,6785
2015-05-29,6486
2015-05-30,6486
2015-05-31,6198
2015-06-01,6198
2015-06-02,6198
2015-06-03,5913
2015-06-04,5913
2015-06-05,5636
2015-06-06,5636
2015-06-07,5636
2015-06-08,5374
2015-06-09,5374
2015-06-10,5374
2015-06-11,5142
2015-06-12,5142
2015-06-13,5142
2015-06-14,4909
2015-06-15,4909
2015-06-16,4909
2015-06-17,4679
2015-06-18,4679
2015-06-19,4679
2015-06-20,4679
2015-06-21,4459
2015-06-22,4459
2015-06-23,4459
2015-06-24,4459
2015-06-25,4459
2015-06-26,4294
2015-06-27,4294
2015-06-28,4294
2015-06-29,4294
2015-06-30,4106
2015-07-01,4106
2015-07-02,4106
2015-07-03,4106
2015-07-04,3913
2015-07-05,3913
2015-07-06,3913
2015-07-07,3913
2015-07-08,3745
2015-07-09,3745
2015-07-10,3745
2015-07-11,3745
2015-07-12,3745
2015-07-13,3745
2015-07-14,3570
2015-07-15,3570
2015-07-16,3570
2015-07-17,3570
2015-07-18,3570
2015-07-19,3414
2015-07-20,3414
2015-07-21,3414
2015-07-22,3258
2015-07-23,3258
2015-07-24,3258
2015-07-25,3258
2015-07-26,3258
2015-07-27,3113
2015-07-28,3113
2015-07-29,3113
2015-07-30,3113
2015-07-31,2971
2015-08-01,2971
2015-08-02,2971
2015-08-03,2971
2015-08-04,2937
2015-08-05,2937
2015-08-06,2937
2015-08-07,2937
2015-08-08,3026
2015-08-09,3026
2015-08-10,3026
2015-08-11,3026
2015-08-12,3026
2015-08-13,2965
2015-08-14,2965
2015-08-15,2965
2015-08-16,2965
2015-08-17,2843
2015-08-18,2843
2015-08-19,2843
2015-08-20,2843
2015-08-21,2843
2015-08-22,2830
2015-08-23,2830
2015-08-24,2830
2015-08-25,2830
2015-08-26,2830
2015-08-27,2754
2015-08-28,2754
2015-08-29,2754
2015-08-30,2754
2015-08-31,2754
2015-09-01,2689
2015-09-02,2689
2015-09-03,2689
2015-09-04,2689
2015-09-05,2689
2015-09-06,2564
2015-09-07,2564
2015-09-08,2564
2015-09-09,2564
2015-09-10,2455
2015-09-11,2455
2015-09-12,2455
2015-09-13,2455
2015-09-14,2343
2015-09-15,2343
2015-09-16,2343
2015-09-17,2343
2015-09-18,2343
2015-09-19,2312
2015-09-20,2312
2015-09-21,2312
2015-09-22,2312
2015-09-23,2312
2015-09-24,2312
2015-09-25,2315
2015-09-27,2315
2015-09-28,2315
2015-09-29,2315
2015-09-30,2315
2015-10-05,2337
2015-10-06,2266
2015-10-07,2266
2015-10-08,2266
2015-10-09,2266
2015-10-10,2266
2015-10-11,2175
2015-10-12,2175
2015-10-13,2175
2015-10-14,2175
2015-10-15,2175
2015-10-16,2123
2015-10-17,2123
2015-10-18,2123
2015-10-19,2123
2015-10-20,2123
2015-10-22,2036
2015-10-23,2036
2015-10-24,2036
2015-10-25,2036
2015-10-26,1947
2015-10-27,1947
2015-10-29,1947
2015-10-30,1947
2015-10-31,1927
2015-11-01,1927
2015-11-02,1927
2015-11-03,1927
2015-11-04,1927
2015-11-05,1927
2015-11-06,1859
2015-11-07,1859
2015-11-08,1859
2015-11-09,1859
2015-11-10,1859
2015-11-11,1779
2015-11-12,1779
2015-11-13,1779
2015-11-14,1779
2015-11-15,1779
2015-11-16,1779
2015-11-17,1704
2015-11-18,1704
2015-11-19,1704
2015-11-20,1647
2015-11-21,1647
2015-11-22,1647
2015-11-23,1647
2015-11-24,1647
2015-11-25,1619
2015-11-26,1619
2015-11-27,1619
2015-11-28,1619
2015-11-29,1619
2015-11-30,1591
2015-12-01,1591
2015-12-02,1591
2015-12-03,1591
2015-12-04,1591
2015-12-05,1591
2015-12-06,1562
2015-12-07,1562
2015-12-08,1562
2015-12-09,1562
2015-12-10,1562
2015-12-11,1503
2015-12-12,1503
2015-12-13,1503
2015-12-14,1503
2015-12-15,1433
2015-12-16,1433
2015-12-17,1433
2015-12-18,1433
2015-12-19,1391
2015-12-20,1391
2015-12-21,1391
2015-12-22,1391
2015-12-23,1365
2015-12-24,1365
2015-12-25,1365
2015-12-26,1365
2015-12-27,1327
2015-12-28,1327
2015-12-29,1327
2015-12-30,1282
2015-12-31,1282
2016-01-01,1282
2016-01-02,1282
2016-01-03,1282
2016-01-04,1221
2016-01-05,1221
2016-01-06,1221
2016-01-07,1173
2016-01-08,1173
2016-01-09,1173
2016-01-10,1173
2016-01-11,1176
2016-01-12,1176
2016-01-13,1176
2016-01-14,1140
2016-01-15,1140
2016-01-16,1140
2016-01-17,1140
2016-01-18,1161
2016-01-19,1161
2016-01-20,1161
2016-01-21,1161
2016-01-22,1143
2016-01-23,1143
2016-01-24,1143
2016-01-25,1143
2016-01-26,1143
2016-01-27,1092
2016-01-28,1092
2016-01-29,1092
2016-01-30,1092
2016-01-31,1092
2016-02-01,1088
2016-02-02,1088
2016-02-03,1088
2016-02-04,1088
2016-02-05,1088
2016-02-06,1101
2016-02-07,1101
2016-02-08,1101
2016-02-09,1101
2016-02-10,1101
2016-02-11,1101
2016-02-12,1101
2016-02-13,1115
2016-02-14,1115
2016-02-15,1115
2016-02-16,1115
2016-02-17,1115
2016-02-18,1115
2016-02-19,1119
2016-02-20,1119
2016-02-21,1119
2016-02-22,1119
2016-02-23,1119
2016-02-24,1108
2016-02-25,1108
2016-02-26,1108
2016-02-27,1108
2016-02-28,1117
2016-02-29,1117
2016-03-01,1117
2016-03-02,1117
2016-03-03,1117
2016-03-04,1084
2016-03-05,1084
2016-03-06,1084
2016-03-07,1084
2016-03-08,1084
2016-03-09,1039
2016-03-10,1039
2016-03-11,1039
2016-03-12,991
2016-03-13,991
2016-03-14,991
2016-03-15,991
2016-03-16,1000
2016-03-17,1000
2016-03-18,1000
2016-03-19,1000
2016-03-20,1046
2016-03-21,1046
2016-03-22,1046
2016-03-23,1046
2016-03-24,1046
2016-03-25,1086
2016-03-26,1086
