date_obj,Skills%20necklace price
2015-03-26,39647
2015-03-27,39647
2015-03-28,39647
2015-03-29,39647
2015-03-30,39647
2015-03-31,39647
2015-04-01,37694
2015-04-02,37694
2015-04-03,37694
2015-04-04,37694
2015-04-05,37694
2015-04-06,37694
2015-04-07,37694
2015-04-08,35831
2015-04-09,35831
2015-04-10,35831
2015-04-11,35831
2015-04-12,35831
2015-04-13,35831
2015-04-14,35831
2015-04-15,34061
2015-04-16,34061
2015-04-17,34061
2015-04-18,34061
2015-04-19,34061
2015-04-20,34061
2015-04-21,34061
2015-04-22,32385
2015-04-23,32385
2015-04-24,32385
2015-04-25,32385
2015-04-26,32385
2015-04-27,32385
2015-04-28,30804
2015-04-29,30804
2015-04-30,30804
2015-05-01,30804
2015-05-02,30804
2015-05-03,30804
2015-05-04,30804
2015-05-05,29323
2015-05-06,29323
2015-05-07,29323
2015-05-08,29323
2015-05-09,29323
2015-05-10,27884
2015-05-11,27884
2015-05-12,27884
2015-05-13,27884
2015-05-14,27884
2015-05-15,26527
2015-05-16,26527
2015-05-17,26527
2015-05-18,26527
2015-05-19,26527
2015-05-20,25233
2015-05-21,25233
2015-05-22,25233
2015-05-23,25233
2015-05-24,25233
2015-05-25,23998
2015-05-26,23998
2015-05-27,23998
2015-05-28,23998
2015-05-29,22827
2015-05-30,22827
2015-05-31,22827
2015-06-01,21750
2015-06-02,21750
2015-06-03,21750
2015-06-04,21750
2015-06-05,21750
2015-06-06,21145
2015-06-07,21145
2015-06-08,21145
2015-06-09,21145
2015-06-10,21145
2015-06-11,20197
2015-06-12,20197
2015-06-13,20197
2015-06-14,20197
2015-06-15,20197
2015-06-16,20311
2015-06-17,20311
2015-06-18,20311
2015-06-19,20311
2015-06-20,20311
2015-06-21,20568
2015-06-22,20568
2015-06-23,20568
2015-06-24,20568
2015-06-25,20568
2015-06-26,20568
2015-06-27,20843
2015-06-28,20843
2015-06-29,20843
2015-06-30,20843
2015-07-01,20843
2015-07-02,20843
2015-07-03,20650
2015-07-04,20650
2015-07-05,20650
2015-07-06,20650
2015-07-07,20650
2015-07-08,20650
2015-07-09,20650
2015-07-10,20847
2015-07-11,20847
2015-07-12,20847
2015-07-13,20847
2015-07-14,20847
2015-07-15,21056
2015-07-16,21056
2015-07-17,21056
2015-07-18,21056
2015-07-19,21056
2015-07-20,21056
2015-07-21,21685
2015-07-22,21685
2015-07-23,21685
2015-07-24,21685
2015-07-25,21685
2015-07-26,21685
2015-07-27,22595
2015-07-28,22595
2015-07-29,22595
2015-07-30,22595
2015-07-31,22595
2015-08-01,23460
2015-08-02,23460
2015-08-03,23460
2015-08-04,23460
2015-08-05,23460
2015-08-06,24439
2015-08-07,24439
2015-08-08,24439
2015-08-09,24439
2015-08-10,24439
2015-08-11,24419
2015-08-12,24419
2015-08-13,24419
2015-08-14,24419
2015-08-15,24419
2015-08-16,24419
2015-08-17,24490
2015-08-18,24490
2015-08-19,24490
2015-08-20,24490
2015-08-21,24490
2015-08-22,24612
2015-08-23,24612
2015-08-24,24612
2015-08-25,24612
2015-08-26,24612
2015-08-27,24612
2015-08-28,24336
2015-08-29,24336
2015-08-30,24336
2015-08-31,24336
2015-09-01,24336
2015-09-02,24336
2015-09-03,23904
2015-09-04,23904
2015-09-05,23904
2015-09-06,23904
2015-09-07,23904
2015-09-08,23009
2015-09-09,23009
2015-09-10,23009
2015-09-11,23009
2015-09-12,23009
2015-09-13,22272
2015-09-14,22272
2015-09-15,22272
2015-09-16,22272
2015-09-17,22272
2015-09-18,22272
2015-09-19,22685
2015-09-20,22685
2015-09-21,22685
2015-09-22,22685
2015-09-23,22685
2015-09-24,22685
2015-09-25,23593
2015-09-27,23593
2015-09-28,23593
2015-09-29,23593
