date_obj,Musketeer%20hat price
2015-03-26,1084931
2015-03-27,1084931
2015-03-28,1055579
2015-03-29,1046105
2015-03-30,1035710
2015-03-31,1052084
2015-04-01,1052084
2015-04-02,1077594
2015-04-03,1077594
2015-04-04,1062946
2015-04-05,1062946
2015-04-06,1032896
2015-04-07,996721
2015-04-08,996721
2015-04-09,984011
2015-04-10,988873
2015-04-11,961318
2015-04-12,961318
2015-04-13,937122
2015-04-14,937122
2015-04-15,935830
2015-04-16,935830
2015-04-17,957689
2015-04-18,955994
2015-04-19,947028
2015-04-20,947028
2015-04-21,949717
2015-04-22,949717
2015-04-23,954380
2015-04-24,954380
2015-04-25,948138
2015-04-26,935080
2015-04-27,913653
2015-04-28,897392
2015-04-29,897392
2015-04-30,892699
2015-05-01,877002
2015-05-02,856456
2015-05-03,856456
2015-05-04,832423
2015-05-05,808537
2015-05-06,778688
2015-05-07,766022
2015-05-08,744601
2015-05-09,710486
2015-05-10,678980
2015-05-11,678980
2015-05-12,646247
2015-05-13,618902
2015-05-14,593784
2015-05-15,573441
2015-05-16,545097
2015-05-17,523274
2015-05-18,500972
2015-05-19,480263
2015-05-20,480263
2015-05-21,462074
2015-05-22,453215
2015-05-23,449914
2015-05-24,444959
2015-05-25,437218
2015-05-26,421833
2015-05-27,404566
2015-05-28,391065
2015-05-29,385769
2015-05-30,382462
2015-05-31,386578
2015-06-01,400284
2015-06-02,400284
2015-06-03,419010
2015-06-04,438337
2015-06-05,453107
2015-06-06,473858
2015-06-07,495872
2015-06-08,516701
2015-06-09,542537
2015-06-10,566763
2015-06-11,566763
2015-06-12,595102
2015-06-13,613700
2015-06-14,626143
2015-06-15,626143
2015-06-16,640009
2015-06-17,652888
2015-06-18,660399
2015-06-19,660214
2015-06-20,654530
2015-06-21,654530
2015-06-22,649234
2015-06-23,637785
2015-06-24,637396
2015-06-25,637396
2015-06-26,621160
2015-06-27,621160
2015-06-28,595479
2015-06-29,595479
2015-06-30,575168
2015-07-01,550246
2015-07-02,550246
2015-07-03,550040
2015-07-04,557714
2015-07-05,557714
2015-07-06,559318
2015-07-07,564250
2015-07-08,578519
2015-07-09,578519
2015-07-10,597342
2015-07-11,597342
2015-07-12,607358
2015-07-13,601687
2015-07-14,604607
2015-07-15,600839
2015-07-16,596019
2015-07-17,594177
2015-07-18,606226
2015-07-19,611749
2015-07-20,622342
2015-07-21,639288
2015-07-22,658434
2015-07-23,658434
2015-07-24,676680
2015-07-25,688408
2015-07-26,692409
2015-07-27,695109
2015-07-28,700370
2015-07-29,706295
2015-07-30,675195
2015-07-31,665098
2015-08-01,673364
2015-08-02,675272
2015-08-03,678292
2015-08-04,678292
2015-08-05,668219
2015-08-06,674922
2015-08-07,658784
2015-08-08,674175
2015-08-09,683388
2015-08-10,685564
2015-08-11,696071
2015-08-12,696071
2015-08-13,698307
2015-08-14,700668
2015-08-15,706687
2015-08-16,718689
2015-08-17,733792
2015-08-18,748879
2015-08-19,746664
2015-08-20,746664
2015-08-21,755883
2015-08-22,760803
2015-08-23,760803
2015-08-24,759967
2015-08-25,759967
2015-08-26,764992
2015-08-27,757890
2015-08-28,757890
2015-08-29,746762
2015-08-30,740647
2015-08-31,740668
2015-09-01,731300
2015-09-02,731300
2015-09-03,726121
2015-09-04,714506
2015-09-05,714506
2015-09-06,692764
2015-09-07,679932
2015-09-08,686109
2015-09-09,689298
2015-09-10,691621
2015-09-11,704508
2015-09-12,728860
2015-09-13,748716
2015-09-14,766786
2015-09-15,767952
2015-09-16,767952
2015-09-17,755448
2015-09-18,745093
2015-09-19,746133
2015-09-20,752145
2015-09-21,747874
2015-09-22,729821
2015-09-23,726731
2015-09-24,726731
2015-09-25,724408
2015-09-27,727472
2015-09-28,716529
2015-09-29,710848
2015-09-30,703057
2015-10-05,699436
2015-10-06,697319
2015-10-07,697319
2015-10-08,708586
2015-10-09,708583
2015-10-10,708583
2015-10-11,714480
2015-10-12,713947
2015-10-13,713947
2015-10-14,705565
2015-10-15,699692
2015-10-16,684953
2015-10-17,684953
2015-10-18,681184
2015-10-19,667285
2015-10-20,667660
2015-10-22,670376
2015-10-23,670248
2015-10-24,666230
2015-10-25,674177
2015-10-26,677004
2015-10-27,677004
2015-10-29,683793
2015-10-30,683793
2015-10-31,680669
2015-11-01,680669
2015-11-02,665169
2015-11-03,665169
2015-11-04,650348
2015-11-05,641383
2015-11-06,641383
2015-11-07,636142
2015-11-08,636142
2015-11-09,639338
2015-11-10,639338
2015-11-11,639948
2015-11-12,639948
2015-11-13,639738
2015-11-14,639738
2015-11-15,647332
2015-11-16,650153
2015-11-17,654066
2015-11-18,654066
2015-11-19,661557
2015-11-20,659407
2015-11-21,659407
2015-11-22,649556
2015-11-23,649556
2015-11-24,652712
2015-11-25,654063
2015-11-26,654063
2015-11-27,662730
2015-11-28,662730
2015-11-29,663693
2015-11-30,671890
2015-12-02,682319
2015-12-03,690894
2015-12-04,690894
2015-12-05,688125
2015-12-06,685519
2015-12-07,685519
2015-12-08,685788
2015-12-09,696686
2015-12-10,704495
2015-12-11,694789
2015-12-12,686459
2015-12-13,685725
2015-12-14,685725
2015-12-15,693101
2015-12-16,676308
2015-12-17,676308
2015-12-18,664347
2015-12-19,664347
2015-12-20,654878
2015-12-21,651827
2015-12-22,662604
2015-12-23,676453
2015-12-24,690960
2015-12-25,707779
2015-12-26,721462
2015-12-27,719394
2015-12-28,729813
2015-12-29,742433
2015-12-30,748546
2015-12-31,761390
2016-01-01,746365
2016-01-02,749711
2016-01-03,761516
2016-01-04,747774
2016-01-05,750450
2016-01-06,751857
2016-01-07,743050
2016-01-08,743145
2016-01-09,743145
2016-01-10,734837
2016-01-11,718388
2016-01-12,699702
2016-01-13,677004
2016-01-14,646073
2016-01-15,620715
2016-01-16,612610
2016-01-17,607222
2016-01-18,620385
2016-01-19,632365
2016-01-20,627428
2016-01-21,610925
2016-01-22,599359
2016-01-23,588353
2016-01-24,576785
2016-01-25,571061
2016-01-26,561333
2016-01-27,548367
2016-01-28,548367
2016-01-29,539336
2016-01-30,539336
