date_obj,White%20lily%20seed price
2019-01-10,15000
2019-01-10,15657
2019-01-11,16440
2019-01-12,17262
2019-01-13,18126
2019-01-14,19033
2019-01-15,19985
2019-01-16,20985
2019-01-17,22035
2019-01-18,23137
2019-01-19,24294
2019-01-20,25509
2019-01-21,26785
2019-01-22,28125
2019-01-23,29082
2019-01-24,27749
2019-01-25,26361
2019-01-26,25042
2019-01-28,22967
2019-01-29,22286
2019-01-30,21247
2019-01-31,20184
2019-02-01,19174
2019-02-02,18227
2019-02-03,17323
2019-02-04,16456
2019-02-05,15633
2019-02-06,14851
2019-02-07,14108
2019-02-08,13402
2019-02-09,12731
2019-02-10,12094
2019-02-11,11500
2019-02-12,10925
2019-02-13,10435
2019-02-14,9957
2019-02-15,10036
2019-02-16,9638
2019-02-17,9528
2019-02-18,9967
2019-02-19,10446
2019-02-20,10880
2019-02-21,10958
2019-02-22,10413
2019-02-23,9892
2019-02-24,9615
2019-02-25,9989
2019-02-26,10135
2019-02-27,9882
2019-02-28,9511
2019-03-01,9199
2019-03-02,9197
2019-03-03,8979
2019-03-04,8615
2019-03-05,8283
2019-03-06,8168
2019-03-07,8164
2019-03-08,8103
2019-03-09,7854
2019-03-10,7494
2019-03-11,7133
2019-03-12,6976
2019-03-13,6811
2019-03-14,6559
2019-03-15,6255
2019-03-16,6018
2019-03-17,6013
2019-03-18,6050
2019-03-19,5893
2019-03-20,5648
2019-03-21,5415
2019-03-22,5408
2019-03-23,5255
2019-03-24,5028
2019-03-25,4838
2019-03-26,5027
2019-03-27,4981
2019-03-28,4944
2019-03-29,5151
2019-03-30,5407
2019-03-31,5678
2019-04-01,5962
2019-04-02,6261
2019-04-03,6569
2019-04-04,6824
2019-04-05,7121
2019-04-06,7477
2019-04-07,7795
2019-04-08,8032
2019-04-09,8366
2019-04-10,8696
2019-04-11,8953
2019-04-12,8947
2019-04-13,8512
2019-04-14,8086
2019-04-15,7681
2019-04-16,7296
2019-04-17,6931
2019-04-18,6584
2019-04-19,6254
2019-04-20,5941
2019-04-21,5698
2019-04-22,5577
2019-04-23,5429
2019-04-24,5373
2019-04-25,5230
2019-04-26,5335
2019-04-27,5243
2019-04-28,5213
2019-04-29,5157
2019-04-30,5109
2019-05-01,5245
2019-05-02,5358
