date_obj,Pink%20robe%20top price
2015-03-04,800
2015-03-05,800
2015-03-06,800
2015-03-07,800
2015-03-08,800
2015-03-09,800
2015-03-10,800
2015-03-11,800
2015-03-12,800
2015-03-13,800
2015-03-14,800
2015-03-15,800
2015-03-16,799
2015-03-17,799
2015-03-18,799
2015-03-19,799
2015-03-20,799
2015-03-21,799
2015-03-22,799
2015-03-23,799
2015-03-24,799
2015-03-25,799
2015-03-26,799
2015-03-27,799
2015-03-28,799
2015-03-29,799
2015-03-30,799
2015-03-31,799
2015-04-01,799
2015-04-02,799
2015-04-03,799
2015-04-04,799
2015-04-05,797
2015-04-06,797
2015-04-07,797
2015-04-08,797
2015-04-09,797
2015-04-10,797
2015-04-11,797
2015-04-12,797
2015-04-13,797
2015-04-14,797
2015-04-15,797
2015-04-16,797
2015-04-17,797
2015-04-18,797
2015-04-19,797
2015-04-20,797
2015-04-21,797
2015-04-22,797
2015-04-23,797
2015-04-24,797
2015-04-25,797
2015-04-26,775
2015-04-27,775
2015-04-28,775
2015-04-29,775
2015-04-30,775
2015-05-01,775
2015-05-02,775
2015-05-03,775
2015-05-04,775
2015-05-05,775
2015-05-06,775
2015-05-07,775
2015-05-08,775
2015-05-09,775
2015-05-10,775
2015-05-11,775
2015-05-12,775
2015-05-13,775
2015-05-14,775
2015-05-15,775
2015-05-16,775
2015-05-17,775
2015-05-18,777
2015-05-19,777
2015-05-20,777
2015-05-21,777
2015-05-22,777
2015-05-23,777
2015-05-24,777
2015-05-25,777
2015-05-26,777
2015-05-27,777
2015-05-28,777
2015-05-29,777
2015-05-30,777
2015-05-31,777
2015-06-01,777
2015-06-02,777
2015-06-03,777
2015-06-04,763
2015-06-05,763
2015-06-06,763
2015-06-07,763
2015-06-08,763
2015-06-09,763
2015-06-10,763
2015-06-11,763
2015-06-12,763
2015-06-13,763
2015-06-14,763
2015-06-15,763
2015-06-16,763
2015-06-17,763
2015-06-18,763
2015-06-19,763
2015-06-20,763
2015-06-21,762
2015-06-22,762
2015-06-23,762
2015-06-24,762
2015-06-25,762
2015-06-26,762
2015-06-27,762
2015-06-28,762
2015-06-29,762
2015-06-30,762
2015-07-01,762
2015-07-02,762
2015-07-03,762
2015-07-04,762
2015-07-05,762
2015-07-06,762
2015-07-07,762
2015-07-08,774
2015-07-09,774
2015-07-10,774
2015-07-11,774
2015-07-12,774
2015-07-13,774
2015-07-14,774
2015-07-15,774
2015-07-16,774
2015-07-17,774
2015-07-18,774
2015-07-19,774
2015-07-20,774
2015-07-21,774
2015-07-22,774
2015-07-23,774
2015-07-24,774
2015-07-25,774
2015-07-26,774
2015-07-27,776
2015-07-28,776
2015-07-29,776
2015-07-30,776
2015-07-31,776
2015-08-01,776
2015-08-02,776
2015-08-03,776
2015-08-04,776
2015-08-05,776
2015-08-06,776
2015-08-07,776
2015-08-08,776
2015-08-09,776
2015-08-10,776
2015-08-11,776
2015-08-12,776
2015-08-13,772
2015-08-14,772
2015-08-15,772
2015-08-16,772
2015-08-17,772
2015-08-18,772
2015-08-19,772
2015-08-20,772
2015-08-21,772
2015-08-22,772
2015-08-23,772
2015-08-24,772
2015-08-25,772
2015-08-26,772
2015-08-27,772
2015-08-28,772
2015-08-29,770
2015-08-30,770
2015-08-31,770
2015-09-01,389
2015-09-02,770
2015-09-07,770
2015-09-08,770
2015-09-10,770
2015-09-14,770
2015-09-16,777
2015-09-22,777
2015-09-23,777
2015-09-24,777
2015-09-25,777
2015-09-27,777
2015-09-28,777
2015-09-29,777
2015-09-30,777
2015-10-05,777
2015-10-06,777
2015-10-07,777
2015-10-08,777
2015-10-09,777
2015-10-10,777
2015-10-11,777
2015-10-12,777
2015-10-13,777
2015-10-14,777
2015-10-15,777
2015-10-16,777
2015-10-17,777
2015-10-18,777
2015-10-19,777
2015-10-20,777
2015-10-22,777
2015-10-23,777
2015-10-24,777
2015-10-25,777
2015-10-26,777
2015-10-27,777
2015-10-29,777
2015-10-30,777
2015-10-31,804
2015-11-01,804
2015-11-02,804
2015-11-03,804
2015-11-04,804
2015-11-05,804
2015-11-06,804
2015-11-07,804
2015-11-08,804
2015-11-09,804
2015-11-10,804
2015-11-11,804
2015-11-12,804
2015-11-13,804
2015-11-14,804
2015-11-15,804
2015-11-16,804
2015-11-17,804
2015-11-18,804
2015-11-19,804
2015-11-20,804
2015-11-21,804
2015-11-22,825
2015-11-23,825
2015-11-24,825
