date_obj,Red%20chinchompa price
2015-03-26,1210
2015-03-27,1210
2015-03-28,1243
2015-03-29,1241
2015-03-30,1210
2015-03-31,1213
2015-04-01,1218
2015-04-02,1224
2015-04-03,1243
2015-04-04,1233
2015-04-05,1216
2015-04-06,1193
2015-04-07,1174
2015-04-08,1195
2015-04-09,1221
2015-04-10,1266
2015-04-11,1309
2015-04-12,1326
2015-04-13,1342
2015-04-14,1350
2015-04-15,1353
2015-04-16,1353
2015-04-17,1354
2015-04-18,1327
2015-04-19,1285
2015-04-20,1257
2015-04-21,1275
2015-04-22,1298
2015-04-23,1323
2015-04-24,1350
2015-04-25,1338
2015-04-26,1306
2015-04-27,1271
2015-04-28,1254
2015-04-29,1254
2015-04-30,1296
2015-05-01,1351
2015-05-02,1320
2015-05-03,1268
2015-05-04,1227
2015-05-05,1236
2015-05-06,1268
2015-05-07,1306
2015-05-08,1327
2015-05-09,1322
2015-05-10,1304
2015-05-11,1304
2015-05-12,1290
2015-05-13,1296
2015-05-14,1334
2015-05-15,1369
2015-05-16,1357
2015-05-17,1302
2015-05-18,1249
2015-05-19,1231
2015-05-20,1231
2015-05-21,1224
2015-05-22,1215
2015-05-23,1221
2015-05-24,1233
2015-05-25,1250
2015-05-26,1264
2015-05-27,1293
2015-05-28,1328
2015-05-29,1372
2015-05-30,1368
2015-05-31,1338
2015-06-01,1355
2015-06-02,1393
2015-06-03,1441
2015-06-04,1461
2015-06-05,1512
2015-06-06,1541
2015-06-07,1523
2015-06-08,1515
2015-06-09,1525
2015-06-10,1585
2015-06-11,1618
2015-06-12,1655
2015-06-13,1587
2015-06-14,1516
2015-06-15,1449
2015-06-16,1442
2015-06-17,1434
2015-06-18,1453
2015-06-19,1482
2015-06-20,1460
2015-06-21,1392
2015-06-22,1345
2015-06-23,1317
2015-06-24,1310
2015-06-25,1317
2015-06-26,1332
2015-06-27,1342
2015-06-28,1287
2015-06-29,1239
2015-06-30,1223
2015-07-01,1276
2015-07-02,1276
2015-07-03,1319
2015-07-04,1271
2015-07-05,1222
2015-07-06,1194
2015-07-07,1194
2015-07-08,1213
2015-07-09,1230
2015-07-10,1216
2015-07-11,1162
2015-07-12,1121
2015-07-13,1074
2015-07-14,1089
2015-07-15,1121
2015-07-16,1150
2015-07-17,1133
2015-07-18,1099
2015-07-19,1057
2015-07-20,1089
2015-07-21,1140
2015-07-22,1180
2015-07-23,1180
2015-07-24,1201
2015-07-25,1201
2015-07-26,1226
2015-07-27,1247
2015-07-28,1254
2015-07-29,1234
2015-07-30,1226
2015-07-31,1224
2015-08-01,1205
2015-08-02,1165
2015-08-03,1151
2015-08-04,1182
2015-08-05,1205
2015-08-06,1248
2015-08-07,1283
2015-08-08,1294
2015-08-09,1288
2015-08-10,1266
2015-08-11,1271
2015-08-12,1252
2015-08-13,1226
2015-08-14,1212
2015-08-15,1187
2015-08-16,1143
2015-08-17,1105
2015-08-18,1146
2015-08-19,1178
2015-08-20,1216
2015-08-21,1226
2015-08-22,1200
2015-08-23,1172
2015-08-24,1167
2015-08-25,1167
2015-08-26,1204
2015-08-27,1209
2015-08-28,1232
2015-08-29,1217
2015-08-30,1217
2015-08-31,1185
2015-09-01,1194
2015-09-02,1194
2015-09-03,1224
2015-09-04,1270
2015-09-05,1270
2015-09-06,1236
2015-09-07,1212
2015-09-08,1234
2015-09-09,1286
2015-09-10,1333
2015-09-11,1351
2015-09-12,1352
2015-09-13,1339
2015-09-14,1347
2015-09-15,1395
2015-09-16,1395
2015-09-17,1443
2015-09-18,1443
2015-09-19,1487
2015-09-20,1482
2015-09-21,1480
2015-09-22,1524
2015-09-23,1542
2015-09-24,1542
2015-09-25,1571
2015-09-27,1521
2015-09-28,1468
2015-09-29,1481
2015-09-30,1533
2015-10-05,1558
2015-10-06,1542
2015-10-07,1542
2015-10-08,1540
2015-10-09,1536
2015-10-10,1536
2015-10-11,1468
2015-10-12,1407
2015-10-13,1407
2015-10-14,1435
2015-10-15,1465
2015-10-16,1489
2015-10-17,1489
2015-10-18,1446
2015-10-19,1417
2015-10-20,1484
2015-10-22,1556
2015-10-23,1618
2015-10-24,1589
2015-10-25,1525
2015-10-26,1484
2015-10-27,1484
2015-10-29,1569
2015-10-30,1569
2015-10-31,1570
2015-11-01,1570
2015-11-02,1522
2015-11-03,1522
2015-11-04,1559
2015-11-05,1581
2015-11-06,1581
2015-11-07,1656
2015-11-08,1656
2015-11-09,1679
2015-11-10,1679
2015-11-11,1745
2015-11-12,1745
2015-11-13,1797
2015-11-14,1798
2015-11-15,1730
2015-11-16,1682
2015-11-17,1646
2015-11-18,1666
2015-11-19,1704
2015-11-20,1702
2015-11-21,1702
2015-11-22,1662
2015-11-23,1662
2015-11-24,1697
2015-11-25,1779
2015-11-26,1779
2015-11-27,1826
2015-11-28,1822
2015-11-29,1791
2015-11-30,1774
2015-12-01,1774
2015-12-02,1824
2015-12-03,1861
2015-12-04,1861
2015-12-05,1843
2015-12-06,1806
2015-12-07,1748
2015-12-08,1750
2015-12-09,1770
2015-12-10,1805
2015-12-11,1838
2015-12-12,1821
2015-12-13,1763
2015-12-14,1763
2015-12-15,1750
2015-12-16,1766
2015-12-17,1766
2015-12-18,1780
2015-12-19,1742
2015-12-20,1717
2015-12-21,1726
2015-12-22,1725
2015-12-23,1736
2015-12-24,1731
2015-12-25,1678
2015-12-26,1610
2015-12-27,1542
2015-12-28,1488
2015-12-29,1522
2015-12-30,1585
2015-12-31,1648
2016-01-01,1640
2016-01-02,1589
2016-01-03,1523
2016-01-04,1537
2016-01-05,1562
2016-01-06,1566
2016-01-07,1556
2016-01-08,1577
2016-01-09,1547
2016-01-10,1499
2016-01-11,1480
2016-01-12,1529
2016-01-13,1585
2016-01-14,1655
2016-01-15,1673
2016-01-16,1615
2016-01-17,1560
2016-01-18,1541
2016-01-19,1541
2016-01-20,1604
2016-01-21,1667
2016-01-22,1720
2016-01-23,1683
2016-01-24,1626
2016-01-25,1598
2016-01-26,1661
2016-01-27,1697
2016-01-28,1697
2016-01-29,1733
2016-01-30,1733
2016-01-31,1698
2016-02-01,1672
2016-02-02,1669
2016-02-03,1735
2016-02-04,1745
2016-02-05,1745
2016-02-06,1708
2016-02-07,1708
2016-02-08,1690
2016-02-09,1696
2016-02-10,1707
2016-02-11,1707
2016-02-12,1717
2016-02-13,1682
2016-02-14,1682
2016-02-15,1649
2016-02-16,1653
2016-02-17,1673
2016-02-18,1673
2016-02-19,1695
2016-02-20,1698
2016-02-21,1638
2016-02-22,1638
2016-02-23,1611
2016-02-24,1676
2016-02-25,1678
2016-02-26,1678
2016-02-27,1651
2016-02-28,1573
2016-02-29,1580
2016-03-01,1625
2016-03-02,1647
2016-03-03,1667
2016-03-04,1664
2016-03-05,1664
2016-03-06,1678
2016-03-07,1678
2016-03-08,1721
2016-03-09,1762
2016-03-10,1786
2016-03-11,1783
2016-03-12,1728
2016-03-13,1688
2016-03-14,1698
2016-03-15,1716
2016-03-16,1753
2016-03-17,1772
2016-03-18,1778
2016-03-19,1765
2016-03-20,1726
2016-03-21,1726
2016-03-22,1748
2016-03-23,1800
2016-03-24,1810
2016-03-25,1823
2016-03-26,1804
2016-03-27,1799
2016-03-28,1788
2016-03-29,1849
2016-03-30,1849
2016-03-31,1826
2016-04-01,1827
2016-04-02,1850
2016-04-03,1846
2016-04-04,1859
2016-04-05,1887
2016-04-06,1892
2016-04-07,1889
2016-04-08,1896
2016-04-09,1861
2016-04-10,1817
2016-04-11,1817
2016-04-12,1813
2016-04-13,1808
2016-04-14,1821
2016-04-15,1865
2016-04-16,1870
2016-04-17,1859
2016-04-18,1811
2016-04-19,1808
2016-04-20,1828
2016-04-21,1833
2016-04-22,1833
2016-04-23,1821
2016-04-24,1833
2016-04-25,1819
2016-04-26,1795
2016-04-27,1766
2016-04-28,1780
2016-04-29,1726
2016-04-30,1679
2016-05-01,1670
