date_obj,Strung%20rabbit%20foot price
2015-03-26,29420
2015-03-27,29420
2015-03-28,29420
2015-03-29,29420
2015-03-30,28077
2015-03-31,28077
2015-04-01,28077
2015-04-02,28077
2015-04-03,28077
2015-04-04,26784
2015-04-05,26784
2015-04-06,26784
2015-04-07,26784
2015-04-08,26784
2015-04-09,26784
2015-04-10,25461
2015-04-11,25461
2015-04-12,25461
2015-04-13,25461
2015-04-14,25461
2015-04-15,25461
2015-04-16,24310
2015-04-17,24310
2015-04-18,24310
2015-04-19,24310
2015-04-20,24310
2015-04-21,24310
2015-04-22,23186
2015-04-23,23186
2015-04-24,23186
2015-04-25,23186
2015-04-26,23186
2015-04-27,23186
2015-04-28,22029
2015-04-29,22029
2015-04-30,22029
2015-05-01,22029
2015-05-02,22029
2015-05-03,22029
2015-05-04,22029
2015-05-05,21058
2015-05-06,21058
2015-05-07,21058
2015-05-08,21058
2015-05-09,21058
2015-05-10,21058
2015-05-11,21058
2015-05-12,20035
2015-05-13,20035
2015-05-14,20035
2015-05-15,20035
2015-05-16,20035
2015-05-17,20035
2015-05-18,20035
2015-05-19,19051
2015-05-20,19051
2015-05-21,19051
2015-05-22,19051
2015-05-23,19051
2015-05-24,19051
2015-05-25,19051
2015-05-26,19051
2015-05-27,18170
2015-05-28,18170
2015-05-29,18170
2015-05-30,18170
2015-05-31,17317
2015-06-01,17317
2015-06-02,17317
2015-06-03,17317
2015-06-04,17317
2015-06-05,16522
2015-06-06,16522
2015-06-07,16522
2015-06-08,16522
2015-06-09,15744
2015-06-10,15744
2015-06-11,15744
2015-06-12,15744
2015-06-13,15744
2015-06-14,15073
2015-06-15,15073
2015-06-16,15073
2015-06-17,15073
2015-06-18,15073
2015-06-19,14448
2015-06-20,14448
2015-06-21,14448
2015-06-22,14448
2015-06-23,14448
2015-06-24,13733
2015-06-25,13733
2015-06-26,13733
2015-06-27,13733
2015-06-28,13733
2015-06-29,13733
2015-06-30,13075
2015-07-01,13075
2015-07-02,13075
2015-07-03,13075
2015-07-04,13075
2015-07-05,12567
2015-07-06,12567
2015-07-07,12567
2015-07-08,12567
2015-07-09,12567
2015-07-10,11965
2015-07-11,11965
2015-07-12,11965
2015-07-13,11965
2015-07-14,11965
2015-07-15,11397
2015-07-16,11397
2015-07-17,11397
2015-07-18,11397
2015-07-19,11397
2015-07-20,11397
2015-07-21,10836
2015-07-22,10836
2015-07-23,10836
2015-07-24,10836
2015-07-25,10836
2015-07-26,10331
2015-07-27,10331
2015-07-28,10331
2015-07-29,10331
2015-07-30,9868
2015-07-31,9868
2015-08-01,9868
2015-08-02,9868
2015-08-03,9868
2015-08-04,9384
2015-08-05,9384
2015-08-06,9384
2015-08-07,9384
2015-08-08,9384
2015-08-09,8925
2015-08-10,8925
2015-08-11,8925
2015-08-12,8925
2015-08-13,8925
2015-08-14,8501
2015-08-15,8501
2015-08-16,8501
2015-08-17,8501
2015-08-18,8501
2015-08-19,8501
2015-08-20,8075
2015-08-21,8075
2015-08-22,8075
2015-08-23,8075
2015-08-24,8075
2015-08-25,8075
2015-08-26,8075
2015-08-27,7674
2015-08-28,7674
2015-08-29,7674
2015-08-30,7674
2015-08-31,7674
2015-09-01,7674
2015-09-02,7674
2015-09-03,7298
2015-09-04,7298
2015-09-05,7298
2015-09-06,7298
2015-09-07,7298
2015-09-08,7298
2015-09-09,6945
2015-09-10,6945
2015-09-11,6945
2015-09-12,6945
2015-09-13,6945
2015-09-14,6945
2015-09-15,6643
2015-09-16,6643
2015-09-17,6643
2015-09-18,6643
2015-09-19,6643
2015-09-20,6643
2015-09-21,6324
2015-09-22,6324
2015-09-23,6324
2015-09-24,6324
2015-09-25,6324
2015-09-27,6324
2015-09-28,6030
2015-09-29,6030
2015-09-30,6030
2015-10-05,6030
2015-10-06,5743
2015-10-07,5743
2015-10-08,5743
2015-10-09,5743
2015-10-10,5743
2015-10-11,5743
2015-10-12,5535
2015-10-13,5535
2015-10-14,5535
2015-10-15,5535
2015-10-16,5535
2015-10-17,5535
2015-10-18,5535
2015-10-19,5535
2015-10-20,5258
2015-10-22,5258
2015-10-23,5258
2015-10-24,5258
2015-10-25,5258
2015-10-26,4998
2015-10-27,4998
2015-10-29,4998
2015-10-30,4998
2015-10-31,4998
2015-11-01,4998
2015-11-02,4998
2015-11-03,4835
2015-11-04,4835
2015-11-05,4835
2015-11-06,4835
2015-11-07,4835
2015-11-08,4835
2015-11-09,4595
2015-11-10,4595
2015-11-11,4595
2015-11-12,4595
2015-11-13,4595
2015-11-14,4595
2015-11-15,4502
2015-11-16,4502
2015-11-17,4502
2015-11-18,4502
2015-11-19,4502
2015-11-20,4502
2015-11-21,4502
2015-11-22,4587
2015-11-23,4587
2015-11-24,4587
2015-11-25,4587
2015-11-26,4587
2015-11-27,4587
2015-11-28,4587
2015-11-29,4451
2015-11-30,4451
2015-12-01,4451
2015-12-02,4451
2015-12-03,4451
2015-12-04,4451
2015-12-05,4451
2015-12-06,4228
2015-12-07,4228
2015-12-08,4228
2015-12-09,4228
2015-12-10,4228
2015-12-11,4228
2015-12-13,4089
2015-12-14,4089
2015-12-15,4089
2015-12-16,4089
2015-12-17,3943
2015-12-18,3943
2015-12-19,3943
2015-12-20,3943
2015-12-21,3943
2015-12-22,3943
2015-12-23,3747
2015-12-24,3747
2015-12-25,3747
2015-12-26,3747
2015-12-27,3747
2015-12-28,3747
2015-12-29,3744
2015-12-30,3744
2015-12-31,3744
2016-01-01,3744
2016-01-02,3744
2016-01-03,3744
2016-01-04,3625
2016-01-05,3625
2016-01-06,3625
2016-01-07,3625
2016-01-08,3625
2016-01-09,3625
2016-01-10,3625
2016-01-11,3453
2016-01-12,3453
2016-01-13,3453
2016-01-14,3453
2016-01-15,3453
2016-01-16,3453
2016-01-17,3280
2016-01-18,3280
2016-01-19,3280
2016-01-20,3280
2016-01-21,3280
2016-01-22,3118
2016-01-23,3118
2016-01-24,3118
2016-01-25,3118
2016-01-26,3118
2016-01-27,3019
2016-01-28,3019
2016-01-29,3019
2016-01-30,3019
2016-01-31,3019
2016-02-01,2895
2016-02-02,2895
2016-02-03,2895
2016-02-04,2895
2016-02-05,2895
2016-02-06,2895
2016-02-07,2769
2016-02-08,2769
2016-02-09,2769
2016-02-10,2769
2016-02-11,2769
2016-02-12,2769
2016-02-13,2697
2016-02-14,2697
2016-02-15,2697
2016-02-16,2697
2016-02-17,2697
2016-02-18,2697
2016-02-19,2733
2016-02-20,2733
2016-02-21,2733
2016-02-22,2733
2016-02-23,2733
2016-02-24,2733
2016-02-25,2616
2016-02-26,2616
2016-02-27,2616
2016-02-28,2616
2016-02-29,2616
2016-03-01,2616
2016-03-02,2666
2016-03-03,2666
2016-03-04,2666
2016-03-05,2666
2016-03-06,2666
2016-03-07,2666
2016-03-08,2750
2016-03-09,2750
2016-03-10,2750
2016-03-11,2750
2016-03-12,2750
2016-03-13,2750
2016-03-14,2756
2016-03-15,2756
2016-03-16,2756
2016-03-17,2756
2016-03-18,2756
2016-03-19,2756
2016-03-20,2871
2016-03-21,2871
2016-03-22,2871
2016-03-23,2871
2016-03-24,2871
2016-03-25,2871
2016-03-26,2938
2016-03-27,2938
2016-03-28,2938
2016-03-29,2938
2016-03-30,2938
2016-03-31,2938
2016-04-01,2877
2016-04-02,2877
2016-04-03,2877
2016-04-04,2877
2016-04-05,2877
2016-04-06,2877
2016-04-07,2979
2016-04-08,2979
2016-04-09,2979
2016-04-10,2979
2016-04-11,2979
2016-04-12,2979
2016-04-13,2979
2016-04-14,2979
2016-04-15,2979
2016-04-16,2979
2016-04-17,2979
2016-04-18,2897
2016-04-19,2897
2016-04-20,2897
2016-04-21,2897
2016-04-22,2897
2016-04-23,2897
2016-04-24,2897
2016-04-25,2786
2016-04-26,2786
2016-04-27,2786
2016-04-28,2786
2016-04-29,2786
2016-04-30,2786
2016-05-01,2649
2016-05-02,2649
2016-05-03,2649
2016-05-04,2649
2016-05-05,2649
2016-05-06,2649
2016-05-07,2532
2016-05-08,2532
2016-05-09,2532
2016-05-10,2532
2016-05-11,2532
2016-05-12,2532
2016-05-13,2443
2016-05-14,2443
2016-05-15,2443
2016-05-16,2443
2016-05-17,2443
2016-05-18,2374
2016-05-19,2374
2016-05-22,2374
2016-05-23,2374
2016-05-24,2415
2016-05-25,2415
2016-05-26,2415
2016-05-27,2415
2016-05-28,2415
2016-05-29,2415
2016-05-30,2358
2016-05-31,2358
2016-06-01,2358
2016-06-02,2358
2016-06-03,2358
2016-06-04,2434
2016-06-05,2434
2016-06-06,2434
2016-06-07,2434
2016-06-08,2434
2016-06-09,2504
2016-06-10,2504
2016-06-11,2504
2016-06-12,2504
2016-06-13,2504
2016-06-14,2610
2016-06-15,2610
2016-06-16,2610
2016-06-17,2610
2016-06-18,2610
2016-06-19,2542
2016-06-20,2542
2016-06-21,2542
2016-06-22,2542
2016-06-23,2542
2016-06-24,2452
2016-06-25,2452
2016-06-26,2452
2016-06-27,2452
2016-06-28,2452
2016-06-29,2452
2016-06-30,2388
2016-07-01,2388
2016-07-02,2388
2016-07-03,2388
2016-07-04,2388
2016-07-05,2282
2016-07-06,2282
2016-07-07,2282
2016-07-08,2282
2016-07-09,2282
2016-07-10,2174
2016-07-11,2174
2016-07-12,2174
2016-07-13,2174
2016-07-14,2174
2016-07-15,2065
2016-07-16,2065
2016-07-17,2065
2016-07-18,2065
2016-07-24,2005
2016-07-25,2044
2016-07-26,2044
2016-07-27,2044
2016-07-28,2044
2016-07-29,2044
2016-07-30,2134
2016-07-31,2134
2016-08-01,2134
2016-08-02,2134
2016-08-03,2134
2016-08-04,2240
2016-08-05,2240
