date_obj,Mystic%20gloves price
2015-03-26,6263
2015-03-27,6263
2015-03-28,6132
2015-03-29,6051
2015-03-30,6180
2015-03-31,6314
2015-04-01,6314
2015-04-02,6581
2015-04-03,6699
2015-04-04,6994
2015-04-05,6994
2015-04-06,7098
2015-04-07,7048
2015-04-08,7048
2015-04-09,7200
2015-04-10,7235
2015-04-11,7095
2015-04-12,6838
2015-04-13,6593
2015-04-14,6593
2015-04-15,6832
2015-04-16,6832
2015-04-17,7029
2015-04-18,6907
2015-04-19,6985
2015-04-20,6985
2015-04-21,7077
2015-04-22,7077
2015-04-23,7206
2015-04-24,7206
2015-04-25,7335
2015-04-26,7335
2015-04-27,7110
2015-04-28,6887
2015-04-29,6887
2015-04-30,6637
2015-05-01,6731
2015-05-02,6705
2015-05-03,6705
2015-05-04,6507
2015-05-05,6332
2015-05-06,6267
2015-05-07,6474
2015-05-08,6621
2015-05-09,6752
2015-05-10,6912
2015-05-11,6912
2015-05-12,7169
2015-05-13,7169
2015-05-14,7181
2015-05-15,7181
2015-05-16,7094
2015-05-17,7055
2015-05-18,7157
2015-05-19,7157
2015-05-20,7225
2015-05-21,7225
2015-05-22,7062
2015-05-23,7062
2015-05-24,6989
2015-05-25,7013
2015-05-26,6858
2015-05-27,6858
2015-05-28,6750
2015-05-29,6546
2015-05-30,6484
2015-05-31,6376
2015-06-01,6105
2015-06-02,6105
2015-06-03,5959
2015-06-04,5921
2015-06-05,5929
2015-06-06,6029
2015-06-07,6052
2015-06-08,6113
2015-06-09,6220
2015-06-10,6158
2015-06-11,6158
2015-06-12,6169
2015-06-13,6057
2015-06-14,6059
2015-06-15,6149
2015-06-16,5997
2015-06-17,5947
2015-06-18,6000
2015-06-19,6119
2015-06-20,6110
2015-06-21,6115
2015-06-22,6247
2015-06-23,6336
2015-06-24,6346
2015-06-25,6346
2015-06-26,6535
2015-06-27,6535
2015-06-28,6500
2015-06-29,6605
2015-06-30,6518
2015-07-01,6340
2015-07-02,6340
2015-07-03,6206
2015-07-04,6098
2015-07-05,6181
2015-07-06,6107
2015-07-07,6217
2015-07-08,6223
2015-07-09,6223
2015-07-10,6182
2015-07-11,6094
2015-07-12,6118
2015-07-13,6382
2015-07-14,6380
2015-07-15,6061
2015-07-16,6011
2015-07-17,5964
2015-07-18,5957
2015-07-19,5943
2015-07-20,5984
2015-07-21,5984
2015-07-22,6007
2015-07-23,6007
2015-07-24,6146
2015-07-25,6155
2015-07-26,5992
2015-07-27,5927
2015-07-28,5902
2015-07-29,5835
2015-07-30,5957
2015-07-31,5995
2015-08-01,6030
2015-08-02,6189
2015-08-03,6048
2015-08-04,5998
2015-08-05,6094
2015-08-06,6319
2015-08-07,6371
2015-08-08,6375
2015-08-09,6290
2015-08-10,6207
2015-08-11,6298
2015-08-12,6298
2015-08-13,6464
2015-08-14,6514
2015-08-15,6514
2015-08-16,6402
2015-08-17,6396
2015-08-18,6587
2015-08-19,6633
2015-08-20,6951
2015-08-21,7132
2015-08-22,7309
2015-08-23,7309
2015-08-24,7142
2015-08-25,7142
2015-08-26,6951
2015-08-27,6757
2015-08-28,6757
2015-08-29,6525
2015-08-30,6525
2015-08-31,6477
2015-09-01,6424
2015-09-02,6424
2015-09-03,6244
2015-09-04,6095
2015-09-05,6095
2015-09-06,6054
2015-09-07,6001
2015-09-08,5977
2015-09-09,5821
2015-09-10,5789
2015-09-11,5844
2015-09-12,5993
2015-09-13,5964
2015-09-14,6049
2015-09-15,6061
2015-09-16,6061
2015-09-17,6084
2015-09-18,6084
2015-09-19,6067
2015-09-20,5992
2015-09-21,5992
2015-09-22,6135
2015-09-23,6276
2015-09-24,6276
2015-09-25,6151
2015-09-27,6319
2015-09-28,6197
2015-09-29,6197
2015-09-30,6182
2015-10-05,5869
2015-10-06,5889
2015-10-07,5889
2015-10-08,5872
2015-10-09,5951
2015-10-10,5951
2015-10-11,6079
2015-10-12,6016
2015-10-13,6016
2015-10-14,6151
2015-10-15,6298
2015-10-16,6428
2015-10-17,6428
2015-10-18,6750
2015-10-19,7042
2015-10-20,7118
2015-10-22,7244
2015-10-23,7273
2015-10-24,7273
2015-10-25,7204
2015-10-26,7262
2015-10-27,7262
2015-10-29,7311
2015-10-30,7368
2015-10-31,7301
2015-11-01,7301
2015-11-02,7193
2015-11-03,7186
2015-11-04,7186
2015-11-05,7227
2015-11-06,7227
2015-11-07,7173
2015-11-08,7173
2015-11-09,7036
2015-11-10,7036
2015-11-11,6923
2015-11-12,6871
2015-11-13,6871
2015-11-14,6768
2015-11-15,6671
2015-11-16,6657
2015-11-17,6843
2015-11-18,6820
2015-11-19,6880
2015-11-20,6806
2015-11-21,6806
2015-11-22,6710
2015-11-23,6710
2015-11-24,6666
2015-11-25,6589
2015-11-26,6589
2015-11-27,6283
2015-11-28,6254
2015-11-29,6184
2015-11-30,6352
2015-12-01,6267
2015-12-02,6128
2015-12-03,6142
2015-12-04,6142
2015-12-05,6391
2015-12-06,6552
2015-12-07,6588
2015-12-08,6563
2015-12-09,6509
2015-12-10,6421
2015-12-11,6387
2015-12-12,6339
2015-12-13,6275
2015-12-14,6275
2015-12-15,6430
2015-12-16,6694
2015-12-17,6694
2015-12-18,6683
2015-12-19,6832
2015-12-20,7133
2015-12-21,7448
2015-12-22,7771
2015-12-23,7654
2015-12-24,7694
2015-12-25,7679
2015-12-26,7480
2015-12-27,7430
2015-12-28,7506
2015-12-29,7693
2015-12-30,8006
2015-12-31,8076
2016-01-01,8454
2016-01-02,8515
2016-01-03,8775
2016-01-04,9006
2016-01-05,9137
2016-01-06,9268
2016-01-07,9374
2016-01-08,9153
2016-01-09,9035
2016-01-10,9013
2016-01-11,8917
2016-01-12,8553
2016-01-13,8212
2016-01-14,8043
2016-01-15,8007
2016-01-16,7913
2016-01-17,7841
2016-01-18,7782
2016-01-19,7950
2016-01-20,7735
2016-01-21,7588
2016-01-22,7456
2016-01-23,7369
2016-01-24,7324
2016-01-25,7190
2016-01-26,7080
2016-01-27,7046
2016-01-28,7046
2016-01-29,6969
2016-01-30,6969
2016-01-31,6941
2016-02-01,6821
2016-02-02,6788
2016-02-03,6798
2016-02-04,6718
2016-02-05,6724
2016-02-06,6796
2016-02-07,6831
2016-02-08,6781
2016-02-09,6738
2016-02-10,6663
2016-02-11,6514
2016-02-12,6411
2016-02-13,6441
2016-02-14,6441
2016-02-15,6361
2016-02-16,6179
2016-02-17,6167
2016-02-18,6283
2016-02-19,6421
2016-02-20,6578
2016-02-21,6779
2016-02-22,6779
2016-02-23,7080
2016-02-24,7389
2016-02-25,7312
2016-02-26,7312
2016-02-27,7136
2016-02-28,7220
2016-02-29,7006
2016-03-01,6774
