date_obj,Frog-leather%20body price
2015-03-26,8516
2015-03-27,8106
2015-03-28,8106
2015-03-29,8106
2015-03-30,8106
2015-03-31,7850
2015-04-01,7850
2015-04-02,7850
2015-04-03,7850
2015-04-04,7481
2015-04-05,7481
2015-04-06,7481
2015-04-07,7481
2015-04-08,7139
2015-04-09,7139
2015-04-10,7139
2015-04-11,7139
2015-04-12,6782
2015-04-13,6782
2015-04-14,6782
2015-04-15,6782
2015-04-16,6445
2015-04-17,6445
2015-04-18,6445
2015-04-19,6445
2015-04-20,6125
2015-04-21,6125
2015-04-22,6125
2015-04-23,6125
2015-04-24,5823
2015-04-25,5823
2015-04-26,5823
2015-04-27,5823
2015-04-28,5531
2015-04-29,5531
2015-04-30,5531
2015-05-01,5531
2015-05-02,5269
2015-05-03,5269
2015-05-04,5269
2015-05-05,5269
2015-05-06,5027
2015-05-07,5027
2015-05-08,5027
2015-05-09,5027
2015-05-10,4826
2015-05-11,4826
2015-05-12,4826
2015-05-13,4826
2015-05-14,4826
2015-05-15,4761
2015-05-16,4761
2015-05-17,4761
2015-05-18,4761
2015-05-19,4529
2015-05-20,4529
2015-05-21,4529
2015-05-22,4529
2015-05-23,4529
2015-05-24,4302
2015-05-25,4302
2015-05-26,4302
2015-05-27,4302
2015-05-28,4086
2015-05-29,4086
2015-05-30,3882
2015-05-31,3882
2015-06-01,3732
2015-06-02,3732
2015-06-03,3732
2015-06-04,3732
2015-06-05,3616
2015-06-06,3616
2015-06-07,3504
2015-06-08,3504
2015-06-09,3504
2015-06-10,3345
2015-06-11,3345
2015-06-12,3345
2015-06-13,3404
2015-06-14,3404
2015-06-15,3404
2015-06-16,3394
2015-06-17,3394
2015-06-18,3394
2015-06-19,3226
2015-06-20,3226
2015-06-21,3226
2015-06-22,3064
2015-06-23,3064
2015-06-24,3064
2015-06-25,2912
2015-06-26,2912
2015-06-27,2768
2015-06-28,2768
2015-06-29,2679
2015-06-30,2679
2015-07-01,2679
2015-07-02,2679
2015-07-03,2545
2015-07-04,2545
2015-07-05,2545
2015-07-06,2421
2015-07-07,2421
2015-07-08,2302
2015-07-09,2302
2015-07-10,2302
2015-07-11,2193
2015-07-12,2193
2015-07-13,2087
2015-07-14,2087
2015-07-15,1992
2015-07-16,1992
2015-07-17,1985
2015-07-18,1985
2015-07-19,1985
2015-07-20,1905
2015-07-21,1905
2015-07-22,1905
2015-07-23,1917
2015-07-24,1917
2015-07-25,1917
2015-07-26,1909
2015-07-27,1909
2015-07-28,1909
2015-07-29,1962
2015-07-30,1962
2015-07-31,1962
2015-08-01,1886
2015-08-02,1886
2015-08-03,1797
2015-08-04,1797
2015-08-05,1797
2015-08-06,1707
2015-08-07,1707
2015-08-08,1707
2015-08-09,1698
2015-08-10,1698
2015-08-11,1698
2015-08-12,1698
2015-08-13,1705
2015-08-14,1705
2015-08-15,1705
2015-08-16,1731
2015-08-17,1731
2015-08-18,1731
2015-08-19,1727
2015-08-20,1727
2015-08-21,1727
2015-08-22,1764
2015-08-23,1764
2015-08-24,1764
2015-08-25,1807
2015-08-26,1807
2015-08-27,1807
2015-08-28,1791
2015-08-29,1791
2015-08-30,1791
2015-08-31,1813
2015-09-01,1813
2015-09-02,1813
2015-09-03,1795
2015-09-04,1795
2015-09-05,1795
2015-09-06,1781
2015-09-07,1781
2015-09-08,1781
2015-09-09,1814
2015-09-10,1814
2015-09-11,1814
2015-09-12,1803
2015-09-13,1803
2015-09-14,1803
2015-09-15,1867
2015-09-16,1867
2015-09-17,1867
2015-09-18,1867
2015-09-19,1917
2015-09-20,1917
2015-09-21,1917
2015-09-22,1917
2015-09-23,1876
2015-09-24,1876
2015-09-25,1876
2015-09-27,1811
2015-09-28,1811
2015-09-29,1811
2015-09-30,1805
2015-10-05,1816
2015-10-06,1816
2015-10-07,1786
2015-10-08,1786
2015-10-09,1786
2015-10-10,1786
2015-10-11,1836
2015-10-12,1836
2015-10-13,1836
2015-10-14,1836
2015-10-15,1873
2015-10-16,1873
2015-10-17,1873
2015-10-18,1835
2015-10-19,1835
2015-10-20,1835
2015-10-22,1849
2015-10-23,1849
2015-10-24,1849
2015-10-25,1847
2015-10-26,1847
2015-10-27,1847
2015-10-29,1830
2015-10-30,1830
2015-10-31,1830
2015-11-01,1839
2015-11-02,1839
2015-11-03,1839
2015-11-04,1839
2015-11-05,1832
2015-11-06,1832
2015-11-07,1832
2015-11-08,1904
2015-11-09,1904
2015-11-10,1904
2015-11-11,1904
2015-11-12,1954
2015-11-13,1954
2015-11-14,1954
2015-11-15,1954
2015-11-16,1965
2015-11-17,1965
2015-11-18,1965
2015-11-19,1905
2015-11-20,1905
2015-11-21,1905
2015-11-22,1872
2015-11-23,1872
2015-11-24,1872
2015-11-25,1852
2015-11-26,1852
2015-11-27,1852
2015-11-28,1852
2015-11-29,1762
2015-11-30,1762
2015-12-01,1762
2015-12-02,1680
2015-12-03,1680
2015-12-04,1680
2015-12-05,1599
2015-12-06,1599
2015-12-07,1599
2015-12-08,1529
2015-12-09,1529
2015-12-10,1529
2015-12-11,1543
2015-12-12,1543
2015-12-13,1543
2015-12-14,1543
2015-12-15,1526
2015-12-16,1526
2015-12-17,1526
2015-12-18,1467
2015-12-19,1467
2015-12-20,1467
2015-12-21,1411
2015-12-22,1411
2015-12-23,1411
2015-12-24,1427
2015-12-25,1427
2015-12-26,1427
2015-12-27,1444
2015-12-28,1444
2015-12-29,1444
2015-12-30,1451
2015-12-31,1451
2016-01-01,1451
2016-01-02,1451
2016-01-03,1485
2016-01-04,1485
2016-01-05,1485
2016-01-06,1524
2016-01-07,1524
2016-01-08,1524
2016-01-09,1524
2016-01-10,1523
2016-01-11,1523
2016-01-12,1523
