date_obj,Big%20pirate%20hat price
2015-03-26,251275
2015-03-27,251275
2015-03-28,251275
2015-03-29,243328
2015-03-30,243328
2015-03-31,243328
2015-04-01,234258
2015-04-02,234258
2015-04-03,234258
2015-04-04,223549
2015-04-05,223549
2015-04-06,213757
2015-04-07,213757
2015-04-08,207647
2015-04-09,207647
2015-04-10,207647
2015-04-11,204941
2015-04-12,204941
2015-04-13,204941
2015-04-14,202716
2015-04-15,202716
2015-04-16,196298
2015-04-17,196298
2015-04-18,191677
2015-04-19,191677
2015-04-20,191677
2015-04-21,187015
2015-04-22,187015
2015-04-23,183356
2015-04-24,183356
2015-04-25,182396
2015-04-26,182396
2015-04-27,186190
2015-04-28,186190
2015-04-29,185272
2015-04-30,185272
2015-05-01,181028
2015-05-02,181028
2015-05-03,175820
2015-05-04,175820
2015-05-05,170235
2015-05-06,170235
2015-05-07,162806
2015-05-08,162806
2015-05-09,160153
2015-05-10,160153
2015-05-11,162816
2015-05-12,161409
2015-05-13,161409
2015-05-14,160743
2015-05-15,160743
2015-05-16,160743
2015-05-17,157252
2015-05-18,157252
2015-05-19,149478
2015-05-20,149478
2015-05-21,149478
2015-05-22,142004
2015-05-23,142004
2015-05-24,135151
2015-05-25,130759
2015-05-26,130759
2015-05-27,127593
2015-05-28,127593
2015-05-29,127431
2015-05-30,126401
2015-05-31,126401
2015-06-01,127531
2015-06-02,127531
2015-06-03,127531
2015-06-04,128083
2015-06-05,128083
2015-06-06,126463
2015-06-07,126463
2015-06-08,126463
2015-06-09,125103
2015-06-10,125103
2015-06-11,125103
2015-06-12,124561
2015-06-13,124561
2015-06-14,126133
2015-06-15,126133
2015-06-16,126133
2015-06-17,126075
2015-06-18,126075
2015-06-19,126534
2015-06-20,126534
2015-06-21,126534
2015-06-22,123600
2015-06-23,123600
2015-06-24,122516
2015-06-25,122516
2015-06-26,122516
2015-06-27,121355
2015-06-28,121355
2015-06-29,120906
2015-06-30,120906
2015-07-01,122314
2015-07-02,122314
2015-07-03,121510
2015-07-04,121510
2015-07-05,122971
2015-07-06,122971
2015-07-07,125219
2015-07-08,125219
2015-07-09,125219
2015-07-10,125468
2015-07-11,125468
2015-07-12,125468
2015-07-13,125764
2015-07-14,125764
2015-07-15,126112
2015-07-16,126112
2015-07-17,130070
2015-07-18,130070
2015-07-19,133664
2015-07-20,133664
2015-07-21,135951
2015-07-22,139893
2015-07-23,139893
2015-07-24,145500
2015-07-25,145500
2015-07-26,145500
2015-07-27,148718
2015-07-28,148718
2015-07-29,154325
2015-07-30,154325
2015-07-31,154325
2015-08-01,160874
2015-08-02,160874
2015-08-03,166009
2015-08-04,166009
2015-08-05,166009
2015-08-06,170312
2015-08-07,170312
2015-08-08,177416
2015-08-09,177416
2015-08-10,185399
2015-08-11,185399
2015-08-12,193205
2015-08-13,193205
2015-08-14,199627
2015-08-15,199627
2015-08-16,199627
2015-08-17,206218
2015-08-18,206218
2015-08-19,215435
2015-08-20,215435
2015-08-21,215435
2015-08-22,210918
2015-08-23,210918
2015-08-24,210918
2015-08-25,215321
2015-08-26,215321
2015-08-27,220050
2015-08-28,220050
2015-08-29,220050
2015-08-30,226176
2015-08-31,226176
2015-09-01,227982
2015-09-02,227982
2015-09-03,227982
2015-09-04,228820
2015-09-05,228820
2015-09-06,228820
2015-09-07,218756
2015-09-08,218756
2015-09-09,218756
2015-09-10,212542
2015-09-11,212542
2015-09-12,208049
2015-09-13,208049
2015-09-14,208049
2015-09-15,200734
2015-09-16,200734
2015-09-17,200734
2015-09-18,192025
2015-09-19,192025
2015-09-20,192025
2015-09-21,186130
2015-09-22,186130
2015-09-23,182626
2015-09-24,182626
2015-09-25,182626
2015-09-27,185015
2015-09-28,185015
2015-09-29,182527
2015-09-30,182527
2015-10-05,180985
2015-10-06,180985
2015-10-07,180985
2015-10-08,178327
2015-10-09,178327
2015-10-10,178327
2015-10-11,173760
2015-10-12,173760
2015-10-13,173760
2015-10-14,169733
2015-10-15,169733
2015-10-16,165633
2015-10-17,165633
2015-10-18,165633
2015-10-19,161022
2015-10-20,161022
2015-10-22,159148
2015-10-23,159148
2015-10-24,158101
2015-10-25,158101
2015-10-26,157643
2015-10-27,157643
2015-10-28,157643
2015-10-29,158065
2015-10-30,158065
2015-10-31,158065
2015-11-01,159305
2015-11-02,159305
2015-11-03,159305
2015-11-04,158362
2015-11-05,158362
2015-11-06,158362
2015-11-07,155534
2015-11-08,155534
2015-11-09,155534
2015-11-10,155397
2015-11-11,155397
2015-11-12,154158
2015-11-13,154158
2015-11-14,154158
2015-11-15,161021
2015-11-16,161021
2015-11-17,161021
2015-11-18,167812
2015-11-19,167812
2015-11-20,167943
2015-11-21,167943
2015-11-22,167943
2015-11-23,166706
2015-11-24,166706
2015-11-25,163085
2015-11-26,163085
2015-11-27,163085
2015-11-28,162144
2015-11-29,162144
2015-11-30,160727
2015-12-01,160727
2015-12-02,160727
2015-12-03,159711
2015-12-04,159711
2015-12-05,159711
2015-12-06,160534
2015-12-07,160534
2015-12-08,160534
2015-12-09,164195
2015-12-10,164195
2015-12-11,164195
2015-12-12,170288
2015-12-13,170288
2015-12-14,170288
2015-12-15,177132
2015-12-16,177132
2015-12-17,177132
2015-12-18,180374
2015-12-19,180374
2015-12-20,180374
2015-12-21,183581
2015-12-22,183581
2015-12-23,183581
2015-12-24,191038
2015-12-25,191038
2015-12-26,191038
2015-12-27,199632
2015-12-28,199632
2015-12-29,205760
2015-12-30,205760
2015-12-31,205760
2016-01-01,213439
2016-01-02,213439
2016-01-03,213439
2016-01-04,214879
2016-01-05,214879
2016-01-06,214879
2016-01-07,216778
2016-01-08,216778
2016-01-09,216778
2016-01-10,222541
2016-01-11,222541
2016-01-12,222541
2016-01-13,229428
2016-01-14,229428
2016-01-15,238816
2016-01-16,238816
2016-01-17,238816
2016-01-18,238203
2016-01-19,238203
2016-01-20,238203
2016-01-21,236566
