date_obj,Plank price
2015-03-26,82
2015-03-27,85
2015-03-28,87
2015-03-29,92
2015-03-30,97
2015-03-31,101
2015-04-01,105
2015-04-02,105
2015-04-03,107
2015-04-04,113
2015-04-05,119
2015-04-06,125
2015-04-07,132
2015-04-08,139
2015-04-09,146
2015-04-10,153
2015-04-11,159
2015-04-12,163
2015-04-13,162
2015-04-14,162
2015-04-15,160
2015-04-16,162
2015-04-17,166
2015-04-18,173
2015-04-19,174
2015-04-20,174
2015-04-21,173
2015-04-22,172
2015-04-23,169
2015-04-24,167
2015-04-25,166
2015-04-26,167
2015-04-27,167
2015-04-28,167
2015-04-29,166
2015-04-30,166
2015-05-01,165
2015-05-02,166
2015-05-03,165
2015-05-04,163
2015-05-05,166
2015-05-06,164
2015-05-07,161
2015-05-08,162
2015-05-09,162
2015-05-10,162
2015-05-11,163
2015-05-12,162
2015-05-13,160
2015-05-14,160
2015-05-15,161
2015-05-16,162
2015-05-17,162
2015-05-18,162
2015-05-19,163
2015-05-20,169
2015-05-21,178
2015-05-22,187
2015-05-23,197
2015-05-24,207
2015-05-25,218
2015-05-26,229
2015-05-27,241
2015-05-28,254
2015-05-29,267
2015-05-30,268
2015-05-31,254
2015-06-01,241
2015-06-02,228
2015-06-03,216
2015-06-04,205
2015-06-05,194
2015-06-06,184
2015-06-07,178
2015-06-08,186
2015-06-09,196
2015-06-10,206
2015-06-11,217
2015-06-12,228
2015-06-13,240
2015-06-14,252
2015-06-15,265
2015-06-16,273
2015-06-17,277
2015-06-18,289
2015-06-19,304
2015-06-20,304
2015-06-21,309
2015-06-22,313
2015-06-23,307
2015-06-24,294
2015-06-25,285
2015-06-26,270
2015-06-27,256
2015-06-28,243
2015-06-29,230
2015-06-30,218
2015-07-01,207
2015-07-02,196
2015-07-03,188
2015-07-04,179
2015-07-05,170
2015-07-06,165
2015-07-07,158
2015-07-08,156
2015-07-09,156
2015-07-10,151
2015-07-11,148
2015-07-12,148
2015-07-13,149
2015-07-14,148
2015-07-15,148
2015-07-16,148
2015-07-17,148
2015-07-18,153
2015-07-19,147
2015-07-20,146
2015-07-21,148
2015-07-22,144
2015-07-23,143
2015-07-24,146
2015-07-25,144
2015-07-26,152
2015-07-27,152
2015-07-28,158
2015-07-29,163
2015-07-30,157
2015-07-31,163
2015-08-01,168
2015-08-02,177
2015-08-03,186
2015-08-04,196
2015-08-05,195
2015-08-06,193
2015-08-07,193
2015-08-08,192
2015-08-09,190
2015-08-10,192
2015-08-11,196
2015-08-12,189
2015-08-13,189
2015-08-14,194
