date_obj,Gilded%20platelegs price
2015-03-26,1621642
2015-03-27,1621642
2015-03-28,1621642
2015-03-29,1621642
2015-03-30,1578632
2015-03-31,1578632
2015-04-01,1578632
2015-04-02,1578632
2015-04-03,1578632
2015-04-04,1578632
2015-04-05,1518350
2015-04-06,1518350
2015-04-07,1518350
2015-04-08,1518350
2015-04-09,1518350
2015-04-10,1518350
2015-04-11,1520238
2015-04-12,1520238
2015-04-13,1520238
2015-04-14,1520238
2015-04-15,1520238
2015-04-16,1520238
2015-04-17,1498728
2015-04-18,1498728
2015-04-19,1498728
2015-04-20,1498728
2015-04-21,1498728
2015-04-22,1498728
2015-04-23,1555175
2015-04-24,1555175
2015-04-25,1555175
2015-04-26,1555175
2015-04-27,1555175
2015-04-28,1546851
2015-04-29,1546851
2015-04-30,1546851
2015-05-01,1546851
2015-05-02,1546851
2015-05-03,1546851
2015-05-04,1504842
2015-05-05,1504842
2015-05-06,1504842
2015-05-07,1504842
2015-05-08,1504842
2015-05-09,1471220
2015-05-10,1471220
2015-05-11,1471220
2015-05-12,1471220
2015-05-13,1471220
2015-05-14,1441654
2015-05-15,1441654
2015-05-16,1441654
2015-05-17,1441654
2015-05-18,1441654
2015-05-19,1446305
2015-05-20,1446305
2015-05-21,1446305
2015-05-22,1446305
2015-05-23,1446305
2015-05-24,1446305
2015-05-25,1499411
2015-05-26,1499411
2015-05-27,1499411
2015-05-28,1550867
2015-05-29,1550867
2015-05-30,1550867
2015-05-31,1600970
2015-06-01,1600970
2015-06-02,1600970
2015-06-03,1628374
2015-06-04,1628374
2015-06-05,1628374
2015-06-06,1637936
2015-06-07,1637936
2015-06-08,1637936
2015-06-09,1576901
2015-06-10,1576901
2015-06-11,1576901
2015-06-12,1576901
2015-06-13,1515313
2015-06-14,1515313
2015-06-15,1515313
2015-06-16,1445812
2015-06-17,1445812
2015-06-18,1445812
2015-06-19,1473941
2015-06-20,1473941
2015-06-21,1473941
2015-06-22,1497133
2015-06-23,1497133
2015-06-24,1497133
2015-06-25,1534929
2015-06-26,1534929
2015-06-27,1534929
2015-06-28,1560840
2015-06-29,1560840
2015-06-30,1560840
2015-07-01,1611286
2015-07-02,1611286
2015-07-03,1611286
2015-07-04,1594431
2015-07-05,1594431
2015-07-06,1594431
2015-07-07,1584361
2015-07-08,1584361
2015-07-09,1584361
2015-07-10,1584753
2015-07-11,1584753
2015-07-12,1584753
2015-07-13,1580901
2015-07-14,1580901
2015-07-15,1580901
2015-07-16,1590501
2015-07-17,1590501
2015-07-18,1590501
2015-07-19,1604402
2015-07-20,1604402
2015-07-21,1604402
2015-07-22,1648256
2015-07-23,1648256
2015-07-24,1648256
2015-07-25,1692439
2015-07-26,1692439
2015-07-27,1733546
2015-07-28,1733546
2015-07-29,1793409
2015-07-30,1793409
2015-07-31,1793409
2015-08-01,1852431
2015-08-02,1852431
2015-08-03,1852431
2015-08-04,1888739
2015-08-05,1888739
2015-08-06,1888739
2015-08-07,1838624
2015-08-08,1838624
2015-08-09,1819084
2015-08-10,1819084
2015-08-11,1819093
2015-08-12,1819093
2015-08-13,1819093
2015-08-14,1829231
2015-08-15,1829231
2015-08-16,1829231
2015-08-17,1827086
2015-08-18,1827086
2015-08-19,1827086
2015-08-20,1850583
2015-08-21,1850583
2015-08-22,1888462
2015-08-23,1888462
2015-08-24,1888462
2015-08-25,1924693
2015-08-26,1924693
2015-08-27,1962492
2015-08-28,1962492
2015-08-29,1962492
2015-08-30,1935721
2015-08-31,1935721
2015-09-01,1935721
2015-09-02,1864759
2015-09-03,1864759
2015-09-04,1828293
2015-09-05,1828293
2015-09-06,1828293
2015-09-07,1807455
2015-09-08,1807455
2015-09-09,1879562
2015-09-10,1879562
2015-09-11,1902977
2015-09-12,1902977
2015-09-13,1902977
2015-09-14,1874206
2015-09-15,1874206
2015-09-16,1874206
2015-09-17,1851604
2015-09-18,1851604
2015-09-19,1851604
2015-09-20,1845868
2015-09-21,1845868
2015-09-22,1845868
2015-09-23,1829704
2015-09-24,1829704
2015-09-25,1829704
2015-09-27,1850406
2015-09-28,1850406
2015-09-29,1854191
2015-09-30,1854191
2015-10-05,1770468
2015-10-06,1770468
2015-10-07,1773810
2015-10-08,1773810
2015-10-09,1784053
2015-10-10,1784053
2015-10-11,1784053
2015-10-12,1813703
2015-10-13,1813703
2015-10-14,1813703
2015-10-15,1810483
2015-10-16,1810483
2015-10-17,1810483
2015-10-18,1833640
2015-10-19,1833640
2015-10-20,1833640
2015-10-22,1826007
2015-10-23,1826007
2015-10-24,1852875
2015-10-25,1852875
2015-10-26,1840710
2015-10-27,1840710
2015-10-29,1847806
2015-10-30,1847806
2015-10-31,1847806
2015-11-01,1878563
2015-11-02,1878563
2015-11-03,1878563
2015-11-04,1935112
2015-11-05,1935112
2015-11-06,1935112
2015-11-07,1925412
2015-11-08,1925412
2015-11-09,1925412
2015-11-10,1925412
2015-11-11,1884948
2015-11-12,1884948
2015-11-13,1884948
2015-11-14,1884948
2015-11-15,1907066
2015-11-16,1907066
2015-11-17,1907066
2015-11-18,1907066
2015-11-19,1982053
2015-11-20,1982053
2015-11-21,1982053
2015-11-22,1957031
2015-11-23,1957031
2015-11-24,1957031
