date_obj,Black%20axe price
2015-03-26,4948
2015-03-27,4948
2015-03-28,4700
2015-03-29,4465
2015-03-30,4249
2015-03-31,4046
2015-04-01,4046
2015-04-02,3843
2015-04-03,3650
2015-04-04,3467
2015-04-05,3300
2015-04-06,3135
2015-04-07,2978
2015-04-08,2978
2015-04-09,2829
2015-04-10,2687
2015-04-11,2552
2015-04-12,2430
2015-04-13,2314
2015-04-14,2314
2015-04-15,2221
2015-04-16,2114
2015-04-17,2008
2015-04-18,1942
2015-04-19,1857
2015-04-20,1857
2015-04-21,1765
2015-04-22,1765
2015-04-23,1697
2015-04-24,1617
2015-04-25,1536
2015-04-26,1467
2015-04-27,1438
2015-04-28,1367
2015-04-29,1367
2015-04-30,1298
2015-05-01,1233
2015-05-02,1171
2015-05-03,1171
2015-05-04,1112
2015-05-05,1056
2015-05-06,1003
2015-05-07,952
2015-05-08,916
2015-05-09,880
2015-05-10,859
2015-05-11,859
2015-05-12,847
2015-05-13,809
2015-05-14,768
2015-05-15,744
2015-05-16,744
2015-05-17,725
2015-05-18,712
2015-05-19,682
2015-05-20,682
2015-05-21,672
2015-05-22,671
2015-05-23,663
2015-05-24,652
2015-05-25,644
2015-05-26,633
2015-05-27,633
2015-05-28,623
2015-05-29,596
2015-05-30,586
2015-05-31,577
2015-06-01,570
2015-06-02,570
2015-06-03,571
2015-06-04,573
2015-06-05,568
2015-06-06,579
2015-06-07,583
2015-06-08,579
2015-06-09,593
2015-06-10,614
2015-06-11,617
2015-06-12,640
2015-06-13,670
2015-06-14,704
2015-06-15,737
2015-06-16,774
2015-06-17,811
2015-06-18,836
2015-06-19,865
2015-06-20,896
2015-06-21,919
2015-06-22,948
2015-06-23,947
2015-06-24,990
2015-06-25,990
2015-06-26,1020
2015-06-27,1020
2015-06-28,1042
2015-06-29,1060
2015-06-30,1100
2015-07-01,1143
2015-07-02,1143
2015-07-03,1152
2015-07-04,1187
2015-07-05,1165
2015-07-06,1123
2015-07-07,1084
2015-07-08,1059
2015-07-09,1059
2015-07-10,1050
2015-07-11,1058
2015-07-12,1069
2015-07-13,1079
2015-07-14,1070
2015-07-15,1068
2015-07-16,1066
2015-07-17,1051
2015-07-18,1040
2015-07-19,1037
2015-07-20,1013
2015-07-21,1019
2015-07-22,1015
2015-07-23,1015
2015-07-24,1008
2015-07-25,999
2015-07-26,994
2015-07-27,976
2015-07-28,970
2015-07-29,952
2015-07-30,958
2015-07-31,978
2015-08-01,985
2015-08-02,988
2015-08-03,982
2015-08-04,973
2015-08-05,958
2015-08-06,948
2015-08-07,945
2015-08-08,945
2015-08-09,957
2015-08-10,960
2015-08-11,972
2015-08-12,972
2015-08-13,977
2015-08-14,980
2015-08-15,980
2015-08-16,981
2015-08-17,977
2015-08-18,983
2015-08-19,968
2015-08-20,968
2015-08-21,970
2015-08-22,962
2015-08-23,968
2015-08-24,968
2015-08-25,968
2015-08-26,957
2015-08-27,937
2015-08-28,894
2015-08-29,883
2015-08-30,883
2015-08-31,883
2015-09-01,874
2015-09-02,874
2015-09-03,853
2015-09-04,846
2015-09-05,846
2015-09-06,848
2015-09-07,836
2015-09-08,830
2015-09-09,843
2015-09-10,847
2015-09-11,832
2015-09-12,825
2015-09-13,821
2015-09-14,815
2015-09-15,801
2015-09-16,801
2015-09-17,793
2015-09-18,793
2015-09-19,786
2015-09-20,795
2015-09-21,797
2015-09-22,788
2015-09-23,777
2015-09-24,777
2015-09-25,774
2015-09-27,728
2015-09-28,723
2015-09-29,724
2015-09-30,727
2015-10-05,692
2015-10-06,686
2015-10-07,686
2015-10-08,682
2015-10-09,676
2015-10-10,676
2015-10-11,671
2015-10-12,668
2015-10-13,668
2015-10-14,665
2015-10-15,666
2015-10-16,665
2015-10-17,665
2015-10-18,665
2015-10-19,664
2015-10-20,662
2015-10-22,669
2015-10-23,666
2015-10-24,682
2015-10-25,686
2015-10-26,683
2015-10-27,683
2015-10-28,694
2015-10-29,685
2015-10-30,685
2015-10-31,683
2015-11-01,683
2015-11-02,679
2015-11-03,685
2015-11-04,710
2015-11-05,742
2015-11-06,742
2015-11-07,757
2015-11-08,757
2015-11-09,754
2015-11-10,779
2015-11-11,799
2015-11-12,798
2015-11-13,798
2015-11-14,799
2015-11-15,803
2015-11-16,794
2015-11-17,790
2015-11-18,784
2015-11-19,779
2015-11-20,780
2015-11-21,780
2015-11-22,789
2015-11-23,789
2015-11-24,820
2015-11-25,845
2015-11-26,845
2015-11-27,857
2015-11-28,860
2015-11-29,858
2015-11-30,851
2015-12-01,845
2015-12-02,847
2015-12-03,823
2015-12-04,823
2015-12-05,812
2015-12-06,804
2015-12-07,789
2015-12-08,790
2015-12-09,805
2015-12-10,831
2015-12-11,804
2015-12-12,788
2015-12-13,787
2015-12-14,787
2015-12-15,771
2015-12-16,763
2015-12-17,763
2015-12-18,757
2015-12-19,758
2015-12-20,745
2015-12-21,741
2015-12-22,733
2015-12-23,727
2015-12-24,725
2015-12-25,745
2015-12-26,756
2015-12-27,754
2015-12-28,756
2015-12-29,753
2015-12-30,756
2015-12-31,749
2016-01-01,749
2016-01-02,750
2016-01-03,746
2016-01-04,731
2016-01-05,734
2016-01-06,732
2016-01-07,730
2016-01-08,729
2016-01-09,747
2016-01-10,765
2016-01-11,768
2016-01-12,757
2016-01-13,776
2016-01-14,789
2016-01-15,781
2016-01-16,787
2016-01-17,797
2016-01-18,802
2016-01-19,801
2016-01-20,786
2016-01-21,789
2016-01-22,784
2016-01-23,776
2016-01-24,785
2016-01-25,800
2016-01-26,790
2016-01-27,778
2016-01-28,778
2016-01-29,773
2016-01-30,773
2016-01-31,766
2016-02-01,756
2016-02-02,756
2016-02-03,753
2016-02-04,761
2016-02-05,762
2016-02-06,754
2016-02-07,749
2016-02-08,743
2016-02-09,737
2016-02-10,733
2016-02-11,733
2016-02-12,736
2016-02-13,734
2016-02-14,734
2016-02-15,741
2016-02-16,766
2016-02-17,780
2016-02-18,780
2016-02-19,786
2016-02-20,784
2016-02-21,778
2016-02-22,778
2016-02-23,762
2016-02-24,768
2016-02-25,773
2016-02-26,773
2016-02-27,783
2016-02-28,787
2016-02-29,766
2016-03-01,759
2016-03-02,766
2016-03-03,782
2016-03-04,785
2016-03-05,784
2016-03-06,775
2016-03-07,741
2016-03-08,730
2016-03-09,727
2016-03-10,728
2016-03-11,728
2016-03-12,739
2016-03-13,732
2016-03-14,711
2016-03-15,711
2016-03-16,704
2016-03-17,700
2016-03-18,695
2016-03-19,693
2016-03-20,693
2016-03-21,703
2016-03-22,710
2016-03-23,711
2016-03-24,713
2016-03-25,717
2016-03-26,713
2016-03-27,708
2016-03-28,687
2016-03-29,688
2016-03-30,688
2016-03-31,679
2016-04-01,691
2016-04-02,695
2016-04-03,692
2016-04-04,675
2016-04-05,650
2016-04-06,640
2016-04-07,637
2016-04-08,636
2016-04-09,630
2016-04-10,632
2016-04-11,632
2016-04-12,632
2016-04-13,633
2016-04-14,648
2016-04-15,663
2016-04-16,672
2016-04-17,690
2016-04-18,702
2016-04-19,690
2016-04-20,687
2016-04-21,660
2016-04-22,660
2016-04-23,641
2016-04-24,651
2016-04-25,639
2016-04-26,661
2016-04-27,668
2016-04-28,676
2016-04-29,683
2016-04-30,677
2016-05-01,679
2016-05-02,684
2016-05-03,684
2016-05-04,687
2016-05-05,675
2016-05-06,675
2016-05-07,653
2016-05-08,647
2016-05-09,656
2016-05-10,668
2016-05-11,687
2016-05-12,705
2016-05-13,684
2016-05-14,657
2016-05-15,628
2016-05-16,609
2016-05-17,590
2016-05-18,591
2016-05-19,573
2016-05-22,551
2016-05-23,557
2016-05-24,566
2016-05-25,578
2016-05-26,582
2016-05-27,583
2016-05-28,583
2016-05-29,586
2016-05-30,586
2016-05-31,599
2016-06-01,616
2016-06-02,646
2016-06-03,652
2016-06-04,656
2016-06-05,681
2016-06-06,703
2016-06-07,703
2016-06-08,720
2016-06-09,725
2016-06-10,724
2016-06-11,716
2016-06-12,729
2016-06-13,731
2016-06-14,747
2016-06-15,758
2016-06-16,778
2016-06-17,785
2016-06-18,809
2016-06-19,824
2016-06-20,817
2016-06-21,803
2016-06-22,797
2016-06-23,764
2016-06-24,736
2016-06-25,726
2016-06-26,707
2016-06-27,688
2016-06-28,678
2016-06-29,666
2016-06-30,655
2016-07-01,647
2016-07-02,638
2016-07-03,649
2016-07-04,645
2016-07-05,637
2016-07-06,640
2016-07-07,636
2016-07-08,639
2016-07-09,631
2016-07-10,621
2016-07-11,618
2016-07-12,607
2016-07-13,590
2016-07-14,581
2016-07-15,567
2016-07-16,550
2016-07-17,533
2016-07-18,517
2016-07-23,463
2016-07-24,453
2016-07-25,443
2016-07-26,437
2016-07-27,432
2016-07-28,427
2016-07-29,419
2016-07-30,406
2016-07-31,406
2016-08-01,400
2016-08-02,396
2016-08-03,389
2016-08-04,384
2016-08-05,380
2016-08-06,378
2016-08-07,378
2016-08-08,379
2016-08-09,389
2016-08-10,407
2016-08-11,408
2016-08-12,413
2016-08-13,419
2016-08-14,438
2016-08-15,458
2016-08-16,481
2016-08-17,506
2016-08-18,526
2016-08-19,549
2016-08-20,576
2016-08-21,602
2016-08-22,612
2016-08-23,608
2016-08-24,580
2016-08-25,551
2016-08-26,551
2016-08-28,526
2016-08-31,549
2016-09-01,550
2016-09-02,550
2016-09-03,550
2016-09-04,554
