date_obj,Twisted%20relichunter%20(t2)%20armour%20set price
2020-01-20,400000
2020-01-21,400000
2020-01-22,486659
2020-01-23,509659
2020-01-24,509659
2020-01-25,532959
2020-01-26,557935
2020-01-27,557935
2020-01-28,584362
2020-01-29,611421
2020-01-30,611421
2020-01-31,639930
2020-02-01,639930
2020-02-02,670599
2020-02-03,670599
2020-02-04,670599
2020-02-05,701782
2020-02-06,701782
2020-02-07,733440
2020-02-08,733440
2020-02-09,733440
2020-02-10,766829
2020-02-11,766829
2020-02-12,766829
2020-02-13,801981
2020-02-14,801981
2020-02-15,801981
2020-02-16,838897
2020-02-17,838897
2020-02-18,877483
2020-02-19,877483
2020-02-20,877483
2020-02-21,919237
2020-02-22,919237
2020-02-23,959934
2020-02-24,959934
2020-02-25,1004172
2020-02-26,1004172
2020-02-27,1004172
2020-02-28,1052404
2020-02-29,1052404
2020-03-01,1052404
2020-03-02,1099405
2020-03-03,1099405
2020-03-04,1099405
2020-03-05,1149986
2020-03-06,1149986
2020-03-07,1149986
2020-03-08,1203994
2020-03-09,1203994
2020-03-10,1203994
2020-03-11,1203994
2020-03-12,1260932
2020-03-13,1260932
2020-03-14,1260932
2020-03-15,1260932
2020-03-16,1320760
2020-03-17,1320760
2020-03-18,1320760
2020-03-19,1320760
2020-03-20,1382229
2020-03-21,1382229
2020-03-22,1382229
2020-03-23,1382229
2020-03-24,1448126
2020-03-25,1448126
2020-03-26,1448126
2020-03-27,1513640
2020-03-28,1513640
2020-03-29,1513640
2020-03-30,1582715
2020-03-31,1582715
2020-04-01,1582715
2020-04-02,1582715
2020-04-03,1653205
2020-04-04,1653205
2020-04-05,1653205
2020-04-06,1724672
2020-04-07,1724672
2020-04-08,1724672
2020-04-09,1804750
2020-04-10,1804750
2020-04-11,1804750
2020-04-12,1804750
2020-04-13,1804750
2020-04-14,1886608
2020-04-15,1886608
2020-04-16,1886608
2020-04-17,1886608
2020-04-18,1970535
2020-04-19,1970535
2020-04-20,1970535
2020-04-21,2059333
2020-04-22,2059333
2020-04-23,2059333
2020-04-24,2059333
2020-04-25,2150804
2020-04-26,2150804
2020-04-27,2150804
2020-04-28,2248307
2020-04-29,2248307
2020-04-30,2248307
2020-05-01,2248307
2020-05-02,2352019
2020-05-03,2352019
2020-05-04,2352019
2020-05-05,2352019
2020-05-06,2460574
2020-05-07,2460574
2020-05-08,2460574
2020-05-09,2460574
2020-05-10,2578308
2020-05-11,2578308
2020-05-12,2578308
2020-05-13,2578308
