date_obj,Avantoe%20seed price
2015-03-05,1320
2015-03-06,1254
2015-03-07,1191
2015-03-08,1131
2015-03-09,1074
2015-03-10,1020
2015-03-11,969
2015-03-12,922
2015-03-13,877
2015-03-14,833
2015-03-15,791
2015-03-16,751
2015-03-17,713
2015-03-18,679
2015-03-19,647
2015-03-20,614
2015-03-21,586
2015-03-22,562
2015-03-23,536
2015-03-24,520
2015-03-25,503
2015-03-26,483
2015-03-27,483
2015-03-28,482
2015-03-29,488
2015-03-30,494
2015-03-31,501
2015-04-01,508
2015-04-02,525
2015-04-03,530
2015-04-04,527
2015-04-05,533
2015-04-06,525
2015-04-07,524
2015-04-08,528
2015-04-09,539
2015-04-10,563
2015-04-11,592
2015-04-12,617
2015-04-13,641
2015-04-14,664
2015-04-15,698
2015-04-16,731
2015-04-17,764
2015-04-18,778
2015-04-19,787
2015-04-20,787
2015-04-21,788
2015-04-22,814
2015-04-23,835
2015-04-24,870
2015-04-25,866
2015-04-26,826
2015-04-27,810
2015-04-28,829
2015-04-29,829
2015-04-30,857
2015-05-01,874
2015-05-02,883
2015-05-03,883
2015-05-04,867
2015-05-05,875
2015-05-06,879
2015-05-07,869
2015-05-08,871
2015-05-09,859
2015-05-10,852
2015-05-11,852
2015-05-12,847
2015-05-13,848
2015-05-14,840
2015-05-15,846
2015-05-16,829
2015-05-17,817
2015-05-18,794
2015-05-19,799
2015-05-20,799
2015-05-21,800
2015-05-22,806
2015-05-23,806
2015-05-24,810
2015-05-25,820
2015-05-26,832
2015-05-27,848
2015-05-28,880
2015-05-29,908
2015-05-30,918
2015-05-31,933
2015-06-01,945
2015-06-02,967
2015-06-03,953
2015-06-04,953
2015-06-05,990
2015-06-06,980
2015-06-07,947
2015-06-08,980
2015-06-09,1002
2015-06-10,1047
2015-06-11,1095
2015-06-12,1127
2015-06-13,1120
2015-06-14,1087
2015-06-15,1034
2015-06-16,1012
2015-06-17,961
2015-06-18,924
2015-06-19,910
2015-06-20,883
2015-06-21,864
2015-06-22,871
2015-06-23,884
2015-06-24,909
2015-06-25,904
2015-06-26,886
2015-06-27,849
2015-06-28,818
2015-06-29,792
2015-06-30,788
2015-07-01,810
2015-07-02,810
2015-07-03,799
2015-07-04,789
2015-07-05,774
2015-07-06,753
2015-07-07,716
2015-07-08,682
2015-07-09,659
2015-07-10,629
2015-07-11,598
2015-07-12,573
2015-07-13,546
2015-07-14,521
2015-07-15,495
2015-07-16,474
2015-07-17,453
2015-07-18,431
2015-07-19,414
2015-07-20,396
2015-07-21,381
2015-07-22,369
2015-07-23,369
2015-07-24,361
2015-07-25,351
2015-07-26,345
2015-07-27,335
2015-07-28,322
2015-07-29,312
2015-07-30,312
2015-07-31,307
2015-08-01,302
2015-08-02,298
2015-08-03,305
2015-08-04,303
2015-08-05,311
2015-08-06,325
2015-08-07,330
2015-08-08,330
2015-08-09,335
2015-08-10,346
2015-08-11,356
2015-08-12,356
2015-08-13,356
2015-08-14,362
2015-08-15,354
2015-08-16,354
2015-08-17,354
2015-08-18,346
2015-08-19,342
2015-08-20,346
2015-08-21,348
2015-08-22,344
2015-08-23,351
2015-08-24,342
2015-08-25,342
2015-08-26,348
2015-08-27,332
2015-08-28,323
2015-08-29,314
2015-08-30,314
2015-08-31,314
2015-09-02,303
2015-09-07,276
2015-09-08,272
2015-09-10,271
2015-09-14,292
2015-09-16,299
2015-09-22,334
2015-09-23,346
2015-09-24,346
2015-09-25,352
2015-09-27,367
2015-09-28,361
2015-09-29,366
2015-09-30,362
2015-10-05,377
2015-10-06,391
2015-10-07,399
2015-10-08,395
2015-10-09,394
2015-10-10,394
2015-10-11,402
2015-10-12,419
2015-10-13,419
2015-10-14,429
2015-10-15,445
2015-10-16,442
2015-10-17,442
2015-10-18,454
2015-10-19,477
2015-10-20,498
2015-10-22,521
2015-10-23,535
2015-10-24,559
2015-10-25,563
2015-10-26,577
2015-10-27,576
2015-10-28,577
2015-10-29,571
2015-10-30,564
2015-10-31,575
2015-11-01,547
2015-11-02,531
2015-11-03,520
2015-11-04,512
2015-11-05,509
2015-11-06,510
2015-11-07,498
2015-11-08,492
2015-11-09,514
2015-11-10,536
2015-11-11,552
2015-11-12,568
2015-11-13,587
2015-11-14,608
2015-11-15,632
2015-11-16,630
2015-11-17,632
2015-11-18,633
2015-11-19,656
2015-11-20,687
2015-11-21,687
2015-11-22,706
2015-11-23,706
2015-11-24,727
2015-11-25,748
2015-11-26,748
2015-11-27,759
2015-11-28,742
2015-11-29,753
2015-11-30,788
2015-12-01,820
2015-12-02,845
2015-12-03,875
2015-12-04,901
2015-12-05,894
2015-12-06,852
2015-12-07,877
2015-12-08,917
2015-12-09,958
2015-12-10,1001
2015-12-11,1047
2015-12-12,1067
2015-12-13,1053
2015-12-14,1067
2015-12-15,1066
2015-12-16,1046
2015-12-17,1048
2015-12-18,1069
2015-12-19,1118
2015-12-20,1095
2015-12-21,1059
2015-12-22,1018
2015-12-23,1009
2015-12-24,972
2015-12-25,926
2015-12-26,893
2015-12-27,852
2015-12-28,819
2015-12-29,786
2015-12-30,764
2015-12-31,750
2016-01-01,728
2016-01-02,716
2016-01-03,702
2016-01-04,696
2016-01-05,709
2016-01-06,728
2016-01-07,724
2016-01-08,696
2016-01-09,689
2016-01-10,691
2016-01-11,700
2016-01-12,711
2016-01-13,747
2016-01-14,761
2016-01-15,742
2016-01-16,709
2016-01-17,687
2016-01-18,685
2016-01-19,678
2016-01-20,691
2016-01-21,682
2016-01-22,660
2016-01-23,635
2016-01-24,615
2016-01-25,594
2016-01-26,576
2016-01-27,580
2016-01-28,580
2016-01-29,583
2016-01-30,600
2016-01-31,614
2016-02-01,633
2016-02-02,640
2016-02-03,637
2016-02-04,639
2016-02-05,652
2016-02-06,655
2016-02-07,662
2016-02-08,658
2016-02-09,662
2016-02-10,664
2016-02-11,674
2016-02-12,664
2016-02-13,678
2016-02-14,708
2016-02-15,739
2016-02-16,739
2016-02-17,736
2016-02-18,740
2016-02-19,726
2016-02-20,727
2016-02-21,728
2016-02-22,706
2016-02-23,711
2016-02-24,723
2016-02-25,732
2016-02-26,744
2016-02-27,772
2016-02-28,775
2016-02-29,800
2016-03-01,833
2016-03-02,875
2016-03-03,917
2016-03-04,955
2016-03-05,976
2016-03-06,965
2016-03-07,966
2016-03-08,1001
2016-03-09,995
2016-03-10,977
2016-03-11,936
2016-03-12,917
2016-03-13,876
2016-03-14,857
2016-03-15,848
2016-03-16,856
2016-03-17,830
2016-03-18,804
2016-03-19,773
2016-03-20,792
2016-03-21,787
2016-03-22,803
2016-03-23,812
2016-03-24,836
2016-03-25,843
2016-03-26,839
2016-03-27,811
2016-03-28,776
2016-03-29,755
2016-03-30,736
2016-03-31,746
2016-04-01,725
2016-04-02,722
2016-04-03,713
2016-04-04,702
2016-04-05,708
2016-04-06,720
2016-04-07,708
2016-04-08,675
2016-04-09,660
2016-04-10,652
2016-04-11,652
2016-04-12,653
2016-04-13,665
2016-04-14,672
2016-04-15,674
2016-04-16,663
2016-04-17,674
2016-04-18,682
2016-04-19,697
2016-04-20,700
2016-04-21,722
2016-04-22,691
2016-04-23,686
2016-04-24,685
2016-04-25,683
2016-04-26,673
2016-04-27,665
2016-04-28,669
2016-04-29,657
2016-04-30,647
2016-05-01,622
2016-05-02,613
2016-05-03,611
2016-05-04,636
2016-05-05,645
2016-05-06,626
2016-05-07,626
2016-05-08,626
2016-05-09,614
2016-05-10,619
2016-05-11,621
2016-05-12,607
2016-05-13,615
2016-05-14,588
2016-05-15,588
2016-05-16,598
2016-05-17,606
2016-05-18,625
2016-05-19,655
2016-05-22,741
2016-05-23,772
2016-05-24,776
2016-05-25,812
2016-05-26,851
2016-05-27,894
2016-05-28,936
