date_obj,Toy%20soldier price
2015-03-26,5000
2015-03-27,5000
2015-03-28,5000
2015-03-29,5000
2015-03-30,5000
2015-03-31,5000
2015-04-01,5000
2015-04-02,5000
2015-04-03,5000
2015-04-04,5000
2015-04-05,5000
2015-04-06,5000
2015-04-07,5000
2015-04-08,5000
2015-04-09,5000
2015-04-10,5000
2015-04-11,5000
2015-04-12,5000
2015-04-13,5000
2015-04-14,5000
2015-04-15,5000
2015-04-16,5000
2015-04-17,5000
2015-04-18,5000
2015-04-19,5000
2015-04-20,5000
2015-04-21,5000
2015-04-22,5000
2015-04-23,5000
2015-04-24,5000
2015-04-25,5000
2015-04-26,5000
2015-04-27,5000
2015-04-28,5000
2015-04-29,5000
2015-04-30,5000
2015-05-01,5000
2015-05-02,5000
2015-05-03,4950
2015-05-04,4950
2015-05-05,4950
2015-05-06,4950
2015-05-07,4950
2015-05-08,4950
2015-05-09,4950
2015-05-10,4950
2015-05-11,4950
2015-05-12,4950
2015-05-13,4950
2015-05-14,4950
2015-05-15,4950
2015-05-16,4950
2015-05-17,4950
2015-05-18,4950
2015-05-19,4950
2015-05-20,4950
2015-05-21,4950
2015-05-22,4950
2015-05-23,4950
2015-05-24,4950
2015-05-25,4950
2015-05-26,4950
2015-05-27,4950
2015-05-28,4950
2015-05-29,4950
2015-05-30,4950
2015-05-31,4950
2015-06-01,4950
2015-06-02,4950
2015-06-03,4950
2015-06-04,4950
2015-06-05,4950
2015-06-06,4950
2015-06-07,4950
2015-06-08,4950
2015-06-09,4950
2015-06-10,4950
2015-06-11,4950
2015-06-12,4950
2015-06-13,4950
2015-06-14,4950
2015-06-15,4950
2015-06-16,4950
2015-06-17,4950
2015-06-18,4950
2015-06-19,4950
2015-06-20,4950
2015-06-21,4950
2015-06-22,4950
2015-06-23,4950
2015-06-24,4950
2015-06-25,4950
2015-06-26,4950
2015-06-27,4950
2015-06-28,4950
2015-06-29,4950
2015-06-30,4976
2015-07-01,4976
2015-07-02,4976
2015-07-03,4976
2015-07-04,4976
2015-07-05,4976
2015-07-06,4976
2015-07-07,4976
2015-07-08,4976
2015-07-09,4976
2015-07-10,4976
2015-07-11,4976
2015-07-12,4976
2015-07-13,4976
2015-07-14,4976
2015-07-15,4976
2015-07-16,4976
2015-07-17,4976
2015-07-18,4976
2015-07-19,4976
2015-07-20,4976
2015-07-21,4976
2015-07-22,4976
2015-07-23,4976
2015-07-24,4976
2015-07-25,4976
2015-07-26,4976
2015-07-27,4976
2015-07-28,4976
2015-07-29,4976
2015-07-30,4976
2015-07-31,4976
2015-08-01,4976
2015-08-02,4976
2015-08-03,4976
2015-08-04,4976
2015-08-05,4855
2015-08-06,4855
2015-08-07,4855
2015-08-08,4855
2015-08-09,4855
2015-08-10,4855
2015-08-11,4855
2015-08-12,4855
2015-08-13,4855
2015-08-14,4855
2015-08-15,4855
2015-08-16,4855
2015-08-17,4855
2015-08-18,4855
2015-08-19,4855
2015-08-20,4855
2015-08-21,4855
2015-08-22,4855
2015-08-23,4855
2015-08-24,4855
2015-08-25,4855
2015-08-26,4855
2015-08-27,4855
2015-08-28,4855
2015-08-29,4855
2015-08-30,4855
2015-08-31,4855
2015-09-01,4855
2015-09-02,4855
2015-09-03,4855
2015-09-04,4855
2015-09-05,4855
2015-09-06,4855
2015-09-07,4855
2015-09-08,4639
2015-09-09,4639
2015-09-10,4639
2015-09-11,4639
2015-09-12,4639
2015-09-13,4639
2015-09-14,4639
2015-09-15,4639
2015-09-16,4639
2015-09-17,4639
2015-09-18,4639
2015-09-19,4639
2015-09-20,4639
2015-09-21,4639
2015-09-22,4639
2015-09-23,4639
2015-09-24,4639
2015-09-25,4639
2015-09-27,4639
2015-09-28,4639
2015-09-29,4639
2015-09-30,4639
2015-10-05,4639
2015-10-06,4639
2015-10-07,4639
2015-10-08,4639
2015-10-09,4639
2015-10-10,4639
2015-10-11,4639
2015-10-12,4639
2015-10-13,4639
2015-10-14,4639
2015-10-15,4639
2015-10-16,4639
2015-10-17,4639
2015-10-18,4639
2015-10-19,4511
2015-10-20,4511
2015-10-22,4511
2015-10-23,4511
2015-10-24,4511
2015-10-25,4511
2015-10-26,4511
2015-10-27,4511
2015-10-29,4511
2015-10-30,4511
2015-10-31,4511
2015-11-01,4511
2015-11-02,4511
2015-11-03,4511
2015-11-04,4511
2015-11-05,4511
2015-11-06,4511
2015-11-07,4511
2015-11-08,4511
2015-11-09,4511
2015-11-10,4511
2015-11-11,4511
2015-11-12,4511
2015-11-13,4511
2015-11-14,4511
2015-11-15,4511
2015-11-16,4511
2015-11-17,4511
2015-11-18,4511
2015-11-19,4511
2015-11-20,4511
2015-11-21,4511
2015-11-22,4511
2015-11-23,4511
2015-11-24,4511
2015-11-25,4511
2015-11-26,4511
2015-11-27,4511
2015-11-28,4511
2015-11-29,4511
2015-11-30,4511
2015-12-01,4511
2015-12-02,4511
2015-12-03,4511
2015-12-04,4511
2015-12-05,4511
