date_obj,Justiciar%20legguards price
2018-06-06,175000000
2018-06-07,175000000
2018-06-08,175000000
2018-06-09,175000000
2018-06-10,181158334
2018-06-11,181158334
2018-06-12,189835065
2018-06-13,198857191
2018-06-14,208080014
2018-06-15,208080014
2018-06-16,209084291
2018-06-17,198630076
2018-06-18,188698572
2018-06-19,179532419
2018-06-20,179532419
2018-06-21,170555798
2018-06-22,162028008
2018-06-23,162028008
2018-06-24,153926607
2018-06-25,146230276
2018-06-26,138918762
2018-06-27,131972823
2018-06-28,125374181
2018-06-29,119105471
2018-06-30,113150197
2018-07-01,107492687
2018-07-02,102125788
2018-07-03,97019498
2018-07-04,92168523
2018-07-05,87708249
2018-07-06,83322836
2018-07-07,79172723
2018-07-08,77260269
2018-07-09,79348983
2018-07-10,82444763
2018-07-11,84138838
2018-07-12,85617649
2018-07-13,83084967
2018-07-14,79596035
2018-07-15,79596035
2018-07-16,75966823
2018-07-17,72168481
2018-07-18,68560056
2018-07-19,65132053
2018-07-20,61951704
2018-07-21,59077949
2018-07-22,58211852
2018-07-23,57433011
2018-07-24,54925791
2018-07-25,52179501
2018-07-26,49570525
2018-07-27,47908467
2018-07-28,46528686
2018-07-29,47676033
2018-07-30,49901157
2018-07-31,50779490
2018-08-01,52000824
2018-08-02,50920985
2018-08-03,48374935
2018-08-04,46099689
2018-08-05,45646117
2018-08-06,45398671
2018-08-07,44782440
2018-08-08,42950147
2018-08-09,42590252
2018-08-10,40789364
2018-08-11,39670399
2018-08-12,39386050
2018-08-14,40179077
2018-08-16,40288887
2018-08-17,42283530
2018-08-18,42985564
2018-08-19,42186920
2018-08-20,43564749
2018-08-21,45678545
2018-08-22,47890179
2018-08-23,48319721
2018-08-24,46679747
2018-08-25,45021039
2018-08-26,42770856
2018-08-27,40745658
2018-08-28,40166562
2018-08-29,39130131
2018-08-30,38156377
2018-08-31,39411771
2018-09-01,39132809
2018-09-02,38352518
2018-09-03,37708226
2018-09-04,36142170
2018-09-05,34335061
2018-09-06,32752486
2018-09-07,31191363
2018-09-08,29631794
2018-09-09,28150204
2018-09-10,26742693
2018-09-11,25662346
2018-09-12,26697158
2018-09-13,27702526
2018-09-14,28975157
2018-09-15,30423915
2018-09-16,31075582
2018-09-17,30512047
2018-09-18,29090038
2018-09-19,28059809
2018-09-20,27331464
2018-09-21,27653127
2018-09-22,27685087
2018-09-23,27289837
2018-09-24,27692429
2018-09-25,27739754
2018-09-26,27263236
2018-09-27,26868289
2018-09-28,26892256
2018-09-29,27144909
2018-09-30,26729588
2018-10-02,26937031
2018-10-03,26769262
2018-10-04,26243299
2018-10-05,26014575
2018-10-06,25732330
2018-10-07,25998581
2018-10-08,25955524
2018-10-09,25376944
2018-10-10,25182542
2018-10-11,25236055
2018-10-12,25142876
2018-10-13,25449464
2018-10-14,25441302
2018-10-15,25419230
2018-10-16,26317343
2018-10-17,27377766
2018-10-18,28207791
2018-10-19,27574651
2018-10-20,26676780
2018-10-21,26424454
2018-10-22,26154675
2018-10-23,26161158
2018-10-24,25959345
2018-10-25,26121778
2018-10-26,25958062
2018-10-27,25908059
2018-10-28,25858713
2018-10-29,25826021
2018-10-30,25704982
2018-10-31,25402719
2018-11-01,24619606
2018-11-03,24605358
2018-11-04,23972518
2018-11-05,23127220
2018-11-06,22099395
2018-11-07,21365925
2018-11-08,20716222
2018-11-09,20632839
2018-11-10,21309483
2018-11-11,22374958
2018-11-12,23477782
2018-11-13,24651672
2018-11-14,25884256
2018-11-15,26784176
2018-11-16,26817174
2018-11-17,27090078
2018-11-18,27262182
2018-11-19,26987981
2018-11-20,26167941
2018-11-21,27327316
2018-11-22,28634708
2018-11-23,30060927
2018-11-24,31382748
2018-11-25,30960342
2018-11-26,30799744
2018-11-27,30441867
2018-11-28,29720137
2018-11-29,28758057
2018-12-01,29165029
2018-12-02,29375036
2018-12-03,29413200
2018-12-04,29841040
2018-12-05,30705529
2018-12-07,32601534
2018-12-09,35265057
2018-12-10,35419878
2018-12-11,36088161
2018-12-12,36176019
2018-12-13,35926272
2018-12-14,35508314
2018-12-15,36173733
2018-12-16,36926207
2018-12-17,36555322
2018-12-18,36753426
2018-12-19,38223636
2018-12-20,40132720
2018-12-21,42011577
2018-12-22,41322704
2018-12-23,39736994
2018-12-24,37752203
2018-12-25,35871572
2018-12-26,34432171
2018-12-27,34194941
2018-12-28,35347574
2018-12-29,36826068
2018-12-30,38105844
2018-12-31,37278556
2019-01-01,36214970
2019-01-02,34960561
2019-01-03,35735318
2019-01-04,37043615
2019-01-05,37795137
2019-01-06,39463374
2019-01-08,38199533
2019-01-10,36412687
2019-01-11,34616182
2019-01-12,34665864
2019-01-13,35237894
2019-01-14,35324632
2019-01-15,35787565
2019-01-16,35434347
2019-01-17,35681920
2019-01-18,36890237
2019-01-19,37005933
2019-01-20,36864437
2019-01-21,36901884
2019-01-22,36478877
2019-01-23,36276494
2019-01-24,36735470
2019-01-25,37649077
2019-01-26,38483808
2019-01-27,37580918
2019-01-28,36969242
2019-01-29,35689989
2019-01-30,35681212
2019-01-31,35743583
2019-02-01,35381717
2019-02-02,35261700
2019-02-03,34802272
2019-02-04,33755834
2019-02-05,32566713
2019-02-06,31442026
2019-02-07,31341711
2019-02-08,31861440
2019-02-09,32734916
2019-02-10,33275838
2019-02-11,33183627
2019-02-12,32831058
2019-02-13,31672546
2019-02-14,31560544
2019-02-15,30828829
2019-02-16,31270877
2019-02-17,32017648
2019-02-18,31560798
2019-02-19,31349518
2019-02-20,31435812
2019-02-21,31100934
2019-02-22,30800856
2019-02-23,30611312
2019-02-24,30469515
2019-02-25,30508593
2019-02-26,30734946
2019-02-27,31598022
2019-02-28,31558696
2019-03-01,30875630
2019-03-02,30636314
2019-03-03,30109866
2019-03-04,29525345
2019-03-05,29202374
2019-03-06,29179556
2019-03-07,29273976
2019-03-08,29409978
2019-03-09,28882041
2019-03-10,28009749
2019-03-11,27220522
2019-03-12,26130663
2019-03-13,24883838
2019-03-14,23820083
2019-03-15,23008632
2019-03-16,23923462
2019-03-17,24838044
2019-03-18,24773941
2019-03-19,25180500
2019-03-20,25033738
2019-03-21,24333498
2019-03-22,24328364
2019-03-23,24378883
2019-03-24,24592015
2019-03-25,24801827
2019-03-26,25307327
2019-03-27,25206489
2019-03-28,25132933
2019-03-29,25125441
2019-03-30,25353523
2019-03-31,25328047
2019-04-01,24908839
2019-04-02,24650156
2019-04-03,24305454
2019-04-04,23981057
2019-04-05,24029196
2019-04-06,23969059
2019-04-07,24038946
2019-04-08,24047726
2019-04-09,23971009
2019-04-10,23699861
2019-04-11,23205146
2019-04-12,22692875
2019-04-13,21809208
2019-04-14,21567146
2019-04-15,21000403
2019-04-16,20415314
2019-04-17,21389355
2019-04-18,22419148
2019-04-19,23522178
2019-04-20,24226572
2019-04-21,24298993
2019-04-22,24955317
2019-04-23,24896701
2019-04-24,24439729
2019-04-25,24188457
2019-04-26,24448597
2019-04-27,24416716
2019-04-28,24267378
2019-04-29,23906443
2019-04-30,23667694
2019-05-01,23627124
2019-05-02,23447134
2019-05-03,23345057
2019-05-04,23222115
2019-05-05,23044597
2019-05-06,23455166
2019-05-07,23679478
