date_obj,Black%20set%20(lg) price
2016-02-14,13578
2016-02-15,13797
2016-02-16,14082
2016-02-17,13649
2016-02-18,13483
2016-02-19,13639
2016-02-20,13821
2016-02-21,13795
2016-02-22,13795
2016-02-23,14178
2016-02-24,14672
2016-02-25,14612
2016-02-26,14612
2016-02-27,14409
2016-02-28,14250
2016-02-29,14024
2016-03-01,13834
2016-03-02,13841
2016-03-03,13779
2016-03-04,13684
2016-03-05,13861
2016-03-06,13358
2016-03-07,13171
2016-03-08,12675
2016-03-09,12123
2016-03-10,11701
2016-03-11,11760
2016-03-12,12062
2016-03-13,12324
2016-03-14,12636
2016-03-15,12982
2016-03-16,13029
2016-03-17,13304
2016-03-18,13316
2016-03-19,12930
2016-03-20,13097
2016-03-21,13299
2016-03-22,13411
2016-03-23,13253
2016-03-24,13026
2016-03-25,12776
2016-03-26,12770
2016-03-27,12644
2016-03-28,12486
2016-03-29,12382
2016-03-30,12382
2016-03-31,12211
2016-04-01,11968
2016-04-02,11696
2016-04-03,11546
2016-04-04,11446
2016-04-05,11391
2016-04-06,11298
2016-04-07,11185
2016-04-08,11038
2016-04-09,11000
2016-04-10,10896
2016-04-11,10896
2016-04-12,10717
2016-04-13,10597
2016-04-14,10431
2016-04-15,10188
2016-04-16,10377
2016-04-17,10295
2016-04-18,10274
2016-04-19,10458
2016-04-20,10572
2016-04-21,10678
2016-04-22,10678
2016-04-23,10769
2016-04-24,10762
2016-04-25,10682
2016-04-26,10818
2016-04-27,10616
2016-04-28,10700
2016-04-29,10535
2016-04-30,10625
2016-05-01,10524
2016-05-02,10582
2016-05-03,10433
2016-05-04,10407
2016-05-05,10290
2016-05-06,10290
2016-05-07,10336
2016-05-08,10648
2016-05-09,11004
2016-05-10,10885
2016-05-11,10833
2016-05-12,10743
2016-05-13,10752
2016-05-14,10756
2016-05-15,10586
2016-05-16,10549
2016-05-17,10366
2016-05-18,9959
2016-05-19,9954
2016-05-22,9718
2016-05-23,9940
2016-05-24,10340
2016-05-25,10705
2016-05-26,11151
2016-05-27,11204
2016-05-28,11204
2016-05-29,11023
2016-05-30,11023
2016-05-31,11353
2016-06-01,11144
2016-06-02,10949
2016-06-03,11156
2016-06-04,11427
2016-06-05,11851
2016-06-06,12077
2016-06-07,12462
2016-06-08,12803
2016-06-09,12731
2016-06-10,12691
2016-06-11,12514
2016-06-12,12321
2016-06-13,12223
2016-06-14,12084
2016-06-15,11602
2016-06-16,11595
2016-06-17,11754
2016-06-18,11474
2016-06-19,11433
2016-06-20,11424
2016-06-21,11438
2016-06-22,11248
2016-06-23,11381
2016-06-24,11053
2016-06-25,10846
2016-06-26,10550
2016-06-27,10119
2016-06-28,9795
2016-06-29,9839
2016-06-30,9880
2016-07-01,9805
2016-07-02,9812
2016-07-03,9490
2016-07-04,9202
2016-07-05,9346
2016-07-06,9454
2016-07-07,9462
2016-07-08,9514
2016-07-09,9228
2016-07-10,9075
2016-07-11,8740
2016-07-12,8443
2016-07-13,8029
2016-07-14,7933
2016-07-15,7930
2016-07-16,8009
