date_obj,Adamant%20platebody%20(g) price
2015-03-26,48528
2015-03-27,48528
2015-03-28,48528
2015-03-29,48528
2015-03-30,47250
2015-03-31,47250
2015-04-01,47250
2015-04-02,47250
2015-04-03,46000
2015-04-04,46000
2015-04-05,46000
2015-04-06,44789
2015-04-07,44789
2015-04-08,44789
2015-04-09,44789
2015-04-10,43283
2015-04-11,43283
2015-04-12,43283
2015-04-13,41609
2015-04-14,41609
2015-04-15,41609
2015-04-16,41609
2015-04-17,40106
2015-04-18,40106
2015-04-19,40106
2015-04-20,40106
2015-04-21,38363
2015-04-22,38363
2015-04-23,38363
2015-04-24,38363
2015-04-25,37085
2015-04-26,37085
2015-04-27,37085
2015-04-28,35918
2015-04-29,35918
2015-04-30,35918
2015-05-01,35918
2015-05-02,34612
2015-05-03,34612
2015-05-04,34612
2015-05-05,34612
2015-05-06,33107
2015-05-07,33107
2015-05-08,33107
2015-05-09,32049
2015-05-10,32049
2015-05-11,32049
2015-05-12,31199
2015-05-13,31199
2015-05-14,31199
2015-05-15,31199
2015-05-16,30688
2015-05-17,30688
2015-05-18,30688
2015-05-19,30519
2015-05-20,30519
2015-05-21,30519
2015-05-22,30519
2015-05-23,30519
2015-05-24,30570
2015-05-25,30570
2015-05-26,30570
2015-05-27,30570
2015-05-28,29820
2015-05-29,29820
2015-05-30,29003
2015-05-31,29003
2015-06-01,28326
2015-06-02,28326
2015-06-03,28326
2015-06-04,27897
2015-06-05,27897
2015-06-06,27984
2015-06-07,27984
2015-06-08,27984
2015-06-09,27551
2015-06-10,27551
2015-06-11,27551
2015-06-12,28102
2015-06-13,28102
2015-06-14,28244
2015-06-15,28244
2015-06-16,28244
2015-06-17,28478
2015-06-18,28478
2015-06-19,28478
2015-06-20,28793
2015-06-21,28793
2015-06-22,28793
2015-06-23,29078
2015-06-24,29078
2015-06-25,29321
2015-06-26,29321
2015-06-27,29321
2015-06-28,28974
2015-06-29,28974
2015-06-30,28974
2015-07-01,28645
2015-07-02,28645
2015-07-03,28645
2015-07-04,29516
2015-07-05,29516
2015-07-06,29516
2015-07-07,29921
2015-07-08,29921
2015-07-09,29921
2015-07-10,30691
2015-07-11,30691
2015-07-12,30691
2015-07-13,31223
2015-07-14,31223
2015-07-15,31223
2015-07-16,31634
2015-07-17,31634
2015-07-18,31634
2015-07-19,32091
2015-07-20,32091
2015-07-21,32091
2015-07-22,32156
2015-07-23,32156
2015-07-24,32156
2015-07-25,32903
2015-07-26,32903
2015-07-27,32903
2015-07-28,33860
2015-07-29,33860
2015-07-30,34908
2015-07-31,34908
2015-08-01,34908
2015-08-02,35588
2015-08-03,35588
2015-08-04,35588
2015-08-05,36379
2015-08-06,36379
2015-08-07,36379
2015-08-08,36867
2015-08-09,36867
2015-08-10,36581
2015-08-11,36581
2015-08-12,36581
2015-08-13,36752
2015-08-14,36752
2015-08-15,36414
2015-08-16,36414
2015-08-17,36414
2015-08-18,37208
2015-08-19,37208
2015-08-20,37208
2015-08-21,37428
2015-08-22,37428
2015-08-23,37428
2015-08-24,37293
2015-08-25,37293
2015-08-26,37293
2015-08-27,36435
2015-08-28,36435
2015-08-29,36435
2015-08-30,36556
2015-08-31,36556
2015-09-01,37440
2015-09-02,37440
2015-09-03,37440
2015-09-04,38053
2015-09-05,38053
2015-09-06,38053
2015-09-07,39163
2015-09-08,39163
2015-09-09,39163
2015-09-10,39789
2015-09-11,39789
2015-09-12,39789
2015-09-13,40158
2015-09-14,40158
2015-09-15,40158
2015-09-16,40046
2015-09-17,40046
2015-09-18,40046
2015-09-19,40282
2015-09-20,40282
2015-09-21,40282
2015-09-22,41269
2015-09-23,41269
2015-09-24,41269
2015-09-25,41269
2015-09-27,42462
2015-09-28,42462
2015-09-29,42462
2015-09-30,43272
2015-10-05,43216
2015-10-06,43216
2015-10-07,44689
2015-10-08,44689
2015-10-09,44689
2015-10-10,44920
2015-10-11,44920
2015-10-12,44920
2015-10-13,44464
2015-10-14,44464
2015-10-15,44464
2015-10-16,45236
2015-10-17,45236
2015-10-18,45236
2015-10-19,45885
2015-10-20,45885
2015-10-22,45885
2015-10-23,46766
2015-10-24,46766
2015-10-25,46766
2015-10-26,47581
2015-10-27,47581
2015-10-28,47581
2015-10-29,47581
2015-10-30,49336
2015-10-31,49336
