date_obj,Dragonstone%20amulet price
2015-03-26,40910
2015-03-27,40910
2015-03-28,40910
2015-03-29,38874
2015-03-30,38874
2015-03-31,38874
2015-04-01,38874
2015-04-02,38874
2015-04-03,38874
2015-04-04,38874
2015-04-05,38874
2015-04-06,38874
2015-04-07,38874
2015-04-08,38874
2015-04-09,38874
2015-04-10,38874
2015-04-11,38874
2015-04-12,36986
2015-04-13,36986
2015-04-14,36986
2015-04-15,36986
2015-04-16,36986
2015-04-17,36986
2015-04-18,36986
2015-04-19,36986
2015-04-20,36986
2015-04-21,36986
2015-04-22,36986
2015-04-23,36986
2015-04-24,36986
2015-04-25,36986
2015-04-26,36986
2015-04-27,35140
2015-04-28,35140
2015-04-29,35140
2015-04-30,35140
2015-05-01,35140
2015-05-02,35140
2015-05-03,33390
2015-05-04,33390
2015-05-05,33390
2015-05-06,33390
2015-05-07,33390
2015-05-08,31723
2015-05-09,31723
2015-05-10,31723
2015-05-11,31723
2015-05-12,31723
2015-05-13,31723
2015-05-14,31723
2015-05-15,30139
2015-05-16,30139
2015-05-17,30139
2015-05-18,30139
2015-05-19,30139
2015-05-20,30139
2015-05-21,30139
2015-05-22,30139
2015-05-23,28757
2015-05-24,28757
2015-05-25,28757
2015-05-26,28757
2015-05-27,28757
2015-05-28,28757
2015-05-29,27376
2015-05-30,27376
2015-05-31,27376
2015-06-01,27376
2015-06-02,27376
2015-06-03,27376
2015-06-04,27376
2015-06-05,27376
2015-06-06,27376
2015-06-07,26057
2015-06-08,26057
2015-06-09,26057
2015-06-10,26057
2015-06-11,26057
2015-06-12,26057
2015-06-13,26057
2015-06-14,26057
2015-06-15,26057
2015-06-16,26057
2015-06-17,26057
2015-06-18,26057
2015-06-19,24799
2015-06-20,24799
2015-06-21,24799
2015-06-22,24799
2015-06-23,24799
2015-06-24,24799
2015-06-25,24799
2015-06-26,24799
2015-06-27,24799
2015-06-28,24799
2015-06-29,24799
2015-06-30,24799
2015-07-01,23663
2015-07-02,23663
2015-07-03,23663
2015-07-04,23663
2015-07-05,23663
2015-07-06,23663
2015-07-07,23663
2015-07-08,23663
2015-07-09,23663
2015-07-10,23663
2015-07-11,23663
2015-07-12,22549
2015-07-13,22549
2015-07-14,22549
2015-07-15,22549
2015-07-16,22549
2015-07-17,22549
2015-07-18,22549
2015-07-19,22549
2015-07-20,22549
2015-07-21,22484
2015-07-22,22484
2015-07-23,22484
2015-07-24,22484
2015-07-25,22484
2015-07-26,22484
2015-07-27,22484
2015-07-28,22484
2015-07-29,23229
2015-07-30,23229
2015-07-31,23229
2015-08-01,23229
2015-08-02,23229
2015-08-03,23229
2015-08-04,23229
2015-08-05,23229
2015-08-06,23229
2015-08-07,24193
2015-08-08,24193
2015-08-09,24193
2015-08-10,24193
2015-08-11,24193
2015-08-12,24193
2015-08-13,24193
2015-08-14,24193
2015-08-15,24193
2015-08-16,24193
2015-08-17,24193
2015-08-18,24193
2015-08-19,25231
2015-08-20,25231
2015-08-21,25231
2015-08-22,25231
2015-08-23,25231
2015-08-24,25231
2015-08-25,25231
2015-08-26,25231
2015-08-27,25231
2015-08-28,25231
2015-08-29,25231
2015-08-30,25231
2015-08-31,25231
