date_obj,Yellow%20cape price
2015-03-04,33
2015-03-05,33
2015-03-06,33
2015-03-07,33
2015-03-08,35
2015-03-09,35
2015-03-10,35
2015-03-11,35
2015-03-12,35
2015-03-13,37
2015-03-14,37
2015-03-15,37
2015-03-16,37
2015-03-17,39
2015-03-18,39
2015-03-19,39
2015-03-20,39
2015-03-21,39
2015-03-22,41
2015-03-23,41
2015-03-24,41
2015-03-25,41
2015-03-26,41
2015-03-27,43
2015-03-28,43
2015-03-29,43
2015-03-30,43
2015-03-31,45
2015-04-01,45
2015-04-02,45
2015-04-03,45
2015-04-04,45
2015-04-05,48
2015-04-06,48
2015-04-07,48
2015-04-08,48
2015-04-09,48
2015-04-10,51
2015-04-11,51
2015-04-12,51
2015-04-13,51
2015-04-14,51
2015-04-15,54
2015-04-16,54
2015-04-17,54
2015-04-18,54
2015-04-19,57
2015-04-20,57
2015-04-21,57
2015-04-22,57
2015-04-23,57
2015-04-24,60
2015-04-25,60
2015-04-26,60
2015-04-27,60
2015-04-28,63
2015-04-29,63
2015-04-30,63
2015-05-01,63
2015-05-02,63
2015-05-03,67
2015-05-04,67
2015-05-05,67
2015-05-06,67
2015-05-07,67
2015-05-08,70
2015-05-09,70
2015-05-10,70
2015-05-11,70
2015-05-12,70
2015-05-13,74
2015-05-14,74
2015-05-15,74
2015-05-16,74
2015-05-17,78
2015-05-18,78
2015-05-19,78
2015-05-20,78
2015-05-21,78
2015-05-22,78
2015-05-23,82
2015-05-24,82
2015-05-25,82
2015-05-26,82
2015-05-27,82
2015-05-28,87
2015-05-29,87
2015-05-30,87
2015-05-31,87
2015-06-01,92
2015-06-02,92
2015-06-03,92
2015-06-04,92
2015-06-05,92
2015-06-06,97
2015-06-07,97
2015-06-08,97
2015-06-09,97
2015-06-10,102
2015-06-11,102
2015-06-12,102
2015-06-13,102
2015-06-14,102
2015-06-15,108
2015-06-16,108
2015-06-17,108
2015-06-18,108
2015-06-19,114
2015-06-20,114
2015-06-21,114
2015-06-22,114
2015-06-23,114
2015-06-24,119
2015-06-25,119
2015-06-26,119
2015-06-27,119
2015-06-28,119
2015-06-29,125
2015-06-30,125
2015-07-01,125
2015-07-02,125
2015-07-03,125
2015-07-04,129
2015-07-05,129
2015-07-06,129
2015-07-07,129
2015-07-08,129
2015-07-09,136
2015-07-10,136
2015-07-11,136
2015-07-12,136
2015-07-13,136
2015-07-14,142
2015-07-15,142
2015-07-16,142
2015-07-17,142
2015-07-18,142
2015-07-19,150
2015-07-20,150
2015-07-21,150
2015-07-22,150
2015-07-23,150
2015-07-24,157
2015-07-25,157
2015-07-26,157
2015-07-27,157
2015-07-28,157
2015-07-29,165
2015-07-30,165
2015-07-31,165
2015-08-01,165
2015-08-02,165
2015-08-03,174
2015-08-04,174
2015-08-05,174
2015-08-06,174
2015-08-07,174
2015-08-08,183
2015-08-09,183
2015-08-10,183
2015-08-11,183
2015-08-12,193
2015-08-13,193
2015-08-14,193
2015-08-15,193
2015-08-16,193
2015-08-17,193
2015-08-18,193
2015-08-19,200
2015-08-20,200
2015-08-21,200
2015-08-22,200
2015-08-23,200
2015-08-24,200
2015-08-25,200
2015-08-26,200
2015-08-27,208
2015-08-28,208
2015-08-29,208
2015-08-30,208
2015-08-31,208
2015-09-01,325
2015-09-02,208
2015-09-07,217
2015-09-08,217
2015-09-10,228
2015-09-14,228
2015-09-16,228
2015-09-22,239
2015-09-23,239
2015-09-24,239
2015-09-25,239
2015-09-27,249
2015-09-28,249
2015-09-29,249
2015-09-30,249
2015-10-05,256
2015-10-06,256
2015-10-07,256
2015-10-08,256
2015-10-09,256
2015-10-10,256
2015-10-11,256
2015-10-12,268
2015-10-13,268
2015-10-14,268
2015-10-15,268
2015-10-16,268
2015-10-17,268
2015-10-18,268
2015-10-19,268
2015-10-20,278
2015-10-22,278
2015-10-23,278
2015-10-24,278
2015-10-25,278
2015-10-26,278
2015-10-27,278
2015-10-29,287
2015-10-30,287
2015-10-31,287
2015-11-01,287
2015-11-02,287
2015-11-03,287
2015-11-05,294
2015-11-06,294
2015-11-07,294
2015-11-08,294
2015-11-09,294
2015-11-10,294
2015-11-11,294
2015-11-12,294
2015-11-13,294
2015-11-14,298
2015-11-15,298
2015-11-16,298
2015-11-17,298
2015-11-18,298
2015-11-19,298
2015-11-20,298
2015-11-21,298
2015-11-22,311
2015-11-23,311
2015-11-24,311
2015-11-25,311
2015-11-26,311
2015-11-27,311
2015-11-28,311
2015-11-29,311
2015-11-30,311
2015-12-01,311
2015-12-02,311
