date_obj,Clockwork price
2016-01-05,16297
2016-01-06,16297
2016-01-07,16297
2016-01-08,16297
2016-01-09,16297
2016-01-10,16297
2016-01-11,16297
2016-01-12,16297
2016-01-13,16297
2016-01-14,15498
2016-01-15,15498
2016-01-16,15498
2016-01-17,15498
2016-01-18,15498
2016-01-19,15498
2016-01-20,15498
2016-01-21,15498
2016-01-22,15498
2016-01-23,15498
2016-01-24,15498
2016-01-25,15498
2016-01-26,15498
2016-01-27,15498
2016-01-28,15498
2016-01-29,15498
2016-01-30,15498
2016-01-31,15498
2016-02-01,15498
2016-02-02,15498
2016-02-03,15498
2016-02-04,15498
2016-02-05,15498
2016-02-06,15498
2016-02-07,14750
2016-02-08,14750
2016-02-09,14750
2016-02-10,14750
2016-02-11,14750
2016-02-12,14750
2016-02-13,14750
2016-02-14,14750
2016-02-15,14750
2016-02-16,14750
2016-02-17,14750
2016-02-18,14750
2016-02-19,14750
2016-02-20,14750
2016-02-21,14750
2016-02-22,14750
2016-02-23,14750
2016-02-24,14750
2016-02-25,14750
2016-02-26,14750
2016-02-27,14750
2016-02-28,14750
2016-02-29,14750
2016-03-01,14032
2016-03-02,14032
2016-03-03,14032
2016-03-04,14032
2016-03-05,14032
2016-03-06,14032
2016-03-07,14032
2016-03-08,14032
2016-03-09,14032
2016-03-10,14032
2016-03-11,14032
2016-03-12,14032
2016-03-13,14032
2016-03-14,14032
2016-03-15,14032
2016-03-16,14032
2016-03-17,14032
2016-03-18,14032
2016-03-19,14032
2016-03-20,14032
2016-03-21,14032
2016-03-22,13347
2016-03-23,13347
2016-03-24,13347
2016-03-25,13347
2016-03-26,13347
2016-03-27,13347
2016-03-28,13347
2016-03-29,13347
2016-03-30,13347
2016-03-31,13347
2016-04-01,13347
2016-04-02,13347
2016-04-03,13347
2016-04-04,13347
2016-04-05,13347
2016-04-06,12683
2016-04-07,12683
2016-04-08,12683
2016-04-09,12683
2016-04-10,12683
2016-04-11,12683
2016-04-12,12683
2016-04-13,12683
2016-04-14,12683
2016-04-15,12683
2016-04-16,12683
2016-04-17,12683
2016-04-18,12048
2016-04-19,12048
2016-04-20,12048
2016-04-21,12048
2016-04-22,12048
2016-04-23,12048
2016-04-24,12048
2016-04-25,12048
2016-04-26,12048
2016-04-27,12048
2016-04-28,12048
2016-04-29,12048
2016-04-30,12048
2016-05-01,11446
2016-05-02,11446
2016-05-03,11446
2016-05-04,11446
2016-05-05,11446
2016-05-06,11446
2016-05-07,11446
2016-05-08,11446
2016-05-09,11446
2016-05-10,11446
2016-05-11,11446
2016-05-12,11446
2016-05-13,11446
2016-05-14,11446
2016-05-15,10873
2016-05-16,10873
2016-05-17,10873
2016-05-18,10873
2016-05-19,10873
2016-05-22,10873
2016-05-23,10873
2016-05-24,10873
2016-05-25,10873
2016-05-26,10873
2016-05-27,10873
2016-05-28,10873
2016-05-29,10873
2016-05-30,10331
2016-05-31,10331
2016-06-01,10331
2016-06-02,10331
2016-06-03,10331
2016-06-04,10331
2016-06-05,10331
2016-06-06,10331
2016-06-07,10331
2016-06-08,10331
2016-06-09,10331
2016-06-10,10331
2016-06-11,10331
2016-06-12,10331
2016-06-13,10331
2016-06-14,10331
2016-06-15,9839
2016-06-16,9839
2016-06-17,9839
2016-06-18,9839
2016-06-19,9839
2016-06-20,9839
2016-06-21,9839
2016-06-22,9839
2016-06-23,9839
2016-06-24,9839
2016-06-25,9839
2016-06-26,9839
2016-06-27,9839
2016-06-28,9839
2016-06-29,9839
2016-06-30,9839
2016-07-01,9350
2016-07-02,9350
2016-07-03,9350
2016-07-04,9350
2016-07-05,9350
2016-07-06,9350
2016-07-07,9350
2016-07-08,9350
2016-07-09,8882
2016-07-10,8882
2016-07-11,8882
2016-07-12,8882
2016-07-13,8882
2016-07-14,8882
2016-07-15,8882
2016-07-16,8437
2016-07-17,8437
2016-07-18,8437
2016-07-23,8437
2016-07-24,8437
2016-07-25,8437
2016-07-26,8017
2016-07-27,8017
2016-07-28,8017
2016-07-29,8017
2016-07-30,8017
2016-07-31,8017
2016-08-01,8017
2016-08-02,8017
2016-08-03,8017
2016-08-04,8017
2016-08-05,8017
2016-08-06,7616
2016-08-07,7616
2016-08-08,7616
2016-08-09,7616
2016-08-10,7616
2016-08-11,7616
2016-08-12,7616
2016-08-13,7616
2016-08-14,7616
2016-08-15,7616
2016-08-16,7616
2016-08-17,7616
2016-08-18,7616
2016-08-19,7235
2016-08-20,7235
2016-08-21,7235
2016-08-22,7235
2016-08-23,7235
2016-08-24,7235
2016-08-25,7235
2016-08-26,7235
2016-08-28,6873
2016-08-31,6873
2016-09-01,6873
2016-09-02,6873
2016-09-03,6873
2016-09-04,6873
2016-09-05,6873
2016-09-06,6873
2016-09-07,6873
2016-09-08,6873
2016-09-09,6531
2016-09-10,6531
2016-09-11,6531
2016-09-12,6531
2016-09-13,6531
2016-09-14,6531
2016-09-15,6531
2016-09-16,6531
2016-09-17,6531
2016-09-18,6531
2016-09-19,6531
2016-09-20,6531
2016-09-21,6531
2016-09-22,6531
2016-09-23,6204
2016-09-24,6204
2016-09-25,6204
2016-09-26,6204
2016-09-27,6204
2016-09-28,6204
2016-09-29,6204
2016-09-30,6204
2016-10-01,6204
2016-10-02,6204
2016-10-03,6204
2016-10-04,6204
2016-10-05,6204
2016-10-06,6204
2016-10-07,5893
2016-10-08,5893
2016-10-09,5893
2016-10-10,5893
2016-10-11,5893
2016-10-12,5893
2016-10-13,5893
2016-10-14,5893
2016-10-15,5893
2016-10-16,5893
2016-10-17,5893
2016-10-18,5893
2016-10-19,5893
2016-10-20,5601
2016-10-21,5601
2016-10-22,5601
2016-10-23,5601
2016-10-24,5601
2016-10-25,5601
2016-10-26,5601
2016-10-27,5601
2016-10-28,5601
2016-10-29,5601
2016-10-30,5601
2016-10-31,5601
2016-11-01,5601
2016-11-02,5322
2016-11-03,5322
2016-11-04,5322
2016-11-05,5322
2016-11-06,5322
2016-11-07,5322
2016-11-08,5322
2016-11-09,5322
2016-11-10,5322
2016-11-11,5322
2016-11-12,5322
2016-11-13,5322
2016-11-14,5322
2016-11-15,5058
2016-12-07,4805
2016-12-08,4594
2016-12-09,4594
2016-12-10,4594
2016-12-11,4594
2016-12-12,4594
2016-12-13,4594
2016-12-14,4594
2016-12-15,4594
2016-12-16,4594
2016-12-17,4594
2016-12-18,4594
2016-12-19,4594
2016-12-20,4364
2016-12-21,4364
2016-12-22,4364
2016-12-23,4364
2016-12-24,4364
2016-12-25,4364
2016-12-26,4364
2016-12-27,4364
2016-12-28,4364
2016-12-29,4364
2016-12-30,4364
2016-12-31,4145
2017-01-01,4145
2017-01-02,4145
2017-01-03,4145
2017-01-04,4145
2017-01-05,4145
2017-01-06,4145
2017-01-07,4145
2017-01-08,4145
2017-01-09,4145
2017-01-10,4145
2017-01-11,3937
2017-01-12,3937
2017-01-13,3937
2017-01-14,3937
2017-01-15,3937
2017-01-16,3937
2017-01-17,3937
2017-01-18,3937
2017-01-19,3937
2017-01-20,3937
2017-01-21,3740
2017-01-22,3740
2017-01-23,3740
2017-01-27,3740
2017-01-28,3740
2017-01-29,3740
2017-01-30,3740
2017-01-31,3740
2017-02-01,3553
2017-02-02,3553
2017-02-03,3553
2017-02-04,3553
2017-02-05,3553
2017-02-06,3553
2017-02-07,3553
2017-02-08,3553
2017-02-09,3553
2017-02-10,3553
2017-02-11,3553
2017-02-12,3376
2017-02-13,3376
2017-02-14,3376
2017-02-15,3376
2017-02-16,3376
2017-02-18,3376
2017-02-19,3376
2017-02-20,3376
2017-02-21,3376
2017-02-22,3376
2017-02-23,3208
2017-02-24,3208
2017-02-25,3208
2017-02-26,3208
2017-02-27,3208
2017-02-28,3208
2017-03-01,3208
2017-03-02,3208
2017-03-03,3208
2017-03-04,3208
2017-03-05,3208
2017-03-06,3047
2017-03-07,3047
2017-03-08,3047
2017-03-09,3047
2017-03-10,3047
2017-03-11,3047
2017-03-12,3047
2017-03-13,3047
2017-03-14,3047
2017-03-15,3047
2017-03-16,2916
2017-03-17,2916
2017-03-18,2916
2017-03-19,2916
2017-03-20,2916
2017-03-21,2916
2017-03-22,2916
2017-03-23,2916
2017-03-24,2916
2017-03-25,2916
2017-03-26,2916
2017-03-27,2773
2017-03-28,2773
2017-03-29,2773
2017-03-30,2773
2017-03-31,2773
2017-04-01,2773
2017-04-02,2773
2017-04-03,2773
2017-04-04,2773
2017-04-12,2641
2017-04-13,2641
2017-04-14,2641
2017-04-15,2641
2017-04-16,2641
2017-04-17,2641
2017-04-18,2516
2017-04-19,2516
2017-04-20,2516
2017-04-21,2516
2017-04-22,2516
2017-04-23,2516
2017-04-24,2516
2017-04-25,2516
2017-04-26,2516
2017-04-27,2516
2017-04-28,2516
2017-04-29,2416
2017-04-30,2416
2017-05-01,2416
2017-05-02,2416
2017-05-03,2416
2017-05-04,2416
2017-05-05,2416
2017-05-06,2416
2017-05-07,2416
2017-05-08,2416
2017-05-09,2416
2017-05-10,2299
2017-05-11,2299
2017-05-12,2299
2017-05-13,2299
2017-05-14,2299
2017-05-15,2299
2017-05-16,2299
2017-05-17,2299
2017-05-18,2299
2017-05-19,2299
2017-05-20,2299
2017-05-21,2185
2017-05-22,2185
2017-05-23,2185
2017-05-24,2185
2017-05-25,2185
2017-05-26,2185
2017-05-27,2185
2017-05-28,2185
2017-05-29,2185
2017-05-30,2185
2017-05-31,2185
2017-06-01,2185
2017-06-02,2076
2017-06-03,2076
2017-06-04,2076
2017-06-05,2076
2017-06-06,2076
2017-06-07,2076
2017-06-08,2076
2017-06-09,2076
2017-06-10,2076
2017-06-11,2076
2017-06-12,2076
2017-06-13,1977
2017-06-14,1977
2017-06-15,1977
2017-06-16,1977
2017-06-17,1977
2017-06-18,1977
2017-06-19,1977
2017-06-20,1977
2017-06-21,1977
2017-06-22,1977
2017-06-23,1977
2017-06-24,1977
2017-06-25,1977
2017-06-26,1935
2017-06-27,1935
2017-06-28,1935
2017-06-29,1935
2017-06-30,1935
2017-07-01,1935
2017-07-02,1935
2017-07-03,1935
2017-07-04,1935
2017-07-05,1935
2017-07-06,1935
2017-07-07,1935
2017-07-08,1935
2017-07-13,1838
2017-07-14,1838
2017-07-15,1838
2017-07-16,1838
2017-07-17,1838
2017-07-18,1838
2017-07-19,1841
2017-07-20,1841
2017-07-21,1841
