date_obj,Magic%20shortbow%20(u) price
2015-03-26,487
2015-03-27,487
2015-03-28,487
2015-03-29,487
2015-03-30,487
2015-03-31,487
2015-04-01,487
2015-04-02,487
2015-04-03,487
2015-04-04,487
2015-04-05,487
2015-04-06,487
2015-04-07,487
2015-04-08,487
2015-04-09,487
2015-04-10,509
2015-04-11,509
2015-04-12,509
2015-04-13,509
2015-04-14,509
2015-04-15,509
2015-04-16,509
2015-04-17,509
2015-04-18,509
2015-04-19,509
2015-04-20,509
2015-04-21,509
2015-04-22,509
2015-04-23,532
2015-04-24,532
2015-04-25,532
2015-04-26,532
2015-04-27,532
2015-04-28,532
2015-04-29,532
2015-04-30,532
2015-05-01,532
2015-05-02,532
2015-05-03,532
2015-05-04,532
2015-05-05,532
2015-05-06,532
2015-05-07,532
2015-05-08,532
2015-05-09,555
2015-05-10,555
2015-05-11,555
2015-05-12,555
2015-05-13,555
2015-05-14,555
2015-05-15,555
2015-05-16,555
2015-05-17,555
2015-05-18,555
2015-05-19,555
2015-05-20,555
2015-05-21,555
2015-05-22,555
2015-05-23,555
2015-05-24,555
2015-05-25,555
2015-05-26,555
2015-05-27,575
2015-05-28,575
2015-05-29,575
2015-05-30,575
2015-05-31,575
2015-06-01,575
2015-06-02,575
2015-06-03,575
2015-06-04,575
2015-06-05,575
2015-06-06,575
2015-06-07,602
2015-06-08,602
2015-06-09,602
2015-06-10,602
2015-06-11,602
2015-06-12,602
2015-06-13,602
2015-06-14,602
2015-06-15,602
2015-06-16,602
2015-06-17,602
2015-06-18,602
2015-06-19,622
2015-06-20,622
2015-06-21,622
2015-06-22,622
2015-06-23,622
2015-06-24,622
2015-06-25,622
2015-06-26,622
2015-06-27,622
2015-06-28,622
2015-06-29,622
2015-06-30,650
2015-07-01,650
2015-07-02,650
2015-07-03,650
2015-07-04,650
2015-07-05,650
2015-07-06,650
2015-07-07,650
2015-07-08,650
2015-07-09,650
2015-07-10,650
2015-07-11,650
2015-07-12,650
2015-07-13,650
2015-07-14,676
2015-07-15,676
2015-07-16,676
2015-07-17,676
2015-07-18,676
2015-07-19,676
2015-07-20,676
2015-07-21,676
2015-07-22,676
2015-07-23,676
2015-07-24,676
2015-07-25,676
2015-07-26,693
2015-07-27,693
2015-07-28,693
2015-07-29,693
2015-07-30,693
2015-07-31,693
2015-08-01,693
2015-08-02,693
2015-08-03,693
2015-08-04,693
2015-08-05,693
2015-08-06,693
2015-08-07,723
2015-08-08,723
2015-08-09,723
2015-08-10,723
2015-08-11,723
2015-08-12,723
2015-08-13,723
2015-08-14,723
2015-08-15,723
2015-08-16,723
2015-08-17,723
2015-08-18,723
2015-08-19,752
2015-08-20,752
2015-08-21,752
2015-08-22,752
2015-08-23,752
2015-08-24,752
2015-08-25,752
2015-08-26,752
2015-08-27,752
2015-08-28,752
2015-08-29,752
2015-08-30,752
2015-08-31,783
2015-09-01,783
2015-09-02,783
2015-09-03,783
2015-09-04,783
2015-09-05,783
2015-09-06,783
2015-09-07,783
2015-09-08,783
2015-09-09,783
2015-09-10,783
2015-09-11,783
2015-09-12,783
2015-09-13,811
2015-09-14,811
2015-09-15,811
2015-09-16,811
2015-09-17,811
2015-09-18,811
2015-09-19,811
2015-09-20,811
2015-09-21,811
2015-09-22,811
2015-09-23,811
2015-09-24,811
2015-09-25,811
2015-09-27,811
2015-09-28,840
2015-09-29,840
2015-09-30,840
2015-10-05,840
2015-10-06,840
2015-10-07,840
2015-10-08,840
2015-10-09,840
2015-10-10,840
2015-10-11,840
2015-10-12,840
2015-10-13,856
2015-10-14,856
2015-10-15,856
2015-10-16,856
2015-10-17,856
2015-10-18,856
2015-10-19,856
2015-10-20,856
2015-10-22,856
2015-10-23,856
2015-10-24,856
2015-10-25,856
2015-10-26,856
2015-10-27,856
2015-10-29,856
2015-10-30,864
2015-10-31,864
2015-11-01,864
2015-11-02,864
2015-11-03,864
2015-11-04,864
2015-11-05,864
2015-11-06,864
2015-11-07,864
2015-11-08,864
2015-11-09,864
2015-11-10,864
2015-11-11,864
2015-11-12,864
2015-11-13,864
2015-11-14,864
2015-11-15,864
2015-11-16,839
2015-11-17,839
2015-11-18,839
2015-11-19,839
2015-11-20,839
2015-11-21,839
2015-11-22,839
2015-11-23,839
2015-11-24,839
2015-11-25,839
2015-11-26,839
2015-11-27,839
2015-11-28,839
2015-11-29,840
2015-11-30,840
2015-12-01,840
2015-12-02,840
2015-12-03,840
2015-12-04,840
2015-12-05,840
2015-12-06,840
2015-12-07,840
2015-12-08,840
2015-12-09,840
2015-12-10,840
2015-12-11,852
2015-12-12,852
2015-12-13,852
2015-12-14,852
2015-12-15,852
2015-12-16,852
2015-12-17,852
2015-12-18,852
2015-12-19,852
2015-12-20,852
2015-12-21,852
2015-12-22,849
2015-12-23,849
2015-12-24,849
2015-12-25,849
2015-12-26,849
2015-12-27,849
2015-12-28,849
2015-12-29,849
2015-12-30,849
2015-12-31,849
2016-01-01,849
2016-01-02,870
2016-01-03,870
2016-01-04,870
2016-01-05,870
2016-01-06,870
2016-01-07,870
2016-01-08,870
2016-01-09,870
2016-01-10,870
2016-01-11,870
2016-01-12,870
2016-01-13,870
2016-01-14,886
2016-01-15,886
2016-01-16,886
2016-01-17,886
2016-01-18,886
2016-01-19,886
2016-01-20,886
2016-01-21,886
2016-01-22,886
2016-01-23,886
2016-01-24,886
2016-01-25,886
2016-01-26,897
2016-01-27,897
2016-01-28,897
2016-01-29,897
2016-01-30,897
2016-01-31,897
2016-02-01,897
2016-02-02,897
2016-02-03,897
2016-02-04,897
2016-02-05,897
2016-02-06,897
2016-02-07,898
2016-02-08,898
2016-02-09,898
2016-02-10,898
2016-02-11,898
2016-02-12,898
2016-02-13,898
2016-02-14,898
2016-02-15,898
2016-02-16,898
2016-02-17,898
2016-02-18,898
2016-02-19,898
2016-02-20,906
2016-02-21,906
2016-02-22,906
2016-02-23,906
2016-02-24,906
2016-02-25,906
2016-02-26,906
2016-02-27,906
2016-02-28,906
2016-02-29,906
2016-03-01,906
2016-03-02,906
2016-03-03,906
2016-03-04,906
2016-03-05,906
2016-03-06,906
2016-03-07,906
2016-03-08,906
2016-03-09,906
2016-03-10,906
2016-03-11,906
2016-03-12,906
2016-03-13,906
2016-03-14,906
2016-03-15,919
2016-03-16,919
2016-03-17,919
2016-03-18,919
2016-03-19,919
2016-03-20,919
2016-03-21,919
2016-03-22,919
2016-03-23,919
2016-03-24,919
2016-03-25,919
2016-03-26,897
2016-03-27,897
2016-03-28,897
2016-03-29,897
2016-03-30,897
2016-03-31,897
2016-04-01,897
2016-04-02,897
2016-04-03,897
2016-04-04,897
2016-04-05,897
2016-04-06,897
2016-04-07,897
2016-04-08,893
2016-04-09,893
2016-04-10,893
2016-04-11,893
2016-04-12,893
2016-04-13,893
2016-04-14,893
2016-04-15,893
2016-04-16,893
2016-04-17,893
2016-04-18,893
2016-04-19,893
2016-04-20,893
2016-04-21,893
2016-04-22,893
2016-04-23,893
2016-04-24,893
2016-04-25,893
2016-04-26,893
2016-04-27,893
2016-04-28,893
2016-04-29,893
2016-04-30,893
2016-05-01,893
2016-05-02,893
2016-05-03,884
2016-05-04,884
2016-05-05,884
2016-05-06,884
2016-05-07,884
2016-05-08,884
2016-05-09,884
2016-05-10,884
2016-05-11,884
2016-05-12,884
2016-05-13,884
2016-05-14,873
2016-05-15,873
2016-05-16,873
2016-05-17,873
2016-05-18,873
2016-05-19,873
2016-05-22,873
2016-05-23,873
2016-05-24,875
2016-05-25,875
2016-05-26,875
2016-05-27,875
2016-05-28,875
2016-05-29,875
2016-05-30,875
2016-05-31,875
2016-06-01,875
