date_obj,Ancient%20platebody price
2015-03-26,39257
2015-03-27,39257
2015-03-28,39656
2015-03-29,39924
2015-03-30,41257
2015-03-31,42099
2015-04-01,42099
2015-04-02,41962
2015-04-03,42067
2015-04-04,42006
2015-04-05,41902
2015-04-06,42474
2015-04-07,42821
2015-04-08,42821
2015-04-09,42207
2015-04-10,41942
2015-04-11,41813
2015-04-12,41832
2015-04-13,41657
2015-04-14,41574
2015-04-15,41209
2015-04-16,41591
2015-04-17,41832
2015-04-18,42454
2015-04-19,42365
2015-04-20,42365
2015-04-21,42279
2015-04-22,42931
2015-04-23,43344
2015-04-24,43643
2015-04-25,44726
2015-04-26,44433
2015-04-27,43632
2015-04-28,43514
2015-04-29,43514
2015-04-30,43605
2015-05-01,43807
2015-05-02,43456
2015-05-03,43099
2015-05-04,43373
2015-05-05,42613
2015-05-06,42729
2015-05-07,42755
2015-05-08,43063
2015-05-09,42232
2015-05-10,42064
2015-05-11,42064
2015-05-12,41467
2015-05-13,42178
2015-05-14,43043
2015-05-15,43289
2015-05-16,43289
2015-05-17,42685
2015-05-18,42533
2015-05-19,41253
2015-05-20,41253
2015-05-21,40640
2015-05-22,40275
2015-05-23,40591
2015-05-24,40216
2015-05-25,40298
2015-05-26,40287
2015-05-27,40174
2015-05-28,40324
2015-05-29,40507
2015-05-30,40833
2015-05-31,40833
2015-06-01,40205
2015-06-02,40205
2015-06-03,40915
2015-06-04,40482
2015-06-05,40764
2015-06-06,41946
2015-06-07,41628
2015-06-08,41628
2015-06-09,41820
2015-06-10,41629
2015-06-11,41629
2015-06-12,41729
2015-06-13,42434
2015-06-14,41950
2015-06-15,41243
2015-06-16,42019
2015-06-17,42019
2015-06-18,42045
2015-06-19,42329
2015-06-20,41815
2015-06-21,41815
2015-06-22,41723
2015-06-23,41723
2015-06-24,41529
2015-06-25,41529
2015-06-26,41360
2015-06-27,41360
2015-06-28,41258
2015-06-29,41258
2015-06-30,41156
2015-07-01,41820
2015-07-02,41820
2015-07-03,42083
2015-07-04,41722
2015-07-05,41722
2015-07-06,40881
2015-07-07,41177
2015-07-08,40459
2015-07-09,40459
2015-07-10,40444
2015-07-11,40444
2015-07-12,40634
2015-07-13,41086
2015-07-14,40952
2015-07-15,42315
2015-07-16,42315
2015-07-17,42683
2015-07-18,42683
2015-07-19,42817
2015-07-20,43347
2015-07-21,43347
2015-07-22,44550
2015-07-23,44550
2015-07-24,45122
2015-07-25,45122
2015-07-26,45360
2015-07-27,46299
2015-07-28,46015
2015-07-29,47264
2015-07-30,47264
2015-07-31,46326
2015-08-01,46326
2015-08-02,44855
2015-08-03,43702
2015-08-04,42186
2015-08-05,40829
2015-08-06,39388
2015-08-07,39755
2015-08-08,40254
2015-08-09,41100
2015-08-10,40899
2015-08-11,41519
2015-08-12,41519
2015-08-13,42257
2015-08-14,42469
2015-08-15,42469
2015-08-16,41801
2015-08-17,41869
2015-08-18,42645
2015-08-19,42488
2015-08-20,42488
2015-08-21,42854
2015-08-22,42795
2015-08-23,42795
2015-08-24,43660
2015-08-25,43660
2015-08-26,43752
2015-08-27,42849
2015-08-28,41439
2015-08-29,41106
2015-08-30,41106
2015-08-31,41246
2015-09-01,41624
2015-09-02,41624
2015-09-03,41769
2015-09-04,41101
2015-09-05,41101
2015-09-06,40749
2015-09-07,40791
2015-09-08,40542
2015-09-09,41544
2015-09-10,40611
2015-09-11,41485
2015-09-12,42873
2015-09-13,42953
2015-09-14,43853
2015-09-15,44474
2015-09-16,44474
2015-09-17,43532
2015-09-18,43532
2015-09-19,42622
2015-09-20,41161
2015-09-21,40927
2015-09-22,39656
2015-09-23,38820
2015-09-24,38820
2015-09-25,40399
2015-09-27,41671
2015-09-28,41538
2015-09-29,41538
2015-09-30,40796
2015-10-05,42613
2015-10-06,42840
2015-10-07,42840
2015-10-08,42476
2015-10-09,42166
