date_obj,Staff%20of%20fire price
2015-03-26,788
2015-03-27,788
2015-03-28,780
2015-03-29,771
2015-03-30,763
2015-03-31,781
2015-04-01,786
2015-04-02,815
2015-04-03,823
2015-04-04,809
2015-04-05,792
2015-04-06,786
2015-04-07,798
2015-04-08,808
2015-04-09,807
2015-04-10,802
2015-04-11,789
2015-04-12,783
2015-04-13,778
2015-04-14,775
2015-04-15,766
2015-04-16,766
2015-04-17,758
2015-04-18,773
2015-04-19,793
2015-04-20,798
2015-04-21,791
2015-04-22,784
2015-04-23,789
2015-04-24,816
2015-04-25,843
2015-04-26,830
2015-04-27,812
2015-04-28,806
2015-04-29,831
2015-04-30,839
2015-05-01,830
2015-05-02,803
2015-05-03,783
2015-05-04,783
2015-05-05,786
2015-05-06,808
2015-05-07,818
2015-05-08,808
2015-05-09,797
2015-05-10,771
2015-05-11,758
2015-05-12,759
2015-05-13,763
2015-05-14,796
2015-05-15,816
2015-05-16,814
2015-05-17,817
2015-05-18,805
2015-05-19,791
2015-05-20,779
2015-05-21,764
2015-05-22,752
2015-05-23,755
2015-05-24,768
2015-05-25,779
2015-05-26,788
2015-05-27,772
2015-05-28,781
2015-05-29,782
2015-05-30,792
2015-05-31,804
2015-06-01,789
2015-06-02,764
2015-06-03,753
2015-06-04,747
2015-06-05,763
2015-06-06,787
2015-06-07,822
2015-06-08,853
2015-06-09,823
2015-06-10,802
2015-06-11,816
2015-06-12,817
2015-06-13,814
2015-06-14,810
2015-06-15,829
2015-06-16,825
2015-06-17,828
2015-06-18,830
2015-06-19,855
2015-06-20,878
2015-06-21,890
2015-06-22,877
2015-06-23,885
2015-06-24,899
2015-06-25,880
2015-06-26,866
2015-06-27,877
2015-06-28,857
2015-06-29,841
2015-06-30,825
2015-07-01,808
2015-07-02,816
2015-07-03,807
2015-07-04,786
2015-07-05,772
2015-07-06,756
2015-07-07,740
2015-07-08,753
2015-07-09,775
2015-07-10,786
2015-07-11,801
2015-07-12,798
2015-07-13,783
2015-07-14,772
2015-07-15,771
2015-07-16,796
2015-07-17,793
2015-07-18,801
2015-07-19,804
2015-07-20,833
2015-07-21,856
2015-07-22,880
2015-07-23,878
2015-07-24,867
2015-07-25,839
2015-07-26,829
2015-07-27,848
2015-07-28,840
2015-07-29,827
2015-07-30,830
2015-07-31,856
2015-08-01,884
2015-08-02,920
2015-08-03,950
2015-08-04,987
2015-08-05,1002
2015-08-06,1000
2015-08-07,1025
2015-08-08,1036
2015-08-09,1055
2015-08-10,1031
2015-08-11,990
2015-08-12,940
2015-08-13,896
2015-08-14,888
2015-08-15,879
2015-08-16,885
2015-08-17,875
2015-08-18,854
2015-08-19,840
2015-08-20,831
2015-08-21,828
2015-08-22,825
2015-08-23,816
2015-08-24,814
2015-08-25,808
2015-08-26,784
2015-08-27,774
2015-08-28,764
2015-08-29,767
2015-08-30,780
2015-08-31,785
2015-09-01,798
2015-09-02,814
2015-09-03,832
2015-09-04,866
2015-09-05,887
2015-09-06,903
2015-09-07,903
2015-09-08,920
2015-09-09,932
2015-09-10,940
2015-09-11,936
2015-09-12,906
2015-09-13,873
2015-09-14,829
2015-09-15,822
2015-09-16,815
2015-09-17,811
2015-09-18,797
2015-09-19,812
2015-09-20,832
2015-09-21,853
2015-09-22,863
2015-09-23,856
2015-09-24,841
2015-09-25,835
2015-09-27,858
2015-09-28,897
2015-09-29,941
2015-09-30,985
2015-10-05,1049
2015-10-06,1086
2015-10-07,1117
2015-10-08,1117
2015-10-09,1079
2015-10-10,1063
2015-10-11,1036
2015-10-12,996
2015-10-13,989
2015-10-14,967
2015-10-15,941
2015-10-16,902
2015-10-17,900
2015-10-18,918
2015-10-19,907
2015-10-20,952
2015-10-22,1003
2015-10-23,1002
2015-10-24,964
2015-10-25,962
2015-10-26,973
2015-10-27,1002
2015-10-29,945
2015-10-30,928
2015-10-31,905
2015-11-01,920
2015-11-02,910
2015-11-03,912
2015-11-04,881
2015-11-05,865
2015-11-06,853
2015-11-07,848
2015-11-08,845
2015-11-09,874
2015-11-10,892
2015-11-11,898
2015-11-12,889
2015-11-13,893
2015-11-14,869
2015-11-15,876
2015-11-16,865
2015-11-17,859
2015-11-18,883
2015-11-19,910
2015-11-20,937
2015-11-21,972
2015-11-22,982
2015-11-23,944
2015-11-24,908
2015-11-25,892
2015-11-26,903
2015-11-27,878
2015-11-28,870
2015-11-29,867
2015-11-30,870
2015-12-01,850
2015-12-02,847
2015-12-03,847
2015-12-04,849
2015-12-05,848
2015-12-06,855
2015-12-07,871
2015-12-08,874
2015-12-09,882
2015-12-10,903
2015-12-11,917
2015-12-12,920
2015-12-13,922
2015-12-14,914
2015-12-15,930
2015-12-16,941
2015-12-17,952
2015-12-18,930
2015-12-19,937
2015-12-20,954
2015-12-21,982
2015-12-22,995
2015-12-23,1027
2015-12-24,1032
2015-12-25,1015
2015-12-26,1006
2015-12-27,993
2015-12-28,991
2015-12-29,987
2015-12-30,985
2015-12-31,980
2016-01-01,972
2016-01-02,984
2016-01-03,986
