date_obj,Raw%20bear%20meat price
2015-03-26,280
2015-03-27,280
2015-03-28,273
2015-03-29,269
2015-03-30,271
2015-03-31,262
2015-04-01,262
2015-04-02,259
2015-04-03,247
2015-04-04,242
2015-04-05,242
2015-04-06,232
2015-04-07,220
2015-04-08,220
2015-04-09,209
2015-04-10,211
2015-04-11,206
2015-04-12,206
2015-04-13,195
2015-04-14,195
2015-04-15,196
2015-04-16,196
2015-04-17,195
2015-04-18,185
2015-04-19,175
2015-04-20,175
2015-04-21,166
2015-04-22,166
2015-04-23,157
2015-04-24,157
2015-04-25,149
2015-04-26,149
2015-04-27,141
2015-04-28,138
2015-04-29,138
2015-04-30,131
2015-05-01,127
2015-05-02,124
2015-05-03,124
2015-05-04,117
2015-05-05,117
2015-05-06,111
2015-05-07,111
2015-05-08,105
2015-05-09,100
2015-05-10,100
2015-05-11,95
2015-05-12,91
2015-05-13,91
2015-05-14,87
2015-05-15,87
2015-05-16,89
2015-05-17,88
2015-05-18,88
2015-05-19,84
2015-05-20,84
2015-05-21,84
2015-05-22,79
2015-05-23,79
2015-05-24,75
2015-05-25,71
2015-05-26,71
2015-05-27,69
2015-05-28,69
2015-05-29,67
2015-05-30,64
2015-05-31,64
2015-06-01,61
2015-06-02,61
2015-06-03,65
2015-06-04,67
2015-06-05,68
2015-06-06,71
2015-06-07,67
2015-06-08,67
2015-06-09,63
2015-06-10,59
2015-06-11,59
2015-06-12,56
2015-06-13,53
2015-06-14,50
2015-06-15,50
2015-06-16,47
2015-06-17,44
2015-06-18,41
2015-06-19,38
2015-06-20,36
2015-06-21,37
2015-06-22,37
2015-06-23,37
2015-06-24,37
2015-06-25,37
2015-06-26,37
2015-06-27,37
2015-06-28,37
2015-06-29,37
2015-06-30,37
2015-07-01,39
2015-07-02,39
2015-07-03,41
2015-07-04,44
2015-07-05,44
2015-07-06,46
2015-07-07,49
2015-07-08,51
2015-07-09,51
2015-07-10,48
2015-07-11,48
2015-07-12,51
2015-07-13,53
2015-07-14,50
2015-07-15,49
2015-07-16,49
2015-07-17,48
2015-07-18,48
2015-07-19,49
2015-07-20,49
2015-07-21,49
2015-07-22,48
2015-07-23,48
2015-07-24,45
2015-07-25,45
2015-07-26,42
2015-07-27,39
2015-07-28,37
2015-07-29,35
2015-07-30,35
2015-07-31,33
2015-08-01,31
2015-08-02,30
2015-08-03,30
2015-08-04,29
2015-08-05,28
2015-08-06,28
2015-08-07,28
2015-08-08,28
2015-08-09,27
2015-08-10,26
2015-08-11,24
2015-08-12,24
2015-08-13,22
2015-08-14,24
2015-08-15,24
2015-08-16,24
2015-08-17,23
2015-08-18,23
2015-08-19,24
2015-08-20,24
2015-08-21,24
2015-08-22,24
2015-08-23,24
