date_obj,Yak-hide%20armour%20(legs) price
2015-02-25,22000
2015-02-26,22000
2015-02-27,22000
2015-02-28,22000
2015-03-01,20955
2015-03-02,20955
2015-03-03,20955
2015-03-04,20955
2015-03-05,20955
2015-03-06,19932
2015-03-07,19932
2015-03-08,19932
2015-03-09,19932
2015-03-10,19932
2015-03-11,18958
2015-03-12,18958
2015-03-13,18958
2015-03-14,18958
2015-03-15,18958
2015-03-16,18032
2015-03-17,18032
2015-03-18,18032
2015-03-19,18032
2015-03-20,18032
2015-03-21,17144
2015-03-22,17144
2015-03-23,17144
2015-03-24,17144
2015-03-25,17144
2015-03-26,16308
2015-03-27,16308
2015-03-28,16308
2015-03-29,16308
2015-03-30,16308
2015-03-31,15502
2015-04-01,15502
2015-04-02,15502
2015-04-03,15502
2015-04-04,14746
2015-04-05,14746
2015-04-06,14746
2015-04-07,14746
2015-04-08,14746
2015-04-09,14018
2015-04-10,14018
2015-04-11,14018
2015-04-12,14018
2015-04-13,13329
2015-04-14,13329
2015-04-15,13329
2015-04-16,13329
2015-04-17,13329
2015-04-18,12672
2015-04-19,12672
2015-04-20,12672
2015-04-21,12672
2015-04-22,12053
2015-04-23,12053
2015-04-24,12053
2015-04-25,12053
2015-04-26,11459
2015-04-27,11459
2015-04-28,11459
2015-04-29,11459
2015-04-30,10898
2015-05-01,10898
2015-05-02,10898
2015-05-03,10360
2015-05-04,10360
2015-05-05,10360
2015-05-06,9853
2015-05-07,9853
2015-05-08,9853
2015-05-09,9372
2015-05-10,9372
2015-05-11,9372
2015-05-12,8915
2015-05-13,8915
2015-05-14,8915
2015-05-15,8915
2015-05-16,8471
2015-05-17,8471
2015-05-18,8471
2015-05-19,8059
2015-05-20,8059
2015-05-21,8059
2015-05-22,8059
2015-05-23,7670
2015-05-24,7670
2015-05-25,7670
2015-05-26,7296
2015-05-27,7296
2015-05-28,7296
2015-05-29,6935
2015-05-30,6935
2015-05-31,6594
2015-06-01,6594
2015-06-02,6273
2015-06-03,6273
2015-06-04,5961
2015-06-05,5961
2015-06-06,5670
2015-06-07,5670
2015-06-08,5670
2015-06-09,5395
2015-06-10,5395
2015-06-11,5127
2015-06-12,5127
2015-06-13,5127
2015-06-14,4875
2015-06-15,4875
2015-06-16,4875
2015-06-17,4636
2015-06-18,4636
2015-06-19,4410
2015-06-20,4410
2015-06-21,4410
2015-06-22,4197
2015-06-23,4197
2015-06-24,3988
2015-06-25,3988
2015-06-26,3988
2015-06-27,3791
2015-06-28,3791
2015-06-29,3606
2015-06-30,3606
2015-07-01,3429
2015-07-02,3429
2015-07-03,3265
2015-07-04,3265
2015-07-05,3265
2015-07-06,3102
2015-07-07,3102
2015-07-08,2949
2015-07-09,2949
2015-07-10,2949
2015-07-11,2806
2015-07-12,2806
2015-07-13,2806
2015-07-14,2667
2015-07-15,2667
2015-07-16,2536
2015-07-17,2536
2015-07-18,2415
2015-07-19,2415
2015-07-20,2296
2015-07-21,2296
2015-07-22,2183
2015-07-23,2183
2015-07-24,2074
2015-07-25,2074
2015-07-26,2074
2015-07-27,1972
2015-07-28,1972
2015-07-29,1875
2015-07-30,1875
2015-07-31,1875
2015-08-01,1786
2015-08-02,1786
2015-08-03,1697
2015-08-04,1697
2015-08-05,1615
2015-08-06,1615
2015-08-07,1615
2015-08-08,1536
2015-08-09,1536
2015-08-10,1464
2015-08-11,1464
2015-08-12,1464
2015-08-13,1394
2015-08-14,1394
2015-08-15,1325
2015-08-16,1325
2015-08-17,1259
2015-08-18,1259
2015-08-19,1199
2015-08-20,1199
2015-08-21,1140
2015-08-22,1140
2015-08-23,1140
2015-08-24,1087
2015-08-25,1087
2015-08-26,1087
2015-08-27,1034
2015-08-28,1034
2015-08-29,985
2015-08-30,985
2015-08-31,985
2015-09-01,937
2015-09-02,937
2015-09-03,937
2015-09-04,891
2015-09-05,891
2015-09-06,891
2015-09-07,848
2015-09-08,848
2015-09-09,848
2015-09-10,809
2015-09-11,809
2015-09-12,809
2015-09-13,769
2015-09-14,769
2015-09-15,769
2015-09-16,731
2015-09-17,731
2015-09-18,731
2015-09-19,694
2015-09-20,694
2015-09-21,694
2015-09-22,660
2015-09-23,660
2015-09-24,660
2015-09-25,660
2015-09-26,628
2015-09-27,628
2015-09-28,628
2015-09-29,599
2015-09-30,599
2015-10-01,599
2015-10-02,571
2015-10-03,571
2015-10-04,571
2015-10-05,543
2015-10-06,543
2015-10-07,543
2015-10-08,517
2015-10-09,517
2015-10-10,517
2015-10-11,492
2015-10-12,492
2015-10-13,492
2015-10-14,492
2015-10-15,469
2015-10-16,469
2015-10-17,469
2015-10-18,449
2015-10-19,449
2015-10-20,449
2015-10-21,427
2015-10-22,427
2015-10-23,427
2015-10-24,427
2015-10-25,405
2015-10-26,405
2015-10-27,405
2015-10-28,405
2015-10-29,384
2015-10-30,384
2015-10-31,384
2015-11-01,384
2015-11-02,364
2015-11-03,364
2015-11-04,364
2015-11-05,346
2015-11-06,346
2015-11-07,346
2015-11-08,328
2015-11-09,328
2015-11-10,328
2015-11-11,328
2015-11-12,311
2015-11-13,311
2015-11-14,311
2015-11-15,311
2015-11-16,295
2015-11-17,295
2015-11-18,295
2015-11-19,295
2015-11-20,280
2015-11-21,280
2015-11-22,280
2015-11-23,280
2015-11-24,266
2015-11-25,266
2015-11-26,266
2015-11-27,253
2015-11-28,253
2015-11-29,253
2015-11-30,240
2015-12-01,240
2015-12-02,240
2015-12-03,240
2015-12-04,228
2015-12-05,228
2015-12-06,228
2015-12-07,228
2015-12-08,216
2015-12-09,216
2015-12-10,216
2015-12-11,216
2015-12-12,205
2015-12-13,205
2015-12-14,205
2015-12-15,205
2015-12-16,194
2015-12-17,194
2015-12-18,194
2015-12-19,194
2015-12-20,184
2015-12-21,184
2015-12-22,184
2015-12-23,174
2015-12-24,174
2015-12-25,174
2015-12-26,174
2015-12-27,165
2015-12-28,165
2015-12-29,165
2015-12-30,156
2015-12-31,156
2016-01-01,156
2016-01-02,156
2016-01-03,155
2016-01-04,155
2016-01-05,155
2016-01-06,155
2016-01-07,156
2016-01-08,156
2016-01-09,156
2016-01-10,152
2016-01-11,152
2016-01-12,152
2016-01-13,152
2016-01-14,147
2016-01-15,147
2016-01-16,147
2016-01-17,147
2016-01-18,142
2016-01-19,142
2016-01-20,142
2016-01-21,142
2016-01-22,134
2016-01-23,134
2016-01-24,134
2016-01-25,134
2016-01-26,130
2016-01-27,130
2016-01-28,130
2016-01-29,124
2016-01-30,124
2016-01-31,124
2016-02-01,124
2016-02-02,119
2016-02-03,119
2016-02-04,119
2016-02-05,119
2016-02-06,117
2016-02-07,117
2016-02-08,117
2016-02-09,117
2016-02-10,117
2016-02-11,116
2016-02-12,116
2016-02-13,111
2016-02-14,111
2016-02-15,111
2016-02-16,111
2016-02-17,107
2016-02-18,107
2016-02-19,107
2016-02-20,107
2016-02-21,101
2016-02-22,101
2016-02-23,101
2016-02-24,101
2016-02-25,101
2016-02-26,101
2016-02-27,101
2016-02-28,101
2016-02-29,101
2016-03-01,101
2016-03-02,101
2016-03-03,101
2016-03-04,104
2016-03-05,104
2016-03-06,104
2016-03-07,104
2016-03-08,105
2016-03-09,105
2016-03-10,105
2016-03-11,105
2016-03-12,107
2016-03-13,107
2016-03-14,107
2016-03-15,107
2016-03-16,107
2016-03-17,110
2016-03-18,110
2016-03-19,110
2016-03-20,105
2016-03-21,105
2016-03-22,105
2016-03-23,105
2016-03-24,101
2016-03-25,101
2016-03-26,101
2016-03-27,102
2016-03-28,102
2016-03-29,102
2016-03-30,99
2016-03-31,99
2016-04-01,99
2016-04-02,99
2016-04-03,100
2016-04-04,100
2016-04-05,100
2016-04-06,98
2016-04-07,98
2016-04-08,98
2016-04-09,98
2016-04-10,98
2016-04-11,98
2016-04-12,98
2016-04-13,100
2016-04-14,100
2016-04-15,100
2016-04-16,99
2016-04-17,99
2016-04-18,99
2016-04-19,98
2016-04-20,98
2016-04-21,98
2016-04-22,98
2016-04-23,101
2016-04-24,101
2016-04-25,101
2016-04-26,102
2016-04-27,102
2016-04-28,102
2016-04-29,101
2016-04-30,101
2016-05-01,101
2016-05-02,103
2016-05-03,103
2016-05-04,103
2016-05-05,99
2016-05-06,99
2016-05-07,99
2016-05-08,99
2016-05-09,94
2016-05-10,94
2016-05-11,94
2016-05-12,94
2016-05-13,94
2016-05-14,94
2016-05-15,93
2016-05-16,93
2016-05-17,93
2016-05-18,93
2016-05-19,92
2016-05-20,92
2016-05-21,93
2016-05-22,93
2016-05-23,93
2016-05-24,93
2016-05-25,93
2016-05-26,94
2016-05-27,94
2016-05-28,94
2016-05-29,94
2016-05-30,94
2016-05-31,94
2016-06-01,96
2016-06-02,96
2016-06-03,96
2016-06-04,96
2016-06-05,96
2016-06-06,96
2016-06-07,99
2016-06-08,99
2016-06-09,99
2016-06-10,99
2016-06-11,99
2016-06-12,99
2016-06-13,97
2016-06-14,97
2016-06-15,97
2016-06-16,101
2016-06-17,101
2016-06-18,101
2016-06-19,101
2016-06-20,101
2016-06-21,101
2016-06-22,101
2016-06-23,100
2016-06-24,100
2016-06-25,98
2016-06-26,98
2016-06-27,98
2016-06-28,100
2016-06-29,100
2016-06-30,100
2016-07-01,97
2016-07-02,97
2016-07-03,97
2016-07-04,98
2016-07-05,98
2016-07-06,98
2016-07-07,100
2016-07-08,100
2016-07-09,96
2016-07-10,96
2016-07-11,92
2016-07-12,92
2016-07-13,92
2016-07-14,97
2016-07-15,97
2016-07-16,97
2016-07-17,101
2016-07-18,101
2016-07-19,101
2016-07-20,98
2016-07-21,98
2016-07-22,98
2016-07-23,100
2016-07-24,100
2016-07-25,101
2016-07-26,101
2016-07-27,101
2016-07-28,103
2016-07-29,103
2016-07-30,100
2016-07-31,100
2016-08-01,100
2016-08-02,101
2016-08-03,101
2016-08-04,101
2016-08-05,98
2016-08-06,98
2016-08-07,98
2016-08-08,98
2016-08-09,98
2016-08-10,98
2016-08-11,93
2016-08-12,93
2016-08-13,92
2016-08-14,92
2016-08-15,92
2016-08-16,93
2016-08-17,93
2016-08-18,93
2016-08-19,98
2016-08-20,98
2016-08-21,98
2016-08-22,98
2016-08-23,98
2016-08-24,98
2016-08-25,100
2016-08-26,100
2016-08-27,100
2016-08-28,102
2016-08-29,102
2016-08-30,102
2016-08-31,102
2016-09-01,104
2016-09-02,104
2016-09-03,104
2016-09-04,104
2016-09-05,104
2016-09-06,104
2016-09-07,104
2016-09-08,112
2016-09-09,112
2016-09-10,110
2016-09-11,109
2016-09-12,114
2016-09-13,118
2016-09-14,122
2016-09-15,125
2016-09-16,126
2016-09-17,130
2016-09-18,134
2016-09-19,135
2016-09-20,141
2016-09-21,146
2016-09-22,151
2016-09-23,155
2016-09-24,155
2016-09-25,162
2016-09-26,162
2016-09-27,169
2016-09-28,177
2016-09-29,177
2016-09-30,174
2016-10-01,165
2016-10-02,165
2016-10-03,156
2016-10-04,149
2016-10-05,142
2016-10-06,138
2016-10-07,138
2016-10-08,139
2016-10-09,139
2016-10-10,142
2016-10-11,145
2016-10-12,145
2016-10-13,144
2016-10-14,142
2016-10-15,142
2016-10-16,137
2016-10-17,131
2016-10-18,131
2016-10-19,132
2016-10-20,132
2016-10-21,133
2016-10-22,133
2016-10-23,132
2016-10-24,132
2016-10-25,133
2016-10-26,133
2016-10-27,134
2016-10-28,137
2016-10-29,131
2016-10-30,131
2016-10-31,131
2016-11-01,124
2016-11-02,117
2016-11-03,117
2016-11-04,111
2016-11-05,111
2016-11-06,111
2016-11-07,111
2016-11-08,113
2016-11-09,113
2016-11-10,109
2016-11-11,109
2016-11-12,104
2016-11-13,104
2016-11-14,103
