date_obj,Blue%20skirt%20(t) price
2015-03-26,35368
2015-03-27,35368
2015-03-28,33889
2015-03-29,32380
2015-03-30,30761
2015-03-31,29239
2015-04-01,29239
2015-04-02,28196
2015-04-03,27040
2015-04-04,26335
2015-04-05,26335
2015-04-06,25451
2015-04-07,24193
2015-04-08,24193
2015-04-09,22983
2015-04-10,21833
2015-04-11,20741
2015-04-12,19703
2015-04-13,18797
2015-04-14,18165
2015-04-15,17495
2015-04-16,17495
2015-04-17,16620
2015-04-18,15835
2015-04-19,15161
2015-04-20,15161
2015-04-21,14627
2015-04-22,14627
2015-04-23,14558
2015-04-24,14498
2015-04-25,14611
2015-04-26,14611
2015-04-27,14688
2015-04-28,14946
2015-04-29,14946
2015-04-30,15084
2015-05-01,15213
2015-05-02,15130
2015-05-03,15130
2015-05-04,14842
2015-05-05,14285
2015-05-06,14118
2015-05-07,14185
2015-05-08,14417
2015-05-09,14473
2015-05-10,14190
2015-05-11,14190
2015-05-12,14414
2015-05-13,14957
2015-05-14,15481
2015-05-15,15481
2015-05-16,15906
2015-05-17,16597
2015-05-18,17195
2015-05-19,17682
2015-05-20,17682
2015-05-21,18021
2015-05-22,18156
2015-05-23,17683
2015-05-24,17925
2015-05-25,17795
2015-05-26,17832
2015-05-27,18022
2015-05-28,18148
2015-05-29,18238
2015-05-30,17979
2015-05-31,17979
2015-06-01,17933
2015-06-02,17933
2015-06-03,18268
2015-06-04,18268
2015-06-05,18503
2015-06-06,18423
2015-06-07,18423
2015-06-08,18307
2015-06-09,18490
2015-06-10,18392
2015-06-11,18392
2015-06-12,18856
2015-06-13,18984
2015-06-14,19009
2015-06-15,19009
2015-06-16,18942
2015-06-17,19046
2015-06-18,19189
2015-06-19,19189
2015-06-20,19225
2015-06-21,19225
2015-06-22,19527
2015-06-23,19527
2015-06-24,19874
2015-06-25,19874
2015-06-26,20197
2015-06-27,20197
2015-06-28,20709
2015-06-29,20709
2015-06-30,20841
2015-07-01,21358
2015-07-02,21358
2015-07-03,21220
2015-07-04,21025
2015-07-05,21025
2015-07-06,20731
2015-07-07,20934
2015-07-08,20773
2015-07-09,20773
2015-07-10,21155
2015-07-11,21594
2015-07-12,21594
2015-07-13,22040
2015-07-14,22402
2015-07-15,22159
2015-07-16,22159
2015-07-17,22441
2015-07-18,22441
2015-07-19,22577
2015-07-20,22333
2015-07-21,22333
2015-07-22,22050
2015-07-23,22050
2015-07-24,21636
2015-07-25,21405
2015-07-26,21405
2015-07-27,20825
2015-07-28,20825
2015-07-29,20325
2015-07-30,20325
2015-07-31,20063
2015-08-01,20063
2015-08-02,19642
2015-08-03,19642
2015-08-04,19783
2015-08-05,19479
2015-08-06,19479
2015-08-07,19455
2015-08-08,19218
2015-08-09,19155
2015-08-10,19062
2015-08-11,19062
2015-08-12,18950
2015-08-13,19286
2015-08-14,19604
2015-08-15,19604
2015-08-16,20178
2015-08-17,20660
2015-08-18,20660
2015-08-19,21287
2015-08-20,21287
2015-08-21,21547
2015-08-22,21761
2015-08-23,21761
2015-08-24,22320
2015-08-25,22320
2015-08-26,22946
2015-08-27,23684
2015-08-28,23684
2015-08-29,24384
2015-08-30,24384
2015-08-31,25351
2015-09-01,26521
2015-09-02,26521
2015-09-03,27423
2015-09-04,28480
2015-09-05,28480
2015-09-06,29424
2015-09-07,29944
2015-09-08,30859
2015-09-09,31769
2015-09-10,32796
2015-09-11,34125
2015-09-12,34403
2015-09-13,35169
2015-09-14,35316
2015-09-15,35498
2015-09-16,35498
2015-09-17,35353
2015-09-18,35353
2015-09-19,35536
2015-09-20,35536
2015-09-21,35032
2015-09-22,34977
2015-09-23,33709
2015-09-24,33709
2015-09-25,32347
2015-09-27,32202
2015-09-28,32146
2015-09-29,31636
2015-09-30,31031
2015-10-05,27578
2015-10-06,27474
2015-10-07,27474
2015-10-08,26993
2015-10-09,26163
2015-10-10,26163
2015-10-11,25217
2015-10-12,24539
2015-10-13,24539
2015-10-14,24694
2015-10-15,23810
2015-10-16,23431
2015-10-17,23431
2015-10-18,23396
2015-10-19,22789
2015-10-20,23191
2015-10-22,23341
2015-10-23,23484
2015-10-24,23337
2015-10-25,23067
2015-10-26,23067
2015-10-27,22188
2015-10-29,22141
2015-10-30,22141
2015-10-31,22414
2015-11-01,22414
2015-11-02,22727
2015-11-03,22727
2015-11-04,23321
2015-11-05,24070
2015-11-06,24070
2015-11-07,24085
2015-11-08,24085
2015-11-09,24028
2015-11-10,24028
2015-11-11,24830
2015-11-12,24830
2015-11-13,25797
2015-11-14,25797
2015-11-15,26880
2015-11-16,26880
2015-11-17,27891
2015-11-18,27891
2015-11-19,28385
2015-11-20,28945
2015-11-21,28945
2015-11-22,29412
2015-11-23,29412
2015-11-24,30048
2015-11-25,30708
2015-11-26,30708
2015-11-27,31156
2015-11-28,31156
2015-11-29,30933
2015-11-30,30975
2015-12-01,30975
2015-12-02,30775
2015-12-03,29865
2015-12-04,29865
2015-12-05,29706
2015-12-06,29047
2015-12-07,29047
2015-12-08,28749
2015-12-09,28656
2015-12-10,28792
2015-12-11,29156
2015-12-12,29156
2015-12-13,29023
2015-12-14,29023
2015-12-15,28499
