date_obj,Ball%20of%20wool price
2015-03-26,39
2015-03-27,39
2015-03-28,39
2015-03-29,39
2015-03-30,40
2015-03-31,40
2015-04-01,40
2015-04-02,41
2015-04-03,40
2015-04-04,40
2015-04-05,40
2015-04-06,40
2015-04-07,40
2015-04-08,40
2015-04-09,40
2015-04-10,40
2015-04-11,39
2015-04-12,38
2015-04-13,37
2015-04-14,39
2015-04-15,40
2015-04-16,42
2015-04-17,41
2015-04-18,39
2015-04-19,38
2015-04-20,39
2015-04-21,40
2015-04-22,40
2015-04-23,40
2015-04-24,42
2015-04-25,43
2015-04-26,44
2015-04-27,44
2015-04-28,45
2015-04-29,45
2015-04-30,48
2015-05-01,51
2015-05-02,54
2015-05-03,53
2015-05-04,52
2015-05-05,49
2015-05-06,48
2015-05-07,46
2015-05-08,44
2015-05-09,43
2015-05-10,43
2015-05-11,43
2015-05-12,44
2015-05-13,45
2015-05-14,45
2015-05-15,46
2015-05-16,46
2015-05-17,46
2015-05-18,46
2015-05-19,44
2015-05-20,43
2015-05-21,42
2015-05-22,42
2015-05-23,41
2015-05-24,40
2015-05-25,39
2015-05-26,39
2015-05-27,38
2015-05-28,37
2015-05-29,36
2015-05-30,35
2015-05-31,36
2015-06-01,37
2015-06-02,37
2015-06-03,37
2015-06-04,37
2015-06-05,36
2015-06-06,36
2015-06-07,34
2015-06-08,33
2015-06-09,34
2015-06-10,34
2015-06-11,34
2015-06-12,34
2015-06-13,34
2015-06-14,34
2015-06-15,35
2015-06-16,37
2015-06-17,38
2015-06-18,39
2015-06-19,39
2015-06-20,38
2015-06-21,37
2015-06-22,37
2015-06-23,36
2015-06-24,37
2015-06-25,39
2015-06-26,39
2015-06-27,40
2015-06-28,41
2015-06-29,43
2015-06-30,46
2015-07-01,47
2015-07-02,50
2015-07-03,52
2015-07-04,52
2015-07-05,51
2015-07-06,49
2015-07-07,46
2015-07-08,43
2015-07-09,40
2015-07-10,39
2015-07-11,38
2015-07-12,36
2015-07-13,35
2015-07-14,34
2015-07-15,33
2015-07-16,34
2015-07-17,35
2015-07-18,36
2015-07-19,38
2015-07-20,40
2015-07-21,42
2015-07-22,45
2015-07-23,48
2015-07-24,51
2015-07-25,54
2015-07-26,57
2015-07-27,59
2015-07-28,61
2015-07-29,65
2015-07-30,68
2015-07-31,65
2015-08-01,61
2015-08-02,59
2015-08-03,59
2015-08-04,61
2015-08-05,62
2015-08-06,63
2015-08-07,65
2015-08-08,63
2015-08-09,62
2015-08-10,61
2015-08-11,61
2015-08-12,62
2015-08-13,60
2015-08-14,60
2015-08-15,57
2015-08-16,55
2015-08-17,53
2015-08-18,51
2015-08-19,49
2015-08-20,46
2015-08-21,43
2015-08-22,40
2015-08-23,39
2015-08-24,38
2015-08-25,38
2015-08-26,37
2015-08-27,37
2015-08-28,39
2015-08-29,40
2015-08-30,41
2015-08-31,39
2015-09-01,38
2015-09-02,38
2015-09-03,38
2015-09-04,38
2015-09-05,38
2015-09-06,38
2015-09-07,38
2015-09-08,38
2015-09-09,39
2015-09-10,39
2015-09-11,41
2015-09-12,41
2015-09-13,40
2015-09-14,39
2015-09-15,40
2015-09-16,40
2015-09-17,39
2015-09-18,39
2015-09-19,39
2015-09-20,39
2015-09-21,39
2015-09-22,39
2015-09-23,40
2015-09-24,40
2015-09-25,39
2015-09-27,41
2015-09-28,43
2015-09-29,42
2015-09-30,43
2015-10-05,41
2015-10-06,38
2015-10-07,37
2015-10-08,36
2015-10-09,34
2015-10-10,34
2015-10-11,33
2015-10-12,32
2015-10-13,32
2015-10-14,33
2015-10-15,33
2015-10-16,31
2015-10-17,31
2015-10-18,29
2015-10-19,29
2015-10-20,30
2015-10-22,31
2015-10-23,30
2015-10-24,30
2015-10-25,30
2015-10-26,30
