date_obj,Fat%20snail price
2015-03-26,4287
2015-03-27,4287
2015-03-28,4287
2015-03-29,4121
2015-03-30,4121
2015-03-31,4121
2015-04-01,4121
2015-04-02,4121
2015-04-03,4121
2015-04-04,4130
2015-04-05,4130
2015-04-06,4130
2015-04-07,4130
2015-04-08,4130
2015-04-09,4130
2015-04-10,4130
2015-04-11,4105
2015-04-12,4105
2015-04-13,4105
2015-04-14,4105
2015-04-15,4105
2015-04-16,4105
2015-04-17,4105
2015-04-18,4105
2015-04-19,4024
2015-04-20,4024
2015-04-21,4024
2015-04-22,4024
2015-04-23,4024
2015-04-24,4024
2015-04-25,4024
2015-04-26,4024
2015-04-27,3874
2015-04-28,3874
2015-04-29,3874
2015-04-30,3874
2015-05-01,3874
2015-05-02,3874
2015-05-03,3874
2015-05-04,3766
2015-05-05,3766
2015-05-06,3766
2015-05-07,3766
2015-05-08,3766
2015-05-09,3766
2015-05-10,3671
2015-05-11,3671
2015-05-12,3671
2015-05-13,3671
2015-05-14,3671
2015-05-15,3671
2015-05-16,3671
2015-05-17,3510
2015-05-18,3510
2015-05-19,3510
2015-05-20,3510
2015-05-21,3510
2015-05-22,3510
2015-05-23,3510
2015-05-24,3510
2015-05-25,3400
2015-05-26,3400
2015-05-27,3400
2015-05-28,3400
2015-05-29,3400
2015-05-30,3307
2015-05-31,3307
2015-06-01,3307
2015-06-02,3307
2015-06-03,3307
2015-06-04,3307
2015-06-05,3307
2015-06-06,3174
2015-06-07,3174
2015-06-08,3174
2015-06-09,3174
2015-06-10,3174
2015-06-11,3174
2015-06-12,3026
2015-06-13,3026
2015-06-14,3026
2015-06-15,3026
2015-06-16,3026
2015-06-17,3026
2015-06-18,2937
2015-06-19,2937
2015-06-20,2937
2015-06-21,2937
2015-06-22,2937
2015-06-23,2937
2015-06-24,2934
2015-06-25,2934
2015-06-26,2934
2015-06-27,2934
2015-06-28,2934
2015-06-29,2934
2015-06-30,2934
2015-07-01,2935
2015-07-02,2935
2015-07-03,2935
2015-07-04,2935
2015-07-05,2935
2015-07-06,2935
2015-07-07,2935
2015-07-08,2881
2015-07-09,2881
2015-07-10,2881
2015-07-11,2881
2015-07-12,2881
2015-07-13,2881
2015-07-14,2881
2015-07-15,2881
2015-07-16,2879
2015-07-17,2879
2015-07-18,2879
2015-07-19,2879
2015-07-20,2879
2015-07-21,2879
2015-07-22,2885
2015-07-23,2885
2015-07-24,2885
2015-07-25,2885
2015-07-26,2885
2015-07-27,2885
2015-07-28,2885
2015-07-29,2862
2015-07-30,2862
2015-07-31,2862
2015-08-01,2862
2015-08-02,2862
2015-08-03,2862
2015-08-04,2862
2015-08-05,2841
2015-08-06,2841
2015-08-07,2841
2015-08-08,2841
2015-08-09,2841
2015-08-10,2841
2015-08-11,2841
2015-08-12,2841
2015-08-13,2870
2015-08-14,2870
2015-08-15,2870
2015-08-16,2870
2015-08-17,2870
