date_obj,Holy%20elixir price
2015-03-26,1274930
2015-03-27,1274930
2015-03-28,1274930
2015-03-29,1274930
2015-03-30,1274930
2015-03-31,1274930
2015-04-01,1274930
2015-04-02,1274930
2015-04-03,1274930
2015-04-04,1274930
2015-04-05,1274930
2015-04-06,1274930
2015-04-07,1274930
2015-04-08,1274930
2015-04-09,1274930
2015-04-10,1274930
2015-04-11,1212197
2015-04-12,1212197
2015-04-13,1212197
2015-04-14,1212197
2015-04-15,1212197
2015-04-16,1212197
2015-04-17,1212197
2015-04-18,1212197
2015-04-19,1212197
2015-04-20,1212197
2015-04-21,1212197
2015-04-22,1212197
2015-04-23,1212197
2015-04-24,1212197
2015-04-25,1212197
2015-04-26,1212197
2015-04-27,1162736
2015-04-28,1162736
2015-04-29,1162736
2015-04-30,1162736
2015-05-01,1162736
2015-05-02,1162736
2015-05-03,1162736
2015-05-04,1162736
2015-05-05,1162736
2015-05-06,1162736
2015-05-07,1162736
2015-05-08,1162736
2015-05-09,1162736
2015-05-10,1162736
2015-05-11,1162736
2015-05-12,1162736
2015-05-13,1162736
2015-05-14,1110307
2015-05-15,1110307
2015-05-16,1110307
2015-05-17,1110307
2015-05-18,1110307
2015-05-19,1110307
2015-05-20,1110307
2015-05-21,1110307
2015-05-22,1110307
2015-05-23,1110307
2015-05-24,1110307
2015-05-25,1110307
2015-05-26,1110307
2015-05-27,1110307
2015-05-28,1054836
2015-05-29,1054836
2015-05-30,1054836
2015-05-31,1054836
2015-06-01,1054836
2015-06-02,1054836
2015-06-03,1054836
2015-06-04,1054836
2015-06-05,1002864
2015-06-06,1002864
2015-06-07,1002864
2015-06-08,1002864
2015-06-09,1002864
2015-06-10,1002864
2015-06-11,1002864
2015-06-12,1002864
2015-06-13,1002864
2015-06-14,953509
2015-06-15,953509
2015-06-16,953509
2015-06-17,953509
2015-06-18,953509
2015-06-19,953509
2015-06-20,953509
2015-06-21,953509
2015-06-22,907185
2015-06-23,907185
2015-06-24,907185
2015-06-25,907185
2015-06-26,907185
2015-06-27,907185
2015-06-28,907185
2015-06-29,863308
2015-06-30,863308
2015-07-01,863308
2015-07-02,863308
2015-07-03,863308
2015-07-04,863308
2015-07-05,863308
2015-07-06,863308
2015-07-07,821262
2015-07-08,821262
2015-07-09,821262
2015-07-10,821262
2015-07-11,821262
2015-07-12,821262
2015-07-13,821262
2015-07-14,821262
2015-07-15,780799
2015-07-16,780799
2015-07-17,780799
2015-07-18,780799
2015-07-19,780799
2015-07-20,780799
2015-07-21,780799
2015-07-22,742299
2015-07-23,742299
2015-07-24,742299
2015-07-25,742299
2015-07-26,742299
2015-07-27,742299
2015-07-28,742299
2015-07-29,709804
2015-07-30,709804
2015-07-31,709804
2015-08-01,709804
2015-08-02,709804
2015-08-03,709804
2015-08-04,709804
2015-08-05,702428
2015-08-06,702428
2015-08-07,702428
2015-08-08,702428
2015-08-09,702428
2015-08-10,702428
2015-08-11,702428
2015-08-12,702428
2015-08-13,708148
2015-08-14,708148
2015-08-15,708148
2015-08-16,708148
2015-08-17,708148
2015-08-18,708148
2015-08-19,708148
2015-08-20,708148
2015-08-21,702013
2015-08-22,702013
2015-08-23,702013
2015-08-24,702013
2015-08-25,702013
2015-08-26,702013
2015-08-27,702013
2015-08-28,702013
2015-08-29,702013
2015-08-30,702013
2015-08-31,685729
2015-09-01,685729
2015-09-02,685729
2015-09-03,685729
2015-09-04,685729
2015-09-05,685729
2015-09-06,685729
2015-09-07,685729
2015-09-08,685729
2015-09-09,685729
2015-09-10,677018
2015-09-11,677018
2015-09-12,677018
2015-09-13,677018
2015-09-14,677018
2015-09-15,677018
2015-09-16,677018
2015-09-17,677018
2015-09-18,677018
2015-09-19,677018
2015-09-20,655367
2015-09-21,655367
2015-09-22,655367
2015-09-23,655367
2015-09-24,655367
2015-09-25,655367
2015-09-27,655367
2015-09-28,655367
2015-09-29,655367
2015-09-30,655367
2015-10-05,658861
2015-10-06,658861
2015-10-07,658861
2015-10-08,658861
2015-10-09,658861
2015-10-10,658861
2015-10-11,658861
2015-10-12,658861
2015-10-13,674581
2015-10-14,674581
2015-10-15,674581
2015-10-16,674581
2015-10-17,674581
2015-10-18,674581
2015-10-19,674581
2015-10-20,674581
2015-10-22,687280
2015-10-23,687280
2015-10-24,687280
2015-10-25,687280
2015-10-26,687280
2015-10-27,687280
2015-10-29,702038
2015-10-30,702038
2015-10-31,702038
2015-11-01,702038
2015-11-02,702038
2015-11-03,702038
2015-11-04,702038
2015-11-05,702038
2015-11-06,702038
2015-11-07,701875
2015-11-08,701875
2015-11-09,701875
2015-11-10,701875
2015-11-11,701875
2015-11-12,701875
2015-11-13,701875
2015-11-14,701875
2015-11-15,701875
2015-11-16,701875
2015-11-17,701875
2015-11-18,701875
2015-11-19,701656
2015-11-20,701656
2015-11-21,701656
2015-11-22,701656
2015-11-23,701656
2015-11-24,701656
2015-11-25,701656
2015-11-26,701656
2015-11-27,701656
2015-11-28,701656
2015-11-29,694064
2015-11-30,694064
2015-12-01,694064
2015-12-02,694064
2015-12-03,694064
2015-12-04,694064
2015-12-05,694064
2015-12-06,694064
2015-12-07,694064
2015-12-08,694064
2015-12-09,694064
2015-12-10,706145
2015-12-11,706145
2015-12-12,706145
2015-12-13,706145
2015-12-14,706145
2015-12-15,706145
2015-12-16,706145
2015-12-17,706145
2015-12-18,706145
2015-12-19,708799
2015-12-20,708799
2015-12-21,708799
2015-12-22,708799
2015-12-23,708799
2015-12-24,708799
2015-12-25,708799
2015-12-26,708799
2015-12-27,720079
2015-12-28,720079
2015-12-29,720079
2015-12-30,720079
2015-12-31,720079
2016-01-01,720079
2016-01-02,720079
2016-01-03,698838
2016-01-04,698838
2016-01-05,698838
2016-01-06,698838
2016-01-07,698838
2016-01-08,698838
2016-01-09,698838
2016-01-10,702502
2016-01-11,702502
2016-01-12,702502
2016-01-13,702502
2016-01-14,702502
2016-01-15,702502
2016-01-16,702502
2016-01-17,702101
2016-01-18,702101
2016-01-19,702101
2016-01-20,702101
2016-01-21,702101
2016-01-22,702101
2016-01-23,702101
2016-01-24,705677
2016-01-25,705677
2016-01-26,705677
2016-01-27,705677
2016-01-28,705677
2016-01-29,707676
2016-01-30,707676
2016-01-31,707676
2016-02-01,707676
2016-02-02,707676
2016-02-03,707676
2016-02-04,710150
2016-02-05,710150
2016-02-06,710150
2016-02-07,710150
2016-02-08,710150
2016-02-09,710150
2016-02-10,711996
2016-02-11,711996
2016-02-12,711996
2016-02-13,711996
2016-02-15,711996
2016-02-16,702843
2016-02-17,702843
2016-02-18,702843
2016-02-19,702843
2016-02-20,702843
2016-02-21,685759
2016-02-22,685759
2016-02-23,685759
2016-02-24,685759
2016-02-25,685759
2016-02-26,685759
2016-02-27,685759
2016-02-28,702056
2016-02-29,702056
2016-03-01,702056
2016-03-02,702056
2016-03-03,702056
2016-03-04,702056
2016-03-05,711215
2016-03-06,711215
2016-03-07,711215
2016-03-08,711215
2016-03-09,711215
2016-03-10,720115
2016-03-11,720115
2016-03-12,720115
2016-03-13,720115
2016-03-14,720115
2016-03-15,720115
2016-03-16,716070
2016-03-17,716070
2016-03-18,716070
2016-03-19,716070
2016-03-20,716070
2016-03-21,716578
2016-03-22,716578
2016-03-23,716578
2016-03-24,716578
2016-03-25,716578
2016-03-26,716578
2016-03-27,697261
2016-03-28,697261
2016-03-29,697261
2016-03-30,697261
2016-03-31,697261
