date_obj,Purple%20gloves price
2015-03-04,12860
2015-03-05,12860
2015-03-06,12217
2015-03-07,12217
2015-03-08,11606
2015-03-09,11606
2015-03-10,11035
2015-03-11,11035
2015-03-12,10503
2015-03-13,10503
2015-03-14,9977
2015-03-15,9977
2015-03-16,9491
2015-03-17,9491
2015-03-18,9031
2015-03-19,9031
2015-03-20,8579
2015-03-21,8579
2015-03-22,8185
2015-03-23,8185
2015-03-24,7790
2015-03-25,7790
2015-03-26,7400
2015-03-27,7400
2015-03-28,7037
2015-03-29,7037
2015-03-30,6685
2015-03-31,6685
2015-04-01,6360
2015-04-02,6360
2015-04-03,6042
2015-04-04,5752
2015-04-05,5752
2015-04-06,5464
2015-04-07,5464
2015-04-08,5190
2015-04-09,5190
2015-04-10,4930
2015-04-11,4930
2015-04-12,4683
2015-04-13,4683
2015-04-14,4448
2015-04-15,4448
2015-04-16,4225
2015-04-17,4225
2015-04-18,4026
2015-04-19,4026
2015-04-20,3848
2015-04-21,3848
2015-04-22,3660
2015-04-23,3660
2015-04-24,3477
2015-04-25,3477
2015-04-26,3303
2015-04-27,3303
2015-04-28,3137
2015-04-29,3137
2015-04-30,2980
2015-05-01,2834
2015-05-02,2834
2015-05-03,2749
2015-05-04,2749
2015-05-05,2643
2015-05-06,2539
2015-05-07,2539
2015-05-08,2432
2015-05-09,2432
2015-05-10,2343
2015-05-11,2343
2015-05-12,2264
2015-05-13,2264
2015-05-14,2175
2015-05-15,2175
2015-05-16,2072
2015-05-17,1970
2015-05-18,1970
2015-05-19,1899
2015-05-20,1899
2015-05-21,1899
2015-05-22,1810
2015-05-23,1810
2015-05-24,1741
2015-05-25,1709
2015-05-26,1709
2015-05-27,1623
2015-05-28,1623
2015-05-29,1551
2015-05-30,1543
2015-05-31,1543
2015-06-01,1495
2015-06-02,1495
2015-06-03,1454
2015-06-04,1454
2015-06-05,1404
2015-06-06,1338
2015-06-07,1338
2015-06-08,1283
2015-06-09,1222
2015-06-10,1179
2015-06-11,1179
2015-06-12,1162
2015-06-13,1162
2015-06-14,1137
2015-06-15,1137
2015-06-16,1081
2015-06-17,1081
2015-06-18,1056
2015-06-19,1056
2015-06-20,1017
2015-06-21,1017
2015-06-22,1018
2015-06-23,1018
2015-06-24,1021
2015-06-25,1021
2015-06-26,989
2015-06-27,989
2015-06-28,963
2015-06-29,963
2015-06-30,957
2015-07-01,957
2015-07-02,951
2015-07-03,961
2015-07-04,961
2015-07-05,950
2015-07-06,950
2015-07-07,943
2015-07-08,943
2015-07-09,943
2015-07-10,944
2015-07-11,944
2015-07-12,926
2015-07-13,926
2015-07-14,926
2015-07-15,925
2015-07-16,925
2015-07-17,908
2015-07-18,908
2015-07-19,908
2015-07-20,893
2015-07-21,893
2015-07-22,881
2015-07-23,881
2015-07-24,884
2015-07-25,884
2015-07-26,890
2015-07-27,890
2015-07-28,892
2015-07-29,893
2015-07-30,893
2015-07-31,901
2015-08-01,901
2015-08-02,898
2015-08-03,898
2015-08-04,900
2015-08-05,902
2015-08-06,902
2015-08-07,869
2015-08-08,875
2015-08-09,875
2015-08-10,866
2015-08-11,866
2015-08-12,862
2015-08-13,862
2015-08-14,867
2015-08-15,867
2015-08-16,870
2015-08-17,870
2015-08-18,871
2015-08-19,867
2015-08-20,867
2015-08-21,858
2015-08-22,858
2015-08-23,842
2015-08-24,841
2015-08-25,841
2015-08-26,835
2015-08-27,821
2015-08-28,821
2015-08-29,818
2015-08-30,818
2015-08-31,816
2015-09-02,822
2015-09-07,833
2015-09-08,834
2015-09-10,839
2015-09-14,842
2015-09-16,849
2015-09-22,873
2015-09-23,873
2015-09-24,880
2015-09-25,880
2015-09-27,888
2015-09-28,894
2015-09-29,894
2015-09-30,897
2015-10-05,959
2015-10-06,975
2015-10-07,975
2015-10-08,978
2015-10-09,978
2015-10-10,973
2015-10-11,968
2015-10-12,968
2015-10-13,991
2015-10-14,991
2015-10-15,998
2015-10-16,998
2015-10-17,1001
2015-10-18,1001
2015-10-19,990
2015-10-20,990
2015-10-22,974
2015-10-23,968
2015-10-24,968
2015-10-25,961
2015-10-26,961
2015-10-27,954
2015-10-29,960
2015-10-30,960
2015-10-31,924
2015-11-01,924
2015-11-02,905
2015-11-03,905
2015-11-04,905
2015-11-05,906
2015-11-06,906
2015-11-07,899
2015-11-08,899
2015-11-09,899
2015-11-10,886
2015-11-11,886
2015-11-12,878
2015-11-13,878
2015-11-14,855
2015-11-15,855
2015-11-16,857
2015-11-17,857
2015-11-18,854
2015-11-19,854
2015-11-20,863
2015-11-21,863
2015-11-22,869
2015-11-23,869
2015-11-24,869
2015-11-25,872
2015-11-26,872
2015-11-27,877
2015-11-28,877
2015-11-29,870
2015-11-30,870
2015-12-01,868
2015-12-02,868
2015-12-03,864
2015-12-04,864
2015-12-05,864
2015-12-06,858
2015-12-07,858
2015-12-08,864
2015-12-09,864
2015-12-10,864
2015-12-11,868
2015-12-12,868
2015-12-13,873
2015-12-14,873
2015-12-15,871
2015-12-16,871
2015-12-17,871
2015-12-18,871
2015-12-19,872
2015-12-20,872
2015-12-21,878
2015-12-22,878
2015-12-23,880
