date_obj,Rangers'%20tunic price
2015-03-26,7957268
2015-03-27,7957268
2015-03-28,7976306
2015-03-29,7944504
2015-03-30,8012095
2015-03-31,8194586
2015-04-01,8271873
2015-04-02,8274191
2015-04-03,8407996
2015-04-04,8528506
2015-04-05,8598757
2015-04-06,8524502
2015-04-07,8434221
2015-04-08,8426581
2015-04-09,8450907
2015-04-10,8634875
2015-04-11,8828866
2015-04-12,9028123
2015-04-13,9142999
2015-04-14,9128553
2015-04-15,9159317
2015-04-16,9079826
2015-04-17,8975960
2015-04-18,8898141
2015-04-19,8641572
2015-04-20,8292420
2015-04-21,8352348
2015-04-22,8270426
2015-04-23,8183292
2015-04-24,8063534
2015-04-25,7944797
2015-04-26,7756729
2015-04-27,7822847
2015-04-28,7945152
2015-04-29,7951269
2015-04-30,8095735
2015-05-01,7851288
2015-05-02,7552189
2015-05-03,7208551
2015-05-04,6899129
2015-05-05,6825978
2015-05-06,6823697
2015-05-07,6795399
2015-05-08,6683548
2015-05-09,6612658
2015-05-10,6568117
2015-05-11,6509650
2015-05-12,6526142
2015-05-13,6463814
2015-05-14,6359842
2015-05-15,6258741
2015-05-16,6149178
2015-05-17,5983181
2015-05-18,5868997
2015-05-19,5805908
2015-05-20,5730100
2015-05-21,5657475
2015-05-22,5559007
2015-05-23,5499441
2015-05-24,5456796
2015-05-25,5371152
2015-05-26,5514121
2015-05-27,5623880
2015-05-28,5885776
2015-05-29,6013350
2015-05-30,6212261
2015-05-31,6421551
2015-06-01,6343703
2015-06-02,6166586
2015-06-03,5969590
2015-06-04,5927122
2015-06-05,5961318
2015-06-06,6082824
2015-06-07,6100276
2015-06-08,6128763
2015-06-09,6114548
2015-06-10,6126440
2015-06-11,6077785
2015-06-12,6057890
2015-06-13,6023001
2015-06-14,5956633
2015-06-15,5973086
2015-06-16,5989256
2015-06-17,6042153
2015-06-18,5970664
2015-06-19,5985195
2015-06-20,6059869
2015-06-21,6073358
2015-06-22,6286557
2015-06-23,6555125
2015-06-24,6605598
2015-06-25,6653791
2015-06-26,6541131
2015-06-27,6714839
2015-06-28,6872483
2015-06-29,6977743
2015-06-30,6972578
2015-07-01,7101790
2015-07-02,7172045
2015-07-03,7343045
2015-07-04,7674427
2015-07-05,7901195
2015-07-06,7821620
2015-07-07,7822661
2015-07-08,7813302
2015-07-09,7764957
2015-07-10,7807665
2015-07-11,7783705
2015-07-12,7673026
2015-07-13,7471183
2015-07-14,7484076
2015-07-15,7511910
2015-07-16,7551226
2015-07-17,7659747
2015-07-18,7859071
2015-07-19,7938541
2015-07-20,7934415
2015-07-21,7912484
2015-07-22,7889590
2015-07-23,7809661
2015-07-24,7951798
2015-07-25,8167760
2015-07-26,8232315
2015-07-27,8315837
2015-07-28,8650544
2015-07-29,8929249
2015-07-30,9310916
2015-07-31,9636989
2015-08-01,9813828
2015-08-02,10120215
2015-08-03,10125566
2015-08-04,9996586
2015-08-05,9838259
2015-08-06,9995013
2015-08-07,9973160
2015-08-08,9918605
2015-08-09,9692802
2015-08-10,9216841
2015-08-11,8757744
2015-08-12,8501695
2015-08-13,8204224
2015-08-14,8115261
2015-08-15,8179715
2015-08-16,8218675
2015-08-17,8286106
2015-08-18,8654865
2015-08-19,8835007
2015-08-20,8880210
2015-08-21,9069610
2015-08-22,9312619
2015-08-23,9213919
2015-08-24,9253688
2015-08-25,9183951
2015-08-26,9096674
2015-08-27,8826628
2015-08-28,8871400
2015-08-29,8675632
2015-08-30,8311811
2015-08-31,8356647
2015-09-01,8540522
2015-09-02,8953176
2015-09-03,8920877
2015-09-04,8663278
2015-09-05,8558614
2015-09-06,8517953
2015-09-07,8444360
2015-09-08,8440436
2015-09-09,8334163
2015-09-10,8243541
2015-09-11,8288586
2015-09-12,8203625
2015-09-13,8008354
2015-09-14,8046391
2015-09-15,7972804
2015-09-16,8046909
2015-09-17,8146910
2015-09-18,8438403
2015-09-19,8855470
2015-09-20,8904663
2015-09-21,9208253
2015-09-22,9547019
2015-09-23,9688138
2015-09-24,9623461
2015-09-25,9454266
2015-09-27,8879642
2015-09-28,8786577
2015-09-29,8883171
2015-09-30,8960204
2015-10-05,8795346
2015-10-06,8869177
2015-10-07,9066973
2015-10-08,8989579
2015-10-09,8953288
