date_obj,Hill%20giant%20club price
2016-10-05,42500
2016-10-06,44400
2016-10-07,46490
2016-10-08,48765
2016-10-09,51002
2016-10-10,53419
2016-10-11,55991
2016-10-12,58725
2016-10-13,61554
2016-10-14,64470
2016-10-15,67599
2016-10-16,70885
2016-10-17,74376
2016-10-18,77481
2016-10-19,81225
2016-10-20,85196
2016-10-21,89347
2016-10-22,93694
2016-10-23,98288
2016-10-24,102606
2016-10-25,102606
2016-10-26,107469
2016-10-27,112427
2016-10-28,117663
2016-10-29,123216
2016-10-30,128938
2016-10-31,135104
2016-11-01,135104
2016-11-02,141541
2016-11-03,141541
2016-11-04,148334
2016-11-05,148334
2016-11-06,155317
2016-11-07,162401
2016-11-08,170141
2016-11-09,178140
2016-11-10,185455
2016-11-11,185455
2016-11-12,194204
2016-11-13,194204
2016-11-14,203054
2016-11-15,203054
2016-12-07,315571
2016-12-08,330053
2016-12-09,330053
2016-12-10,330053
2016-12-11,345417
2016-12-12,345417
2016-12-13,345417
2016-12-14,361683
2016-12-15,361683
2016-12-16,361683
2016-12-17,378343
2016-12-18,378343
2016-12-19,378343
2016-12-20,396161
2016-12-21,396161
2016-12-22,396161
2016-12-23,414084
2016-12-24,414084
2016-12-25,414084
2016-12-26,433082
2016-12-27,433082
2016-12-28,433082
2016-12-29,453446
2016-12-30,453446
2016-12-31,453446
2017-01-01,474315
2017-01-02,474315
2017-01-03,474315
2017-01-04,496866
2017-01-05,496866
2017-01-06,496866
2017-01-07,519804
2017-01-08,519804
2017-01-09,543176
2017-01-10,543176
2017-01-11,543176
2017-01-12,567343
2017-01-13,567343
2017-01-14,567343
2017-01-15,594394
2017-01-16,594394
2017-01-17,619885
2017-01-18,619885
2017-01-19,619885
2017-01-20,649177
2017-01-21,649177
2017-01-22,680227
2017-01-23,680227
2017-01-27,712681
2017-01-28,746749
2017-01-29,746749
2017-01-30,746749
2017-01-31,782177
2017-02-01,782177
2017-02-02,818546
2017-02-03,818546
2017-02-04,818546
2017-02-05,857584
2017-02-06,857584
2017-02-07,857584
2017-02-08,898221
2017-02-09,898221
2017-02-10,898221
2017-02-11,940204
2017-02-12,940204
2017-02-13,940204
2017-02-14,940204
2017-02-15,984935
2017-02-16,984935
2017-02-18,984935
2017-02-19,1030801
2017-02-20,1030801
2017-02-21,1030801
2017-02-22,1030801
2017-02-23,1030801
2017-02-24,1077537
2017-02-25,1077537
2017-02-26,1077537
2017-02-27,1077537
2017-02-28,1128570
2017-03-01,1128570
2017-03-02,1128570
2017-03-03,1128570
2017-03-04,1184999
2017-03-05,1184999
2017-03-06,1184999
2017-03-07,1184999
