date_obj,Mithril%20set%20(sk) price
2015-03-26,24955
2015-03-27,24955
2015-03-28,24955
2015-03-29,24955
2015-03-30,24955
2015-03-31,24955
2015-04-01,23937
2015-04-02,23937
2015-04-03,23937
2015-04-04,23937
2015-04-05,23937
2015-04-06,23937
2015-04-07,23937
2015-04-08,23937
2015-04-09,23937
2015-04-10,22740
2015-04-11,22740
2015-04-12,22740
2015-04-13,22740
2015-04-14,22740
2015-04-15,22740
2015-04-16,22740
2015-04-17,22740
2015-04-18,22740
2015-04-19,21628
2015-04-20,21628
2015-04-21,21628
2015-04-22,21628
2015-04-23,21628
2015-04-24,21628
2015-04-25,21628
2015-04-26,21628
2015-04-27,21628
2015-04-28,20578
2015-04-29,20578
2015-04-30,20578
2015-05-01,20578
2015-05-02,20578
2015-05-03,20578
2015-05-04,20578
2015-05-05,20578
2015-05-06,20578
2015-05-07,20578
2015-05-08,19580
2015-05-09,19580
2015-05-10,19580
2015-05-11,19580
2015-05-12,19580
2015-05-13,19580
2015-05-14,19580
2015-05-15,19580
2015-05-16,19580
2015-05-17,19580
2015-05-18,18628
2015-05-19,18628
2015-05-20,18628
2015-05-21,18628
2015-05-22,18628
2015-05-23,18628
2015-05-24,18628
2015-05-25,18628
2015-05-26,18628
2015-05-27,18628
2015-05-28,17696
2015-05-29,17696
2015-05-30,17696
2015-05-31,17696
2015-06-01,17696
2015-06-02,17696
2015-06-03,16829
2015-06-04,16829
2015-06-05,16829
2015-06-06,16829
2015-06-07,16829
2015-06-08,16829
2015-06-09,15987
2015-06-10,15987
2015-06-11,15987
2015-06-12,15987
2015-06-13,15987
2015-06-14,15215
2015-06-15,15215
2015-06-16,15215
2015-06-17,15215
2015-06-18,15215
2015-06-19,15215
2015-06-20,14487
2015-06-21,14487
2015-06-22,14487
2015-06-23,14487
2015-06-24,14487
2015-06-25,14487
2015-06-26,13772
2015-06-27,13772
2015-06-28,13772
2015-06-29,13772
2015-06-30,13772
2015-07-01,13772
2015-07-02,13772
2015-07-03,13182
2015-07-04,13182
2015-07-05,13182
2015-07-06,13182
2015-07-07,13182
2015-07-08,13182
2015-07-09,12532
2015-07-10,12532
2015-07-11,12532
2015-07-12,12532
2015-07-13,12532
2015-07-14,12404
2015-07-15,12404
2015-07-16,12404
2015-07-17,12404
2015-07-18,12404
2015-07-19,12264
2015-07-20,12264
2015-07-21,12264
2015-07-22,12264
2015-07-23,12264
2015-07-24,12264
2015-07-25,11771
2015-07-26,11771
2015-07-27,11771
2015-07-28,11771
2015-07-29,11771
2015-07-30,11771
2015-07-31,11214
2015-08-01,11214
2015-08-02,11214
2015-08-03,11214
2015-08-04,11214
2015-08-05,11331
2015-08-06,11331
2015-08-07,11331
2015-08-08,11331
2015-08-09,11331
2015-08-10,11566
2015-08-11,11566
2015-08-12,11566
2015-08-13,11566
2015-08-14,11566
2015-08-15,11566
2015-08-16,11711
2015-08-17,11711
2015-08-18,11711
2015-08-19,11711
2015-08-20,11711
2015-08-21,11711
2015-08-22,11356
2015-08-23,11356
2015-08-24,11356
2015-08-25,11356
2015-08-26,11356
2015-08-27,11356
2015-08-28,11356
2015-08-29,11363
2015-08-30,11363
2015-08-31,11363
2015-09-01,11363
2015-09-02,11363
2015-09-03,11363
2015-09-04,11363
2015-09-05,11363
2015-09-06,11151
2015-09-07,11151
2015-09-08,11151
2015-09-09,11151
2015-09-10,11151
2015-09-11,11151
2015-09-12,11151
2015-09-13,11135
2015-09-14,11135
2015-09-15,11135
2015-09-16,11135
2015-09-17,11135
2015-09-18,11135
2015-09-19,11250
2015-09-20,11250
2015-09-21,11250
2015-09-22,11250
2015-09-23,11250
2015-09-24,11250
2015-09-25,11250
2015-09-27,11669
2015-09-28,11669
2015-09-29,11669
2015-09-30,11669
2015-10-05,11894
2015-10-06,11894
2015-10-07,11894
2015-10-08,11894
2015-10-09,11894
2015-10-10,11894
2015-10-11,11874
2015-10-12,11874
2015-10-13,11874
2015-10-14,11874
2015-10-15,11874
2015-10-16,11874
2015-10-17,11874
2015-10-18,11874
2015-10-19,12010
2015-10-20,12010
2015-10-22,12010
2015-10-23,12010
2015-10-24,12010
2015-10-25,12010
2015-10-26,12010
2015-10-27,12324
2015-10-29,12324
2015-10-30,12324
2015-10-31,12324
2015-11-01,12324
2015-11-02,12324
2015-11-03,12032
2015-11-04,12032
2015-11-05,12032
2015-11-06,12032
2015-11-07,12032
2015-11-08,12032
2015-11-09,11438
2015-11-10,11438
2015-11-11,11438
2015-11-12,11438
2015-11-13,11438
2015-11-14,11438
2015-11-15,11156
2015-11-16,11156
2015-11-17,11156
2015-11-18,11156
2015-11-19,11156
2015-11-20,11156
2015-11-21,11156
2015-11-22,10659
2015-11-23,10659
2015-11-24,10659
2015-11-25,10659
2015-11-26,10659
2015-11-27,10151
2015-11-28,10151
2015-11-29,10151
2015-11-30,10151
2015-12-01,10151
2015-12-02,9836
2015-12-03,9836
2015-12-04,9836
2015-12-05,9836
2015-12-06,9836
2015-12-07,9597
2015-12-08,9597
2015-12-09,9597
2015-12-10,9597
2015-12-11,9597
2015-12-12,9597
2015-12-13,9708
2015-12-14,9708
2015-12-15,9708
2015-12-16,9708
2015-12-17,9708
2015-12-18,9708
2015-12-19,9534
2015-12-20,9534
2015-12-21,9534
2015-12-22,9534
2015-12-23,9534
2015-12-24,9534
2015-12-25,9377
2015-12-26,9377
2015-12-27,9377
2015-12-28,9377
2015-12-29,9377
2015-12-30,9146
2015-12-31,9146
2016-01-01,9146
2016-01-02,9146
2016-01-03,9146
2016-01-04,9101
2016-01-05,9101
2016-01-06,9101
2016-01-07,9101
2016-01-08,9101
2016-01-09,9101
2016-01-10,9365
2016-01-11,9365
2016-01-12,9365
2016-01-13,9365
2016-01-14,9365
2016-01-15,9365
2016-01-16,9646
2016-01-17,9646
2016-01-18,9646
2016-01-19,9646
2016-01-20,9646
2016-01-21,9646
2016-01-22,9684
2016-01-23,9684
2016-01-24,9684
2016-01-25,9684
2016-01-26,9684
2016-01-27,9684
2016-01-28,9205
2016-01-29,9205
2016-01-30,9205
2016-01-31,9205
2016-02-01,9205
2016-02-02,8759
2016-02-03,8759
2016-02-04,8759
2016-02-05,8759
2016-02-06,8759
2016-02-07,8404
2016-02-08,8404
2016-02-09,8404
2016-02-10,8404
2016-02-11,8404
2016-02-12,8244
2016-02-13,8244
2016-02-14,8244
2016-02-15,8244
2016-02-16,8244
2016-02-17,8180
2016-02-18,8180
2016-02-19,8180
2016-02-20,8180
2016-02-21,8180
2016-02-22,8180
2016-02-23,7956
2016-02-24,7956
2016-02-25,7956
2016-02-26,7956
2016-02-27,8042
2016-02-28,8042
2016-02-29,8042
2016-03-01,8042
2016-03-02,8042
2016-03-03,8010
2016-03-04,8010
2016-03-05,8010
2016-03-06,8010
2016-03-07,8010
2016-03-08,8010
2016-03-09,8048
2016-03-10,8048
2016-03-11,8048
2016-03-12,8048
2016-03-13,8048
2016-03-14,8048
2016-03-15,8048
2016-03-16,8295
2016-03-17,8295
2016-03-18,8295
2016-03-19,8295
2016-03-20,8295
2016-03-21,8295
2016-03-22,8295
2016-03-23,8571
