date_obj,Steel%20platelegs%20(g) price
2016-07-06,750000
2016-07-07,750000
2016-07-08,715921
2016-07-09,715921
2016-07-10,715921
2016-07-11,681436
2016-07-12,681436
2016-07-13,681436
2016-07-14,648304
2016-07-15,648304
2016-07-16,648304
2016-07-17,617583
2016-07-18,617583
2016-07-24,560036
2016-07-25,560036
2016-07-26,533052
2016-07-27,533052
2016-07-28,533052
2016-07-29,507120
2016-07-30,507120
2016-07-31,507120
2016-08-01,483976
2016-08-02,483976
2016-08-03,483976
2016-08-04,483976
2016-08-05,461254
2016-08-06,461254
2016-08-07,461254
2016-08-08,461254
2016-08-09,461254
2016-08-10,438824
2016-08-11,438824
2016-08-12,438824
2016-08-13,438824
2016-08-14,438824
2016-08-15,438824
2016-08-16,438824
2016-08-17,417672
2016-08-18,417672
2016-08-19,417672
2016-08-20,417672
2016-08-21,417672
2016-08-22,417672
2016-08-23,417672
2016-08-24,398040
2016-08-25,398040
2016-08-26,398040
2016-08-28,398040
2016-08-31,379043
2016-09-01,379043
2016-09-02,379043
2016-09-03,379043
2016-09-04,379043
2016-09-05,379043
2016-09-06,360810
2016-09-07,360810
2016-09-08,360810
2016-09-09,360810
2016-09-10,360810
2016-09-11,360810
2016-09-12,360810
2016-09-13,343353
2016-09-14,343353
2016-09-15,343353
2016-09-16,343353
2016-09-17,343353
2016-09-18,343353
2016-09-19,343353
2016-09-20,343353
2016-09-21,326917
2016-09-22,326917
2016-09-23,326917
2016-09-24,326917
2016-09-25,326917
2016-09-26,326917
2016-09-27,326917
2016-09-28,311414
2016-09-29,311414
2016-09-30,311414
2016-10-01,311414
2016-10-02,311414
2016-10-03,311414
2016-10-04,311414
2016-10-05,311414
2016-10-06,296992
2016-10-07,296992
2016-10-08,296992
2016-10-09,296992
2016-10-10,296992
2016-10-11,296992
2016-10-12,296992
2016-10-13,282966
2016-10-14,282966
2016-10-15,282966
2016-10-16,282966
2016-10-17,282966
2016-10-18,282966
2016-10-19,282966
2016-10-20,282966
2016-10-21,269415
2016-10-22,269415
2016-10-23,269415
2016-10-24,269415
2016-10-25,269415
2016-10-26,269415
2016-10-27,269415
2016-10-28,269415
2016-10-29,256399
2016-10-30,256399
2016-10-31,42000
2016-11-01,42000
2016-11-02,42000
2016-11-03,42000
2016-11-04,42000
2016-11-05,42000
2016-11-06,42000
2016-11-07,42000
2016-11-08,42000
2016-11-09,42000
2016-11-10,42000
2016-11-11,40432
2016-11-12,40432
2016-11-13,40432
2016-11-14,40432
2016-12-08,36810
2016-12-09,35103
2016-12-10,35103
2016-12-11,35103
2016-12-12,35103
2016-12-13,35103
2016-12-14,35103
2016-12-15,35103
2016-12-16,35103
2016-12-17,35103
2016-12-18,33447
2016-12-19,33447
2016-12-20,33447
2016-12-21,33447
2016-12-22,33447
2016-12-23,33447
2016-12-24,33447
2016-12-25,33447
2016-12-26,33447
2016-12-27,31852
2016-12-28,31852
2016-12-29,31852
2016-12-30,31852
2016-12-31,31852
2017-01-01,31852
2017-01-02,31852
2017-01-03,31852
2017-01-04,31852
2017-01-05,30364
2017-01-06,30364
2017-01-07,30364
2017-01-08,30364
2017-01-09,30364
2017-01-10,30364
2017-01-11,30364
2017-01-12,28933
2017-01-13,28933
2017-01-14,28933
2017-01-15,28933
2017-01-16,28933
2017-01-17,28933
2017-01-18,28933
2017-01-19,27566
2017-01-20,27566
2017-01-21,27566
2017-01-22,27566
2017-01-27,26623
2017-01-28,26623
2017-01-29,26623
2017-01-30,26623
2017-01-31,26623
2017-02-01,26623
2017-02-02,26623
2017-02-03,26623
2017-02-04,25333
2017-02-05,25333
2017-02-06,25333
2017-02-07,25333
2017-02-08,25333
2017-02-09,25333
2017-02-10,25333
2017-02-11,24146
2017-02-12,24146
2017-02-13,24146
2017-02-14,24146
2017-02-15,24146
2017-02-16,24146
2017-02-18,24146
2017-02-19,23026
2017-02-20,23026
2017-02-21,23026
2017-02-22,23026
2017-02-23,23026
2017-02-24,23026
2017-02-25,23026
2017-02-26,22018
2017-02-27,22018
2017-02-28,22018
2017-03-01,22018
2017-03-02,22018
2017-03-03,22018
2017-03-04,21128
2017-03-05,21128
2017-03-06,21128
2017-03-07,21128
2017-03-08,21128
2017-03-09,21128
2017-03-10,21128
2017-03-11,20297
2017-03-12,20297
2017-03-13,20297
2017-03-14,20297
2017-03-15,20297
2017-03-16,20297
2017-03-17,20297
2017-03-18,19344
2017-03-19,19344
2017-03-20,19344
2017-03-21,19344
2017-03-22,19344
2017-03-23,19344
2017-03-24,19344
2017-03-25,18465
2017-03-26,18465
2017-03-27,18465
2017-03-28,18465
2017-03-29,18465
2017-03-30,18465
2017-03-31,17738
2017-04-01,17738
2017-04-02,17738
2017-04-03,17738
2017-04-04,17738
2017-04-12,16901
2017-04-13,16901
2017-04-14,16901
2017-04-15,16446
2017-04-16,16446
