date_obj,Bandos%20hilt price
2015-03-26,2183150
2015-03-27,2183150
2015-03-28,2278390
2015-03-29,2278390
2015-03-30,2278390
2015-03-31,2278390
2015-04-01,2278390
2015-04-02,2278390
2015-04-03,2278390
2015-04-04,2278390
2015-04-05,2278390
2015-04-06,2278390
2015-04-07,2278390
2015-04-08,2278390
2015-04-09,2278390
2015-04-10,2278390
2015-04-11,2278390
2015-04-12,2357173
2015-04-13,2357173
2015-04-14,2357173
2015-04-15,2357173
2015-04-16,2357173
2015-04-17,2458243
2015-04-18,2458243
2015-04-19,2458243
2015-04-20,2458243
2015-04-21,2458243
2015-04-22,2458243
2015-04-23,2570491
2015-04-24,2570491
2015-04-25,2570491
2015-04-26,2570491
2015-04-27,2570491
2015-04-28,2570491
2015-04-29,2570491
2015-04-30,2570491
2015-05-01,2686007
2015-05-02,2686007
2015-05-03,2686007
2015-05-04,2686007
2015-05-05,2686007
2015-05-06,2686007
2015-05-07,2686007
2015-05-08,2686007
2015-05-09,2686007
2015-05-10,2686007
2015-05-11,2686007
2015-05-12,2686007
2015-05-13,2686007
2015-05-14,2801598
2015-05-15,2801598
2015-05-16,2801598
2015-05-17,2801598
2015-05-18,2801598
2015-05-19,2801598
2015-05-20,2801598
2015-05-21,2801598
2015-05-22,2801598
2015-05-23,2801598
2015-05-24,2801598
2015-05-25,2801598
2015-05-26,2801598
2015-05-27,2801598
2015-05-28,2929317
2015-05-29,2929317
2015-05-30,2929317
2015-05-31,2929317
2015-06-01,2929317
2015-06-02,2929317
2015-06-03,2929317
2015-06-04,2929317
2015-06-05,2929317
2015-06-06,3063494
2015-06-07,3063494
2015-06-08,3063494
2015-06-09,3063494
2015-06-10,3063494
2015-06-11,3063494
2015-06-12,3063494
2015-06-13,3063494
2015-06-14,3063494
2015-06-15,3063494
2015-06-16,3204525
2015-06-17,3204525
2015-06-18,3204525
2015-06-19,3204525
2015-06-20,3204525
2015-06-21,3204525
2015-06-22,3204525
2015-06-23,3204525
2015-06-24,3204525
2015-06-25,3204525
2015-06-26,3204525
2015-06-27,3337460
2015-06-28,3337460
2015-06-29,3337460
2015-06-30,3337460
2015-07-01,3337460
2015-07-02,3337460
2015-07-03,3337460
2015-07-04,3337460
2015-07-05,3337460
2015-07-06,3337460
2015-07-07,3337460
2015-07-08,3466097
2015-07-09,3466097
2015-07-10,3466097
2015-07-11,3466097
2015-07-12,3466097
2015-07-13,3466097
2015-07-14,3466097
2015-07-15,3466097
2015-07-16,3466097
2015-07-17,3466097
2015-07-18,3466097
2015-07-19,3562390
2015-07-20,3562390
2015-07-21,3562390
2015-07-22,3562390
2015-07-23,3562390
2015-07-24,3562390
2015-07-25,3562390
2015-07-26,3562390
2015-07-27,3562390
2015-07-28,3562390
2015-07-29,3708236
2015-07-30,3708236
2015-07-31,3708236
2015-08-01,3708236
2015-08-02,3708236
2015-08-03,3708236
2015-08-04,3708236
2015-08-05,3708236
2015-08-06,3708236
2015-08-07,3708236
2015-08-08,3708236
2015-08-09,3860443
2015-08-10,3860443
2015-08-11,3860443
2015-08-12,3860443
2015-08-13,3860443
2015-08-14,3860443
2015-08-15,3860443
2015-08-16,3860443
2015-08-17,3860443
2015-08-18,3860443
2015-08-19,3860443
2015-08-20,3860443
2015-08-21,3874709
2015-08-22,3874709
2015-08-23,3874709
2015-08-24,3874709
2015-08-25,3874709
2015-08-26,3874709
2015-08-27,3874709
2015-08-28,3874709
2015-08-29,3874709
2015-08-30,3874709
2015-08-31,3874709
2015-09-01,3711825
2015-09-02,3711825
2015-09-03,3711825
2015-09-04,3711825
2015-09-05,3711825
2015-09-06,3711825
2015-09-07,3711825
2015-09-08,3711825
