date_obj,Cat%20mask price
2015-03-26,46230
2015-03-27,46230
2015-03-28,45096
2015-03-29,45096
2015-03-30,44431
2015-03-31,44431
2015-04-01,43823
2015-04-02,43823
2015-04-03,42625
2015-04-04,42625
2015-04-05,41686
2015-04-06,41686
2015-04-07,40432
2015-04-08,40432
2015-04-09,40432
2015-04-10,39901
2015-04-11,39901
2015-04-12,38501
2015-04-13,38501
2015-04-14,37344
2015-04-15,37344
2015-04-16,36954
2015-04-17,36954
2015-04-18,36523
2015-04-19,36523
2015-04-20,36378
2015-04-21,36378
2015-04-22,34935
2015-04-23,34498
2015-04-24,34498
2015-04-25,34137
2015-04-26,34137
2015-04-27,33591
2015-04-28,33591
2015-04-29,32535
2015-04-30,31293
2015-05-01,30266
2015-05-02,30266
2015-05-03,29568
2015-05-04,29568
2015-05-05,28518
2015-05-06,28246
2015-05-07,28613
2015-05-08,28613
2015-05-09,28987
2015-05-10,28987
2015-05-11,29320
2015-05-12,29679
2015-05-13,29679
2015-05-14,29650
2015-05-15,29650
2015-05-16,29650
2015-05-17,29280
2015-05-18,29280
2015-05-19,28916
2015-05-20,28916
2015-05-21,28916
2015-05-22,28690
2015-05-23,28690
2015-05-24,28856
2015-05-25,28457
2015-05-26,28457
2015-05-27,27918
2015-05-28,27918
2015-05-29,26906
2015-05-30,26233
2015-05-31,26233
2015-06-01,25704
2015-06-02,25704
2015-06-03,25143
2015-06-04,25143
2015-06-05,24670
2015-06-06,24670
2015-06-07,24355
2015-06-08,24355
2015-06-09,23707
2015-06-10,23707
2015-06-11,24031
2015-06-12,24031
2015-06-13,25026
2015-06-14,25026
2015-06-15,25001
2015-06-16,25001
2015-06-17,24802
2015-06-18,24802
2015-06-19,24927
2015-06-20,24927
2015-06-21,24405
2015-06-22,24405
2015-06-23,24199
2015-06-24,24199
2015-06-25,24239
2015-06-26,24239
2015-06-27,24200
2015-06-28,24200
2015-06-29,23980
2015-06-30,23980
2015-07-01,23938
2015-07-02,23938
2015-07-03,23750
2015-07-04,23750
2015-07-05,23842
2015-07-06,23842
2015-07-07,23920
2015-07-08,23920
2015-07-09,23959
2015-07-10,23959
2015-07-11,23870
2015-07-12,23870
2015-07-13,24071
2015-07-14,24071
2015-07-15,23705
2015-07-16,23705
2015-07-17,23866
2015-07-18,23866
2015-07-19,24610
2015-07-20,24610
2015-07-21,24118
2015-07-22,24015
2015-07-23,24015
2015-07-24,23999
2015-07-25,23999
2015-07-26,23803
2015-07-27,23803
2015-07-28,22706
2015-07-29,22010
2015-07-30,22010
2015-07-31,21628
2015-08-01,21628
2015-08-02,21550
2015-08-03,21550
2015-08-04,21574
2015-08-05,21574
2015-08-06,21375
2015-08-07,21375
2015-08-08,21484
2015-08-09,21484
2015-08-10,21472
2015-08-11,21472
2015-08-12,21718
2015-08-13,21718
2015-08-14,21880
2015-08-15,21880
2015-08-16,22297
2015-08-17,22297
2015-08-18,22403
2015-08-19,22403
2015-08-20,22719
2015-08-21,22719
2015-08-22,22917
2015-08-23,22917
2015-08-24,22996
2015-08-25,22996
2015-08-26,22996
2015-08-27,23186
2015-08-28,23186
2015-08-29,22743
2015-08-30,22743
2015-08-31,22991
2015-09-01,22991
2015-09-02,22991
2015-09-03,23160
2015-09-04,23160
2015-09-05,24195
2015-09-06,24195
2015-09-07,24433
2015-09-08,24433
2015-09-09,25373
2015-09-10,25373
2015-09-11,26560
2015-09-12,26560
2015-09-13,27367
2015-09-14,27367
2015-09-15,28470
2015-09-16,28470
2015-09-17,29449
2015-09-18,29449
2015-09-19,29449
2015-09-20,29654
2015-09-21,29654
2015-09-22,28661
2015-09-23,28661
2015-09-24,27573
2015-09-25,27573
2015-09-27,27097
2015-09-28,27097
2015-09-29,27097
2015-09-30,26481
2015-10-05,26361
2015-10-06,25858
2015-10-07,25858
2015-10-08,26389
2015-10-09,26389
2015-10-10,26742
2015-10-11,26742
2015-10-12,27804
2015-10-13,27804
2015-10-14,27804
2015-10-15,28125
2015-10-16,28125
2015-10-17,28125
2015-10-18,28999
2015-10-19,28999
2015-10-20,29696
2015-10-22,29295
2015-10-23,29295
2015-10-24,30078
2015-10-25,30078
2015-10-26,31393
2015-10-27,31393
2015-10-29,32810
2015-10-30,32810
2015-10-31,32810
2015-11-01,32472
2015-11-02,32472
2015-11-03,32472
2015-11-04,30893
2015-11-05,30893
2015-11-06,30893
2015-11-07,29348
2015-11-08,29348
2015-11-09,29348
2015-11-10,28108
2015-11-11,28108
2015-11-12,28108
2015-11-13,27392
2015-11-14,27392
2015-11-15,27392
2015-11-16,26408
2015-11-17,26408
2015-11-18,26408
2015-11-19,26226
2015-11-20,26226
2015-11-21,26226
2015-11-22,26069
2015-11-23,26069
2015-11-24,26069
2015-11-25,26260
2015-11-26,26260
2015-11-27,26260
2015-11-28,25544
2015-11-29,25544
2015-11-30,25864
2015-12-01,25864
2015-12-02,25864
2015-12-03,25911
2015-12-04,25911
2015-12-05,25911
2015-12-06,26238
2015-12-07,26238
2015-12-08,26238
2015-12-09,26389
2015-12-10,26389
2015-12-11,26389
2015-12-12,26884
2015-12-13,26884
2015-12-14,26884
2015-12-15,27298
2015-12-16,27298
2015-12-17,27298
2015-12-18,27412
2015-12-19,27412
2015-12-20,28569
2015-12-21,28569
2015-12-22,29179
2015-12-23,29179
2015-12-24,29179
2015-12-25,29266
2015-12-26,29266
2015-12-27,29527
2015-12-28,29527
2015-12-29,30134
2015-12-30,30134
2015-12-31,30134
2016-01-01,30037
2016-01-02,30037
2016-01-03,29765
2016-01-04,29765
2016-01-05,29886
2016-01-06,29886
2016-01-07,29886
2016-01-08,29240
2016-01-09,29240
2016-01-10,29240
2016-01-11,28772
2016-01-12,28772
2016-01-13,28344
2016-01-14,28344
2016-01-15,28574
2016-01-16,28574
2016-01-17,28574
2016-01-18,28734
2016-01-19,28734
2016-01-20,28734
2016-01-21,28411
2016-01-22,28411
2016-01-23,27647
2016-01-24,27647
2016-01-25,27426
2016-01-26,27426
2016-01-27,28065
2016-01-28,28065
2016-01-29,29058
2016-01-30,29058
2016-01-31,30404
2016-02-01,30404
2016-02-02,31800
2016-02-03,31800
2016-02-04,33245
2016-02-05,33245
2016-02-06,34797
2016-02-07,34797
2016-02-08,36419
2016-02-09,36419
2016-02-10,38240
2016-02-11,38240
2016-02-12,38240
2016-02-13,39911
2016-02-14,39911
2016-02-15,39911
2016-02-16,41490
2016-02-17,41490
2016-02-18,41490
2016-02-19,42492
2016-02-20,42492
2016-02-21,42550
2016-02-22,42550
2016-02-23,42550
2016-02-24,42550
2016-02-25,42550
2016-02-26,42002
2016-02-27,42002
2016-02-28,41772
2016-02-29,41772
2016-03-01,42308
2016-03-02,42308
2016-03-03,40710
2016-03-04,40710
2016-03-05,40108
2016-03-06,40108
2016-03-07,40278
2016-03-08,40278
2016-03-09,40092
2016-03-10,40092
2016-03-11,40499
2016-03-12,40499
2016-03-13,40944
2016-03-14,40944
2016-03-15,40822
2016-03-16,40822
2016-03-17,40786
2016-03-18,40786
2016-03-19,41068
2016-03-20,41068
2016-03-21,41257
2016-03-22,41257
2016-03-23,41257
2016-03-24,40537
2016-03-25,40537
2016-03-26,41022
2016-03-27,41022
2016-03-28,40956
2016-03-29,40956
2016-03-30,40956
2016-03-31,41007
2016-04-01,41007
2016-04-02,40729
2016-04-03,40729
2016-04-04,39748
2016-04-05,39748
2016-04-06,39027
2016-04-07,39027
2016-04-08,37852
2016-04-09,37852
2016-04-10,37037
2016-04-11,37037
2016-04-12,37037
2016-04-13,35979
2016-04-14,35979
2016-04-15,35188
2016-04-16,35188
2016-04-17,34722
2016-04-18,34722
2016-04-19,33911
2016-04-20,33911
2016-04-21,32546
2016-04-22,32546
2016-04-23,30918
2016-04-24,30918
2016-04-25,29611
2016-04-26,29611
2016-04-27,28666
2016-04-28,28666
2016-04-29,28077
2016-04-30,28077
2016-05-01,27047
2016-05-02,27047
2016-05-03,26511
2016-05-04,26511
2016-05-05,25933
2016-05-06,25933
2016-05-07,25933
2016-05-08,25483
2016-05-09,25483
2016-05-10,25955
2016-05-11,25955
2016-05-12,26240
2016-05-13,26240
2016-05-14,26079
2016-05-15,26079
2016-05-16,24794
2016-05-17,24794
2016-05-18,23561
2016-05-19,23561
2016-05-22,22158
2016-05-23,22158
2016-05-24,21176
2016-05-25,21176
2016-05-26,20117
2016-05-27,19153
2016-05-28,19153
2016-05-29,18195
2016-05-30,18195
2016-05-31,17386
2016-06-01,16931
2016-06-02,16931
2016-06-03,16823
2016-06-04,16823
2016-06-05,16825
2016-06-06,16922
2016-06-07,16922
2016-06-08,16617
2016-06-09,16617
2016-06-10,16864
2016-06-11,16864
2016-06-12,17337
2016-06-13,17337
2016-06-14,18100
2016-06-15,18100
2016-06-16,18742
2016-06-17,19296
2016-06-18,19296
2016-06-19,19917
2016-06-20,19917
2016-06-21,20483
2016-06-22,20483
2016-06-23,20899
2016-06-24,20899
2016-06-25,21362
2016-06-26,21362
2016-06-27,21362
2016-06-28,21878
2016-06-29,21878
2016-06-30,22756
2016-07-01,22756
2016-07-02,23393
2016-07-03,23393
2016-07-04,24470
2016-07-05,24470
2016-07-06,24346
2016-07-07,24346
2016-07-08,24193
2016-07-09,24193
2016-07-10,24739
2016-07-11,23723
2016-07-12,23723
2016-07-13,22637
2016-07-14,22637
2016-07-15,21516
2016-07-16,21516
2016-07-17,20611
2016-07-18,20611
2016-07-23,18790
2016-07-24,18790
2016-07-25,19640
2016-07-26,19640
2016-07-27,18926
2016-07-28,18926
2016-07-29,18282
2016-07-30,18282
2016-07-31,17783
2016-08-01,17783
2016-08-02,16930
2016-08-03,16930
2016-08-04,16827
2016-08-05,16827
2016-08-06,16749
2016-08-07,16749
2016-08-08,16848
2016-08-09,16848
2016-08-10,16463
2016-08-11,16463
2016-08-12,16463
2016-08-13,16042
2016-08-14,16042
2016-08-15,15525
2016-08-16,15525
2016-08-17,14870
2016-08-18,14870
2016-08-19,14870
2016-08-20,14308
2016-08-21,14308
2016-08-22,14301
2016-08-23,14301
2016-08-24,14261
2016-08-25,14261
