date_obj,Jar%20of%20decay price
2018-01-03,600000
2018-01-04,600000
2018-01-05,625718
2018-01-06,625718
2018-01-07,625718
2018-01-08,655173
2018-01-09,655173
2018-01-10,686706
2018-01-11,686706
2018-01-12,686706
2018-01-13,719664
2018-01-14,719664
2018-01-15,719664
2018-01-16,719664
2018-01-17,743540
2018-01-18,743540
2018-01-19,743540
2018-01-20,743540
2018-01-21,743540
2018-01-22,743540
2018-01-23,752957
2018-01-25,752957
2018-01-26,764014
2018-01-27,764014
2018-01-28,792314
2018-01-29,792314
2018-01-30,792314
2018-01-31,792314
2018-02-01,817023
2018-02-02,817023
2018-02-03,817023
2018-02-04,814118
2018-02-05,814118
2018-02-06,814118
2018-02-07,800209
2018-02-08,800209
2018-02-09,800209
2018-02-10,800209
2018-02-11,800209
2018-02-12,770240
2018-02-13,770240
2018-02-14,770240
2018-02-15,770240
2018-02-16,770240
2018-02-17,737804
2018-02-18,737804
2018-02-19,737804
2018-02-20,737804
2018-02-21,702110
2018-02-22,702110
2018-02-23,702110
2018-02-24,702110
2018-02-25,679511
2018-02-26,679511
2018-02-27,679511
2018-02-28,679511
2018-03-01,694797
2018-03-02,694797
2018-03-03,694797
2018-03-04,694797
2018-03-05,702959
2018-03-06,702959
2018-03-07,702959
2018-03-08,701925
2018-03-09,701925
2018-03-10,701925
2018-03-11,701925
2018-03-12,671193
2018-03-13,671193
2018-03-14,671193
2018-03-15,671193
2018-03-16,641115
2018-03-17,641115
2018-03-18,641115
2018-03-19,641115
2018-03-20,609145
2018-03-21,609145
2018-03-23,609145
2018-03-24,609145
2018-03-25,582123
2018-03-26,582123
2018-03-27,582123
2018-03-28,582123
2018-03-29,554212
2018-03-30,554212
2018-03-31,554212
2018-04-01,554212
2018-04-02,526536
2018-04-03,526536
2018-04-04,526536
2018-04-05,526536
2018-04-06,502008
2018-04-07,502008
2018-04-08,502008
2018-04-09,502008
2018-04-10,476907
2018-04-11,476907
2018-04-12,476907
2018-04-13,476907
2018-04-14,454728
2018-04-15,454728
2018-04-16,454728
2018-04-17,436556
2018-04-18,436556
2018-04-19,436556
2018-04-20,436556
2018-04-21,415530
2018-04-22,415530
2018-04-23,415530
2018-04-24,415530
2018-04-25,399696
2018-04-26,399696
2018-04-27,399696
2018-04-28,399696
2018-04-29,380852
2018-04-30,380852
2018-05-01,380852
2018-05-04,366109
2018-05-05,366109
2018-05-06,366109
2018-05-07,354990
2018-05-08,354990
2018-05-09,354990
2018-05-10,338110
2018-05-11,338110
2018-05-12,338110
2018-05-13,338110
2018-05-14,321204
2018-05-15,321204
2018-05-16,321204
2018-05-17,321204
2018-05-18,311137
2018-05-19,311137
2018-05-20,311137
2018-05-21,307258
2018-05-22,307258
2018-05-23,307258
2018-05-24,307258
2018-05-25,308301
2018-05-26,308301
2018-05-27,308301
2018-05-28,308301
2018-05-29,309053
2018-05-30,309053
2018-05-31,309053
2018-06-01,309053
2018-06-02,314337
2018-06-03,314337
2018-06-04,314337
2018-06-05,314337
2018-06-06,301659
2018-06-07,301659
2018-06-08,301659
2018-06-09,301659
2018-06-10,298704
2018-06-11,298704
2018-06-12,298704
2018-06-13,286763
2018-06-14,286763
2018-06-15,286763
2018-06-16,276484
2018-06-17,276484
2018-06-18,276484
2018-06-19,276484
2018-06-20,276484
2018-06-21,271841
2018-06-22,271841
2018-06-23,271841
2018-06-24,260567
2018-06-25,260567
2018-06-26,260567
2018-06-27,260567
2018-06-28,257167
2018-06-29,257167
2018-06-30,257167
2018-07-01,258113
2018-07-02,258113
2018-07-03,258113
2018-07-04,258113
2018-07-05,258113
2018-07-06,257576
2018-07-07,257576
2018-07-08,257576
2018-07-09,258883
2018-07-10,258883
2018-07-11,258883
2018-07-12,258883
2018-07-13,258883
2018-07-14,258883
2018-07-15,248329
2018-07-16,248329
2018-07-17,248329
2018-07-18,246237
2018-07-19,246237
2018-07-20,246237
2018-07-21,246237
2018-07-22,246342
2018-07-23,246342
2018-07-24,246342
2018-07-25,246002
2018-07-26,246002
2018-07-27,246002
2018-07-28,246002
2018-07-29,249759
2018-07-30,249759
2018-07-31,249759
2018-08-01,249759
2018-08-02,248436
2018-08-03,248436
2018-08-04,248436
2018-08-05,248436
2018-08-06,240567
2018-08-07,240567
2018-08-08,240567
2018-08-09,240567
2018-08-10,234516
2018-08-11,234516
2018-08-12,234516
2018-08-14,234594
2018-08-16,234594
2018-08-17,237235
2018-08-18,237235
2018-08-19,237235
2018-08-20,231617
2018-08-21,231617
2018-08-22,231617
2018-08-23,231617
2018-08-24,232502
2018-08-25,232502
2018-08-26,232502
2018-08-27,232502
2018-08-28,229160
2018-08-29,229160
2018-08-30,229160
2018-08-31,229160
2018-09-01,222951
2018-09-02,222951
2018-09-03,222951
2018-09-04,222951
2018-09-05,213378
2018-09-06,213378
2018-09-07,213378
2018-09-08,213378
2018-09-09,204086
2018-09-10,204086
2018-09-11,204086
2018-09-12,204086
2018-09-13,204086
2018-09-14,199623
2018-09-15,199623
2018-09-16,199623
2018-09-17,200244
2018-09-18,200244
2018-09-19,200244
2018-09-20,200244
2018-09-21,199830
2018-09-22,199830
2018-09-23,199830
2018-09-24,202435
2018-09-25,202435
2018-09-26,202435
2018-09-27,202435
2018-09-28,207544
2018-09-29,207544
2018-09-30,207544
2018-10-02,207544
2018-10-03,215863
2018-10-04,215863
2018-10-05,215863
2018-10-06,215863
2018-10-07,214891
2018-10-08,214891
2018-10-09,214891
2018-10-10,214891
2018-10-11,212201
2018-10-12,212201
2018-10-13,212201
2018-10-14,212201
2018-10-15,208384
2018-10-16,208384
2018-10-17,208384
2018-10-18,207033
2018-10-19,207033
2018-10-20,207033
2018-10-21,207033
2018-10-22,200059
