date_obj,Leaf-bladed%20sword price
2015-03-26,46261
2015-03-27,46261
2015-03-28,44527
2015-03-29,43847
2015-03-30,43971
2015-03-31,43971
2015-04-01,44014
2015-04-02,44014
2015-04-03,44177
2015-04-04,44704
2015-04-05,44704
2015-04-06,46940
2015-04-07,46940
2015-04-08,48503
2015-04-09,48503
2015-04-10,48459
2015-04-11,46718
2015-04-12,46718
2015-04-13,44858
2015-04-14,44858
2015-04-15,44374
2015-04-16,44374
2015-04-17,45721
2015-04-18,47866
2015-04-19,50015
2015-04-20,50015
2015-04-21,48181
2015-04-22,48181
2015-04-23,46118
2015-04-24,46118
2015-04-25,45195
2015-04-26,45195
2015-04-27,43186
2015-04-28,41992
2015-04-29,41992
2015-04-30,42507
2015-05-01,44320
2015-05-02,44038
2015-05-03,44038
2015-05-04,43732
2015-05-05,43732
2015-05-06,44425
2015-05-07,44141
2015-05-08,44141
2015-05-09,43045
2015-05-10,42328
2015-05-11,42328
2015-05-12,42361
2015-05-13,42361
2015-05-14,43434
2015-05-15,43434
2015-05-16,44226
2015-05-17,45024
2015-05-18,45024
2015-05-19,45815
2015-05-20,45815
2015-05-21,45815
2015-05-22,45574
2015-05-23,45574
2015-05-24,45705
2015-05-25,45896
2015-05-26,45896
2015-05-27,46763
2015-05-28,46478
2015-05-29,45851
2015-05-30,44897
2015-05-31,44897
2015-06-01,45184
2015-06-02,45184
2015-06-03,46609
2015-06-04,46980
2015-06-05,47047
2015-06-06,45300
2015-06-07,43613
2015-06-08,43613
2015-06-09,43619
2015-06-10,44469
2015-06-11,44469
2015-06-12,45614
2015-06-13,46202
2015-06-14,46564
2015-06-15,47662
2015-06-16,47722
2015-06-17,47050
2015-06-18,46163
2015-06-19,44951
2015-06-20,44615
2015-06-21,44615
2015-06-22,44270
2015-06-23,46100
2015-06-24,47521
2015-06-25,47521
2015-06-26,46495
2015-06-27,46495
2015-06-28,45651
2015-06-29,44659
2015-06-30,43795
2015-07-01,44768
2015-07-02,44768
2015-07-03,45854
2015-07-04,45308
2015-07-05,45308
2015-07-06,44379
2015-07-07,44548
2015-07-08,46322
2015-07-09,46322
2015-07-10,47131
2015-07-11,45346
2015-07-12,45346
2015-07-13,43942
2015-07-14,45757
2015-07-15,45707
2015-07-16,43804
2015-07-17,42692
2015-07-18,42692
2015-07-19,43512
2015-07-20,43932
2015-07-21,43932
2015-07-22,45301
2015-07-23,45301
2015-07-24,45160
2015-07-25,45160
2015-07-26,45667
2015-07-27,45731
2015-07-28,45349
2015-07-29,45246
2015-07-30,45321
2015-07-31,45321
2015-08-01,44047
2015-08-02,44993
2015-08-03,44993
2015-08-04,45498
2015-08-05,44589
2015-08-06,45777
2015-08-07,45943
2015-08-08,44863
2015-08-09,44404
2015-08-10,45290
2015-08-11,45887
2015-08-12,45887
2015-08-13,47022
2015-08-14,49127
2015-08-15,49127
2015-08-16,49241
2015-08-17,48045
2015-08-18,48085
2015-08-19,50304
2015-08-20,52498
2015-08-21,54001
2015-08-22,52848
2015-08-23,52848
2015-08-24,51265
2015-08-25,51265
2015-08-26,48751
2015-08-27,46542
2015-08-28,45064
2015-08-29,44245
2015-08-30,44245
2015-08-31,45037
2015-09-01,44470
2015-09-02,44470
2015-09-03,43933
2015-09-04,43666
2015-09-05,43666
2015-09-06,44340
2015-09-07,45396
2015-09-08,45204
2015-09-09,45386
2015-09-10,45079
2015-09-11,45145
2015-09-12,45328
2015-09-13,45866
2015-09-14,46205
2015-09-15,46556
2015-09-16,46556
2015-09-17,46948
2015-09-18,45887
2015-09-19,45385
2015-09-20,44869
2015-09-21,45045
2015-09-22,46106
2015-09-23,46587
2015-09-24,46587
2015-09-25,45340
2015-09-27,45281
2015-09-28,45902
2015-09-29,45248
2015-09-30,45635
2015-10-05,47915
2015-10-06,46262
2015-10-07,44837
2015-10-08,45823
2015-10-09,45145
2015-10-10,45145
2015-10-11,45033
2015-10-12,44883
2015-10-13,44883
2015-10-14,44839
2015-10-15,44887
2015-10-16,43763
2015-10-17,43763
2015-10-18,43207
2015-10-19,44711
2015-10-20,44732
2015-10-22,44423
2015-10-23,44912
2015-10-24,44222
2015-10-25,44302
2015-10-26,44388
2015-10-27,44388
2015-10-29,45360
2015-10-30,46666
2015-10-31,48231
2015-11-01,48231
2015-11-02,49254
2015-11-03,48893
2015-11-04,48893
2015-11-05,48770
2015-11-06,48770
2015-11-07,47380
2015-11-08,47380
2015-11-09,45994
2015-11-10,45994
2015-11-11,45370
2015-11-12,45370
2015-11-13,45444
2015-11-14,45444
2015-11-15,45457
2015-11-16,45457
2015-11-17,45032
2015-11-18,45032
2015-11-19,45639
2015-11-20,45662
2015-11-21,45662
2015-11-22,46200
2015-11-23,46200
2015-11-24,46812
2015-11-25,46493
2015-11-26,46493
2015-11-27,45555
2015-11-28,45548
2015-11-29,45668
2015-11-30,46129
2015-12-01,46129
2015-12-02,46246
2015-12-03,45745
2015-12-04,45745
2015-12-05,45987
2015-12-06,45631
2015-12-07,45631
2015-12-08,45824
2015-12-09,46532
2015-12-10,46478
2015-12-11,46400
2015-12-12,47149
2015-12-13,47109
2015-12-14,47109
2015-12-15,46104
2015-12-16,45848
2015-12-17,45848
2015-12-18,46319
2015-12-19,46461
2015-12-20,46305
2015-12-21,46296
2015-12-22,46233
2015-12-23,45919
2015-12-24,45919
2015-12-25,45770
2015-12-26,46691
2015-12-27,46448
2015-12-28,46399
2015-12-29,45978
2015-12-30,46003
2015-12-31,45957
2016-01-01,45957
2016-01-02,46068
2016-01-03,46188
2016-01-04,44735
2016-01-05,45712
2016-01-06,45963
2016-01-07,45860
2016-01-08,46432
2016-01-09,46060
2016-01-10,45890
2016-01-11,45777
2016-01-12,45241
2016-01-13,45034
2016-01-14,45068
2016-01-15,44426
2016-01-16,44504
2016-01-17,44433
2016-01-18,44451
2016-01-19,44451
2016-01-20,44633
2016-01-21,45609
2016-01-22,45312
2016-01-23,45081
2016-01-24,45168
