date_obj,Chopped%20tuna price
2015-03-26,190
2015-03-27,190
2015-03-28,190
2015-03-29,190
2015-03-30,190
2015-03-31,190
2015-04-01,190
2015-04-02,190
2015-04-03,190
2015-04-04,190
2015-04-05,190
2015-04-06,190
2015-04-07,190
2015-04-08,190
2015-04-09,190
2015-04-10,190
2015-04-11,190
2015-04-12,190
2015-04-13,190
2015-04-14,190
2015-04-15,190
2015-04-16,190
2015-04-17,190
2015-04-18,190
2015-04-19,190
2015-04-20,190
2015-04-21,190
2015-04-22,190
2015-04-23,194
2015-04-24,194
2015-04-25,194
2015-04-26,194
2015-04-27,194
2015-04-28,194
2015-04-29,194
2015-04-30,194
2015-05-01,194
2015-05-02,194
2015-05-03,194
2015-05-04,194
2015-05-05,194
2015-05-06,194
2015-05-07,194
2015-05-08,194
2015-05-09,194
2015-05-10,194
2015-05-11,194
2015-05-12,194
2015-05-13,194
2015-05-14,194
2015-05-15,194
2015-05-16,194
2015-05-17,194
2015-05-18,194
2015-05-19,194
2015-05-20,194
2015-05-21,194
2015-05-22,194
2015-05-23,194
2015-05-24,194
2015-05-25,194
2015-05-26,194
2015-05-27,194
2015-05-28,194
2015-05-29,194
2015-05-30,194
2015-05-31,194
2015-06-01,194
2015-06-02,194
2015-06-03,194
2015-06-04,195
2015-06-05,195
2015-06-06,195
2015-06-07,195
2015-06-08,195
2015-06-09,195
2015-06-10,195
2015-06-11,195
2015-06-12,195
2015-06-13,195
2015-06-14,195
2015-06-15,195
2015-06-16,195
2015-06-17,195
2015-06-18,195
2015-06-19,195
2015-06-20,195
2015-06-21,195
2015-06-22,195
2015-06-23,195
2015-06-24,195
2015-06-25,195
2015-06-26,195
2015-06-27,195
2015-06-28,195
2015-06-29,195
2015-06-30,195
2015-07-01,195
2015-07-02,195
2015-07-03,195
2015-07-04,195
2015-07-05,195
2015-07-06,195
2015-07-07,195
2015-07-08,195
2015-07-09,195
2015-07-10,195
2015-07-11,195
2015-07-12,195
2015-07-13,195
2015-07-14,195
2015-07-15,195
2015-07-16,195
2015-07-17,195
2015-07-18,201
2015-07-19,201
2015-07-20,201
2015-07-21,201
2015-07-22,201
2015-07-23,201
2015-07-24,201
2015-07-25,201
2015-07-26,201
2015-07-27,201
2015-07-28,201
2015-07-29,201
2015-07-30,201
2015-07-31,201
2015-08-01,201
2015-08-02,201
2015-08-03,201
2015-08-04,201
2015-08-05,201
2015-08-06,201
2015-08-07,201
2015-08-08,201
2015-08-09,201
2015-08-10,201
2015-08-11,201
2015-08-12,201
2015-08-13,201
2015-08-14,201
2015-08-15,201
2015-08-16,201
2015-08-17,201
2015-08-18,201
2015-08-19,201
2015-08-20,201
2015-08-21,201
2015-08-22,201
2015-08-23,201
2015-08-24,201
2015-08-25,201
2015-08-26,201
2015-08-27,201
2015-08-28,201
2015-08-29,201
2015-08-30,201
2015-08-31,201
2015-09-01,201
2015-09-02,201
2015-09-03,201
2015-09-04,201
2015-09-05,201
2015-09-06,201
2015-09-07,206
2015-09-08,206
2015-09-09,206
2015-09-10,206
2015-09-11,206
2015-09-12,206
2015-09-13,206
2015-09-14,206
2015-09-15,206
2015-09-16,206
2015-09-17,206
2015-09-18,206
2015-09-19,206
2015-09-20,206
2015-09-21,206
2015-09-22,206
2015-09-23,206
2015-09-24,206
2015-09-25,206
2015-09-27,206
2015-09-28,206
2015-09-29,206
2015-09-30,206
2015-10-05,206
2015-10-06,206
2015-10-07,206
2015-10-08,206
2015-10-09,206
2015-10-10,206
2015-10-11,206
2015-10-12,206
2015-10-13,206
2015-10-14,206
2015-10-15,206
2015-10-16,206
2015-10-17,206
2015-10-18,206
2015-10-19,206
2015-10-20,206
2015-10-22,206
2015-10-23,206
2015-10-24,206
2015-10-25,206
2015-10-26,206
2015-10-27,206
2015-10-29,206
2015-10-30,206
2015-10-31,206
2015-11-01,206
2015-11-02,206
2015-11-03,206
2015-11-04,206
2015-11-05,206
2015-11-06,206
2015-11-07,206
2015-11-08,206
2015-11-09,206
2015-11-10,206
2015-11-11,206
2015-11-12,206
2015-11-13,206
2015-11-14,206
2015-11-15,203
2015-11-16,203
2015-11-17,203
2015-11-18,203
2015-11-19,203
2015-11-20,203
2015-11-21,203
2015-11-22,203
2015-11-23,203
2015-11-24,203
2015-11-25,203
2015-11-26,203
2015-11-27,203
