date_obj,Diamond%20dragon%20bolts%20(e) price
2018-01-03,1205
2018-01-04,1266
2018-01-05,1330
2018-01-06,1397
2018-01-07,1467
2018-01-08,1452
2018-01-09,1381
2018-01-10,1311
2018-01-11,1245
2018-01-12,1210
2018-01-13,1179
2018-01-14,1128
2018-01-15,1083
2018-01-16,1055
2018-01-17,1022
2018-01-18,988
2018-01-19,995
2018-01-20,1013
2018-01-21,988
2018-01-22,1001
2018-01-23,1038
2018-01-25,1099
2018-01-26,1104
2018-01-27,1119
2018-01-28,1115
2018-01-29,1070
2018-01-30,1052
2018-01-31,1072
2018-02-01,1074
2018-02-02,1051
2018-02-03,1049
2018-02-04,1038
2018-02-05,1064
2018-02-06,1081
2018-02-07,1085
2018-02-08,1070
2018-02-09,1081
2018-02-10,1110
2018-02-11,1106
2018-02-12,1090
2018-02-13,1129
2018-02-14,1183
2018-02-15,1242
2018-02-16,1297
2018-02-17,1361
2018-02-18,1430
2018-02-19,1502
2018-02-20,1578
2018-02-21,1651
2018-02-22,1734
2018-02-23,1821
2018-02-24,1911
2018-02-25,1986
2018-02-26,2086
2018-02-27,2173
2018-02-28,2282
2018-03-01,2390
2018-03-02,2491
2018-03-03,2590
2018-03-04,2554
2018-03-05,2560
2018-03-06,2465
2018-03-07,2345
2018-03-08,2428
2018-03-09,2382
2018-03-10,2364
2018-03-11,2271
2018-03-12,2214
2018-03-13,2137
2018-03-14,2037
2018-03-15,1935
2018-03-16,1838
2018-03-17,1842
2018-03-18,1794
2018-03-19,1754
2018-03-20,1806
2018-03-21,1853
2018-03-23,2026
2018-03-24,2071
2018-03-25,2076
2018-03-26,1994
2018-03-27,2055
2018-03-28,2093
2018-03-29,2098
2018-03-30,2091
2018-03-31,2151
2018-04-01,2166
2018-04-02,2249
2018-04-03,2296
2018-04-04,2325
2018-04-05,2375
2018-04-06,2313
2018-04-07,2239
2018-04-08,2246
2018-04-09,2241
2018-04-10,2240
2018-04-11,2297
2018-04-12,2315
2018-04-13,2299
2018-04-14,2275
2018-04-15,2282
2018-04-16,2321
2018-04-17,2355
2018-04-18,2374
2018-04-19,2344
2018-04-20,2289
2018-04-21,2304
2018-04-22,2301
2018-04-23,2294
2018-04-24,2305
2018-04-25,2320
2018-04-26,2300
2018-04-27,2299
2018-04-28,2307
2018-04-29,2298
2018-04-30,2295
2018-05-01,2287
