date_obj,Mithril%20platebody%20(g) price
2015-03-26,30409
2015-03-27,30409
2015-03-28,29712
2015-03-29,29222
2015-03-30,28415
2015-03-31,28075
2015-04-01,28075
2015-04-02,27332
2015-04-03,26791
2015-04-04,26353
2015-04-05,26625
2015-04-06,25364
2015-04-07,25069
2015-04-08,24684
2015-04-09,24723
2015-04-10,24959
2015-04-11,25189
2015-04-12,26102
2015-04-13,25494
2015-04-14,24883
2015-04-15,24584
2015-04-16,24365
2015-04-17,24785
2015-04-18,25063
2015-04-19,24677
2015-04-20,24677
2015-04-21,25306
2015-04-22,26363
2015-04-23,27681
2015-04-24,28844
2015-04-25,29848
2015-04-26,30857
2015-04-27,30931
2015-04-28,30154
2015-04-29,30154
2015-04-30,30037
2015-05-01,28650
2015-05-02,27847
2015-05-03,27847
2015-05-04,26847
2015-05-05,25702
2015-05-06,25370
2015-05-07,24393
2015-05-08,24800
2015-05-09,25248
2015-05-10,25689
2015-05-11,25689
2015-05-12,24819
2015-05-13,23702
2015-05-14,22516
2015-05-15,21874
2015-05-16,21125
2015-05-17,20897
2015-05-18,20599
2015-05-19,20405
2015-05-20,20405
2015-05-21,19877
2015-05-22,19579
2015-05-23,19898
2015-05-24,20562
2015-05-25,20787
2015-05-26,20681
2015-05-27,20415
2015-05-28,20082
2015-05-29,19530
2015-05-30,19539
2015-05-31,19539
2015-06-01,18955
2015-06-02,18955
2015-06-03,18767
2015-06-04,18431
2015-06-05,18351
2015-06-06,18349
2015-06-07,18494
2015-06-08,18466
2015-06-09,18509
2015-06-10,18564
2015-06-11,18564
2015-06-12,18753
2015-06-13,19261
2015-06-14,19602
2015-06-15,19521
2015-06-16,20072
2015-06-17,20299
2015-06-18,20480
2015-06-19,20480
2015-06-20,21357
2015-06-21,21357
2015-06-22,22324
2015-06-23,22324
2015-06-24,22758
2015-06-25,22758
2015-06-26,22980
2015-06-27,22980
2015-06-28,23255
2015-06-29,23255
2015-06-30,23448
2015-07-01,24150
2015-07-02,24150
2015-07-03,25126
2015-07-04,25278
2015-07-05,25278
2015-07-06,24597
2015-07-07,24816
2015-07-08,25582
2015-07-09,25582
2015-07-10,25420
2015-07-11,25420
